Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 13:28:47, 51.454521, -3.622145, 159.90,  3672.00, 78, -2, 0.00, 1
2021/06/10, 13:29:15, 51.454948, -3.622006, 29.89,  0.00, 347, 0, 48.45, 1
2021/06/10, 13:29:47, 51.454987, -3.622091, -1.08,  0.00, 207, 0, 7.31, 
2021/06/10, 13:31:31, 51.454971, -3.622106, 16.99,  180.00, 212, 0, 2.06, 
2021/06/10, 13:32:36, 51.454823, -3.622115, 85.48,  0.00, 341, 0, 16.47, 
2021/06/10, 13:33:28, 51.454853, -3.622193, 71.19,  4140.00, 322, 0, 6.35, 
2021/06/10, 13:33:55, 51.455120, -3.622248, -6.85,  0.00, 281, 0, 29.93, 
2021/06/10, 13:34:24, 51.454872, -3.622247, 58.96,  0.00, 134, 0, 27.58, 
2021/06/10, 13:35:12, 51.454624, -3.621915, 128.43,  0.00, 150, 0, 35.91, 
2021/06/10, 13:35:43, 51.454491, -3.621762, 142.43,  0.00, 148, 0, 18.20, 
2021/06/10, 13:36:13, 51.454460, -3.621904, 169.98,  0.00, 50, 0, 10.43, 
2021/06/10, 13:37:29, 51.454426, -3.621695, 177.90,  864.00, 16, 0, 14.97, 
2021/06/10, 13:38:31, 51.455139, -3.622205, -6.65,  1620.00, 185, 0, 86.80, 
2021/06/10, 13:39:11, 51.455246, -3.622112, -34.82,  0.00, 33, 0, 13.53, 
2021/06/10, 13:39:34, 51.455063, -3.621958, 17.63,  0.00, 202, 0, 22.98, 
2021/06/10, 13:39:58, 51.455040, -3.622051, 21.32,  0.00, 235, 0, 6.93, 
2021/06/10, 13:40:22, 51.455128, -3.622026, 5.01,  0.00, 217, 0, 9.94, 
2021/06/10, 13:40:45, 51.454941, -3.622035, 48.63,  0.00, 268, 0, 20.80, 
2021/06/10, 13:41:11, 51.455002, -3.622179, 38.26,  5868.00, 45, 0, 12.06, 
2021/06/10, 13:41:43, 51.454998, -3.622244, 15.59,  1620.00, 233, 0, 4.53, 
2021/06/10, 13:42:53, 51.454948, -3.622158, 28.42,  252.00, 86, 0, 8.15, 
2021/06/10, 13:43:47, 51.454857, -3.622212, 47.66,  3672.00, 54, 0, 10.79, 
2021/06/10, 13:44:24, 51.454857, -3.622199, 57.15,  13032.00, 184, 0, 0.90, 
2021/06/10, 13:44:48, 51.455067, -3.622075, 15.17,  3240.00, 165, 0, 24.88, 
2021/06/10, 13:45:12, 51.454948, -3.622002, 43.27,  5004.00, 166, 0, 14.17, 
2021/06/10, 13:45:37, 51.454994, -3.622105, 32.23,  14616.00, 340, 0, 8.78, 
2021/06/10, 13:46:00, 51.454861, -3.622000, 46.27,  5472.00, 343, 0, 16.48, 
2021/06/10, 13:46:30, 51.455097, -3.622309, -6.68,  3240.00, 153, 0, 33.87, 
2021/06/10, 13:46:59, 51.455147, -3.622213, -26.34,  10008.00, 349, 0, 8.67, 
2021/06/10, 13:47:39, 51.454823, -3.622008, 57.44,  1836.00, 168, 0, 38.73, 
2021/06/10, 13:48:09, 51.455006, -3.622159, 20.35,  5364.00, 132, 0, 22.88, 
2021/06/10, 13:48:41, 51.455429, -3.622217, -64.30,  7380.00, 345, 0, 47.21, 
2021/06/10, 13:49:14, 51.454922, -3.621956, 43.78,  0.00, 57, 0, 59.21, 
2021/06/10, 13:49:42, 51.454918, -3.621961, 47.50,  0.00, 22, 0, 0.56, 
2021/06/10, 13:50:16, 51.454739, -3.621856, 89.60,  0.00, 270, 0, 21.19, 
2021/06/10, 13:50:39, 51.454777, -3.622066, 73.02,  0.00, 25, 0, 15.15, 
2021/06/10, 13:51:03, 51.454769, -3.621987, 86.89,  288.00, 319, 0, 5.55, 
2021/06/10, 13:51:38, 51.454784, -3.622020, 87.52,  4176.00, 357, 0, 2.83, 
2021/06/10, 13:52:10, 51.454876, -3.622071, 58.76,  0.00, 355, 0, 10.82, 
2021/06/10, 13:52:32, 51.454865, -3.622045, 65.24,  11916.00, 163, 0, 2.18, 
2021/06/10, 13:52:56, 51.455029, -3.622226, 36.43,  0.00, 254, 0, 22.13, 
2021/06/10, 13:53:20, 51.454796, -3.622065, 79.76,  0.00, 37, 0, 28.21, 
2021/06/10, 13:53:43, 51.454998, -3.622062, 47.24,  0.00, 285, 0, 22.46, 
2021/06/10, 13:54:09, 51.454918, -3.622116, 58.60,  0.00, 72, 0, 9.65, 
2021/06/10, 13:54:39, 51.454693, -3.621898, 98.78,  0.00, 327, 0, 29.23, 
2021/06/10, 13:55:03, 51.454899, -3.622068, 53.69,  4104.00, 32, 0, 25.76, 
2021/06/10, 13:55:37, 51.454754, -3.621969, 93.41,  1512.00, 164, 0, 17.52, 
2021/06/10, 13:56:00, 51.454643, -3.621665, 112.72,  6048.00, 122, 0, 24.41, 
2021/06/10, 13:56:37, 51.454765, -3.621865, 75.02,  2592.00, 189, 0, 19.39, 
2021/06/10, 13:57:13, 51.455360, -3.621684, -30.76,  14220.00, 6, 0, 67.34, 
2021/06/10, 13:57:41, 51.454544, -3.621715, 120.84,  6804.00, 17, 0, 90.76, 
2021/06/10, 13:58:08, 51.454723, -3.622056, 91.13,  0.00, 83, 0, 30.89, 
2021/06/10, 13:58:34, 51.454781, -3.621820, 69.61,  3024.00, 62, 0, 17.58, 
2021/06/10, 13:59:08, 51.454666, -3.621866, 95.42,  2412.00, 165, 0, 13.18, 
2021/06/10, 13:59:35, 51.454624, -3.621902, 98.79,  0.00, 99, 0, 5.29, 
2021/06/10, 14:00:01, 51.454784, -3.622004, 74.03,  6300.00, 344, 0, 19.14, 
2021/06/10, 14:00:40, 51.454735, -3.621776, 87.02,  0.00, 61, 0, 16.71, 
2021/06/10, 14:01:10, 51.454578, -3.622041, 146.67,  0.00, 138, 0, 25.34, 
2021/06/10, 14:01:35, 51.454529, -3.621755, 111.79,  0.00, 94, 0, 20.55, 
2021/06/10, 14:02:12, 51.454815, -3.622050, 66.01,  0.00, 91, 0, 37.80, 
2021/06/10, 14:02:47, 51.454830, -3.621978, 70.77,  31140.00, 328, 0, 5.26, 
2021/06/10, 14:03:16, 51.454601, -3.621995, 124.84,  5292.00, 140, 0, 25.49, 
2021/06/10, 14:03:47, 51.454582, -3.621979, 132.20,  5328.00, 145, 0, 2.39, 
2021/06/10, 14:04:13, 51.454800, -3.622163, 79.35,  5580.00, 288, 0, 27.39, 
2021/06/10, 14:04:43, 51.454845, -3.621995, 66.13,  2772.00, 122, 0, 12.67, 
2021/06/10, 14:05:43, 51.454659, -3.621998, 74.42,  6984.00, 118, 0, 20.68, 
2021/06/10, 14:06:24, 51.454849, -3.622096, 68.07,  0.00, 264, 0, 22.19, 
2021/06/10, 14:07:01, 51.454971, -3.622405, 40.53,  6984.00, 108, 0, 25.35, 
2021/06/10, 14:07:52, 51.454876, -3.622261, 86.18,  3816.00, 122, 0, 14.53, 
