Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 13:18:52, 51.454922, -3.622030, 20.50,  0.00, 288, -2, 0.00, 1
2021/06/10, 13:19:16, 51.455040, -3.622118, 40.59,  432.00, 58, 0, 14.47, 
2021/06/10, 13:19:37, 51.455013, -3.622054, 31.60,  0.00, 14, 0, 5.36, 
2021/06/10, 13:20:06, 51.454967, -3.622036, 27.55,  0.00, 249, 0, 5.26, 
2021/06/10, 13:20:34, 51.455029, -3.621982, 10.26,  1260.00, 92, 0, 7.84, 
2021/06/10, 13:20:57, 51.454872, -3.621854, -1.60,  0.00, 133, 0, 19.58, 
2021/06/10, 13:21:21, 51.454933, -3.621937, 18.92,  2880.00, 160, 0, 8.89, 
2021/06/10, 13:21:47, 51.454651, -3.622004, 21.90,  0.00, 34, 0, 31.70, 
2021/06/10, 13:22:13, 51.454514, -3.621507, -95.19,  0.00, 339, 0, 37.66, 
2021/06/10, 13:22:45, 51.454041, -3.621212, -197.91,  0.00, 56, 0, 56.43, 
2021/06/10, 13:23:13, 51.453804, -3.620997, -274.86,  0.00, 258, 0, 30.27, 
2021/06/10, 13:23:40, 51.454124, -3.621151, -183.81,  0.00, 169, 0, 37.15, 
2021/06/10, 13:24:08, 51.453896, -3.621089, -249.49,  7704.00, 207, 0, 25.71, 
2021/06/10, 13:24:38, 51.453838, -3.620822, -316.18,  0.00, 109, 0, 19.59, 
2021/06/10, 13:25:12, 51.453918, -3.621187, -220.03,  1440.00, 321, 0, 26.81, 
2021/06/10, 13:25:38, 51.453957, -3.621173, -212.80,  0.00, 196, 0, 4.44, 
2021/06/10, 13:26:19, 51.454311, -3.621330, -146.35,  0.00, 238, 0, 40.84, 
2021/06/10, 13:26:45, 51.454552, -3.621526, -77.83,  0.00, 149, 0, 30.04, 
2021/06/10, 13:27:16, 51.454334, -3.621465, -109.93,  0.00, 149, 0, 24.61, 
2021/06/10, 13:27:46, 51.454697, -3.621766, -23.77,  0.00, 274, 0, 45.43, 
2021/06/10, 13:28:20, 51.454792, -3.621898, 2.31,  1188.00, 11, 0, 13.97, 
2021/06/10, 13:28:54, 51.454559, -3.621774, -26.79,  0.00, 185, 0, 27.30, 
2021/06/10, 13:29:32, 51.454384, -3.621490, -67.65,  1080.00, 30, 0, 27.67, 
2021/06/10, 13:29:59, 51.454235, -3.621434, -105.06,  0.00, 48, 0, 17.02, 
2021/06/10, 13:30:34, 51.454887, -3.622074, 66.33,  2124.00, 351, 0, 84.99, 
2021/06/10, 13:31:00, 51.454662, -3.621738, -10.06,  0.00, 172, 0, 34.18, 
2021/06/10, 13:31:24, 51.454563, -3.621608, -50.57,  0.00, 195, 0, 14.22, 
2021/06/10, 13:32:31, 51.454876, -3.622012, 53.27,  792.00, 304, 0, 44.66, 
2021/06/10, 13:33:02, 51.454926, -3.622118, 62.93,  0.00, 264, 0, 9.21, 
2021/06/10, 13:33:26, 51.454880, -3.622002, 30.35,  1152.00, 308, 0, 9.53, 
2021/06/10, 13:33:50, 51.454865, -3.621943, 57.93,  0.00, 240, 0, 4.42, 
2021/06/10, 13:34:14, 51.454819, -3.622073, 74.40,  936.00, 79, 0, 10.36, 
2021/06/10, 13:34:38, 51.454891, -3.621925, 45.55,  0.00, 73, 0, 13.01, 
2021/06/10, 13:35:02, 51.454910, -3.621564, -36.34,  0.00, 266, 0, 25.10, 
2021/06/10, 13:35:29, 51.454865, -3.621929, 43.03,  0.00, 269, 0, 25.78, 
2021/06/10, 13:35:53, 51.454868, -3.621753, 11.99,  4572.00, 265, 0, 12.20, 
2021/06/10, 13:36:16, 51.454800, -3.622002, 41.93,  2160.00, 242, 0, 18.84, 
2021/06/10, 13:36:38, 51.454823, -3.621821, 5.09,  972.00, 92, 0, 12.80, 
2021/06/10, 13:37:02, 51.454838, -3.621846, 25.73,  252.00, 72, 0, 2.40, 
2021/06/10, 13:37:26, 51.454861, -3.622092, 97.99,  0.00, 53, 0, 17.24, 
2021/06/10, 13:37:51, 51.454838, -3.621981, 37.89,  0.00, 100, 0, 8.11, 
