Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 13:24:01, 51.454865, -3.622077, 57.03,  1224.00, 135, -2, 0.00, 1
2021/06/10, 13:24:48, 51.454865, -3.622077, 57.03,  1728.00, 320, 0, 0.00, 
2021/06/10, 13:26:56, 51.454746, -3.621716, 74.40,  2340.00, 270, 0, 28.30, 
2021/06/10, 13:28:41, 51.454792, -3.621890, 61.65,  2952.00, 222, 0, 13.10, 
2021/06/10, 13:30:13, 51.454842, -3.622014, 78.39,  1512.00, 359, 0, 10.23, 
2021/06/10, 13:31:40, 51.454849, -3.622096, 83.79,  324.00, 303, 0, 5.73, 
2021/06/10, 13:33:06, 51.454834, -3.621931, 75.93,  3600.00, 81, 0, 11.55, 
2021/06/10, 13:34:32, 51.454964, -3.622278, 58.93,  2340.00, 290, 0, 28.05, 
2021/06/10, 13:35:45, 51.455036, -3.622455, 48.13,  2808.00, 3, 0, 14.65, 
2021/06/10, 13:36:50, 51.455200, -3.623054, 43.27,  1620.00, 298, 0, 45.33, 
2021/06/10, 13:38:05, 51.455120, -3.622891, 41.71,  1800.00, 329, 0, 14.38, 
2021/06/10, 13:39:21, 51.454960, -3.622270, 53.23,  1188.00, 72, 0, 46.56, 
2021/06/10, 13:40:39, 51.454945, -3.622266, 58.73,  288.00, 357, 0, 1.69, 
2021/06/10, 13:41:59, 51.454910, -3.622337, 66.14,  288.00, 12, 0, 6.27, 
2021/06/10, 13:43:17, 51.454865, -3.622202, 75.85,  2196.00, 8, 0, 10.61, 
2021/06/10, 13:44:37, 51.454967, -3.622511, 66.81,  792.00, 295, 0, 24.23, 
2021/06/10, 13:45:49, 51.454899, -3.622180, 62.64,  540.00, 13, 0, 24.15, 
2021/06/10, 13:46:33, 51.454910, -3.622076, 62.76,  0.00, 358, 0, 7.31, 
2021/06/10, 13:46:54, 51.454910, -3.622118, 67.57,  0.00, 0, 0, 2.91, 
2021/06/10, 13:47:16, 51.454918, -3.622065, 49.86,  0.00, 6, 0, 3.78, 
2021/06/10, 13:47:37, 51.454895, -3.621992, 41.35,  1584.00, 1, 0, 5.67, 
2021/06/10, 13:47:58, 51.454922, -3.622046, 48.61,  1656.00, 3, 0, 4.80, 
2021/06/10, 13:48:25, 51.454899, -3.622015, 49.88,  1908.00, 31, 0, 3.34, 
2021/06/10, 13:48:47, 51.454918, -3.621981, 51.76,  1656.00, 358, 0, 3.16, 
2021/06/10, 13:49:09, 51.454918, -3.622054, 48.44,  0.00, 6, 0, 5.06, 
2021/06/10, 13:49:30, 51.454914, -3.622163, 62.14,  0.00, 0, 0, 7.57, 
2021/06/10, 13:49:51, 51.454922, -3.622045, 52.74,  0.00, 0, 0, 8.22, 
2021/06/10, 13:50:12, 51.454956, -3.622129, 55.86,  2268.00, 9, 0, 6.94, 
2021/06/10, 13:50:34, 51.454941, -3.622133, 55.79,  0.00, 0, 0, 1.69, 
2021/06/10, 13:50:56, 51.454926, -3.622156, 58.53,  1332.00, 354, 0, 2.31, 
2021/06/10, 13:51:17, 51.454948, -3.622120, 46.89,  0.00, 3, 0, 3.49, 
2021/06/10, 13:51:39, 51.454910, -3.622051, 52.59,  1656.00, 2, 0, 6.38, 
2021/06/10, 13:52:01, 51.454884, -3.622019, 50.64,  2844.00, 337, 0, 3.64, 
2021/06/10, 13:52:23, 51.454895, -3.622009, 52.02,  0.00, 355, 0, 1.41, 
2021/06/10, 13:52:45, 51.454849, -3.621959, 56.43,  0.00, 0, 0, 6.18, 
2021/06/10, 13:53:06, 51.454868, -3.621959, 53.76,  0.00, 351, 0, 2.11, 
2021/06/10, 13:53:27, 51.454872, -3.621971, 48.36,  0.00, 348, 0, 0.94, 
2021/06/10, 13:53:48, 51.454872, -3.622030, 51.09,  3456.00, 337, 0, 4.09, 
2021/06/10, 13:54:09, 51.454838, -3.622020, 55.14,  0.00, 355, 0, 3.84, 
2021/06/10, 13:54:31, 51.454834, -3.622078, 50.82,  2196.00, 329, 0, 4.04, 
2021/06/10, 13:54:52, 51.454834, -3.622070, 63.75,  0.00, 353, 0, 0.55, 
2021/06/10, 13:55:12, 51.454830, -3.622033, 52.28,  0.00, 356, 0, 2.60, 
2021/06/10, 13:55:33, 51.454849, -3.621969, 55.95,  0.00, 13, 0, 4.91, 
2021/06/10, 13:55:55, 51.454834, -3.622022, 51.14,  0.00, 0, 0, 4.03, 
2021/06/10, 13:56:17, 51.454838, -3.622036, 59.66,  1620.00, 0, 0, 1.07, 
2021/06/10, 13:56:38, 51.454842, -3.622034, 59.98,  1440.00, 359, 0, 0.47, 
2021/06/10, 13:56:58, 51.454838, -3.622061, 57.75,  0.00, 4, 0, 1.92, 
2021/06/10, 13:57:21, 51.454876, -3.622130, 60.84,  1620.00, 357, 0, 6.38, 
2021/06/10, 13:57:43, 51.454861, -3.622106, 58.08,  0.00, 358, 0, 2.36, 
2021/06/10, 13:58:05, 51.454845, -3.622080, 59.64,  1764.00, 7, 0, 2.53, 
2021/06/10, 13:58:26, 51.454865, -3.622117, 56.19,  1728.00, 0, 0, 3.39, 
2021/06/10, 13:58:49, 51.454865, -3.622070, 55.99,  1440.00, 0, 0, 3.26, 
2021/06/10, 13:59:12, 51.454872, -3.621995, 52.87,  0.00, 357, 0, 5.25, 
2021/06/10, 13:59:33, 51.454857, -3.622020, 48.48,  0.00, 0, 0, 2.40, 
2021/06/10, 13:59:54, 51.454884, -3.622080, 61.92,  1512.00, 2, 0, 5.13, 
2021/06/10, 14:00:18, 51.454895, -3.622088, 57.97,  0.00, 0, 0, 1.34, 
2021/06/10, 14:00:42, 51.454926, -3.622091, 48.14,  0.00, 0, 0, 3.45, 
2021/06/10, 14:01:03, 51.454895, -3.622069, 59.15,  0.00, 0, 0, 3.77, 
2021/06/10, 14:01:24, 51.454899, -3.622098, 58.35,  0.00, 0, 0, 2.06, 
2021/06/10, 14:01:45, 51.454868, -3.622005, 47.73,  2916.00, 356, 0, 7.31, 
2021/06/10, 14:02:07, 51.454887, -3.622003, 46.80,  1944.00, 357, 0, 2.12, 
2021/06/10, 14:02:28, 51.454826, -3.622024, 48.00,  0.00, 0, 0, 6.94, 
2021/06/10, 14:02:49, 51.454899, -3.622028, 42.39,  1476.00, 0, 0, 8.12, 
2021/06/10, 14:03:12, 51.454914, -3.622062, 50.09,  2772.00, 353, 0, 2.89, 
2021/06/10, 14:03:36, 51.454891, -3.622042, 49.18,  0.00, 344, 0, 2.91, 
2021/06/10, 14:03:57, 51.454876, -3.622000, 37.32,  0.00, 0, 0, 3.35, 
2021/06/10, 14:04:19, 51.454914, -3.621992, 33.65,  0.00, 0, 0, 4.26, 
2021/06/10, 14:04:43, 51.454922, -3.622077, 46.12,  0.00, 0, 0, 5.96, 
2021/06/10, 14:05:06, 51.454933, -3.622052, 39.95,  0.00, 0, 0, 2.12, 
2021/06/10, 14:05:29, 51.454903, -3.622099, 54.09,  2412.00, 32, 0, 4.66, 
2021/06/10, 14:05:52, 51.454987, -3.622068, 43.36,  0.00, 0, 0, 9.58, 
2021/06/10, 14:06:14, 51.454956, -3.622088, 38.99,  0.00, 6, 0, 3.72, 
2021/06/10, 14:06:36, 51.454948, -3.622102, 44.06,  0.00, 358, 0, 1.32, 
2021/06/10, 14:06:59, 51.454929, -3.622087, 47.82,  0.00, 0, 0, 2.35, 
2021/06/10, 14:07:23, 51.454918, -3.622154, 56.56,  0.00, 357, 0, 4.80, 
2021/06/10, 14:07:46, 51.454910, -3.622085, 58.09,  2700.00, 348, 0, 4.86, 
2021/06/10, 14:08:07, 51.454884, -3.622082, 55.30,  0.00, 0, 0, 2.90, 
2021/06/10, 14:08:34, 51.454899, -3.622101, 63.06,  648.00, 0, 0, 2.12, 
2021/06/10, 14:09:01, 51.454884, -3.622087, 59.16,  324.00, 10, 0, 1.93, 
2021/06/10, 14:09:22, 51.454906, -3.622091, 59.81,  0.00, 0, 0, 2.46, 
2021/06/10, 14:09:46, 51.454906, -3.622084, 62.21,  936.00, 0, 0, 0.49, 
2021/06/10, 14:10:08, 51.454899, -3.622065, 58.68,  0.00, 0, 0, 1.53, 
2021/06/10, 14:10:30, 51.454918, -3.622089, 61.22,  0.00, 21, 0, 2.69, 
2021/06/10, 14:10:51, 51.454880, -3.622092, 56.75,  0.00, 14, 0, 4.23, 
2021/06/10, 14:11:12, 51.454910, -3.622134, 67.82,  0.00, 0, 0, 4.43, 
2021/06/10, 14:11:34, 51.454910, -3.622099, 60.11,  0.00, 0, 0, 2.43, 
2021/06/10, 14:11:55, 51.454887, -3.622065, 71.93,  0.00, 0, 0, 3.48, 
2021/06/10, 14:12:16, 51.454910, -3.622098, 66.00,  648.00, 0, 0, 3.43, 
2021/06/10, 14:12:40, 51.454910, -3.622088, 65.67,  216.00, 2, 0, 0.69, 
2021/06/10, 14:13:02, 51.454899, -3.622100, 72.59,  0.00, 6, 0, 1.48, 
2021/06/10, 14:13:25, 51.454922, -3.622100, 76.00,  0.00, 14, 0, 2.56, 
2021/06/10, 14:13:46, 51.454899, -3.622053, 61.84,  0.00, 0, 0, 4.14, 
2021/06/10, 14:14:08, 51.454933, -3.622125, 64.51,  0.00, 0, 0, 6.26, 
2021/06/10, 14:14:30, 51.454876, -3.622123, 86.94,  0.00, 17, 0, 6.34, 
2021/06/10, 14:14:51, 51.454918, -3.622117, 70.15,  0.00, 0, 0, 4.69, 
2021/06/10, 14:15:12, 51.454884, -3.622107, 64.53,  2520.00, 355, 0, 3.84, 
2021/06/10, 14:15:33, 51.454800, -3.622015, 58.14,  0.00, 17, 0, 11.31, 
2021/06/10, 14:16:30, 51.454865, -3.622084, 60.16,  396.00, 18, 0, 8.67, 
2021/06/10, 14:16:58, 51.454868, -3.622099, 61.12,  108.00, 0, 0, 1.09, 
2021/06/10, 14:17:19, 51.454826, -3.622033, 55.55,  0.00, 0, 0, 6.54, 
2021/06/10, 14:17:39, 51.454887, -3.622116, 56.41,  0.00, 0, 0, 8.89, 
2021/06/10, 14:18:00, 51.454861, -3.622058, 65.19,  288.00, 0, 0, 4.95, 
2021/06/10, 14:18:22, 51.454853, -3.622071, 62.67,  2628.00, 354, 0, 1.27, 
2021/06/10, 14:18:43, 51.454845, -3.622098, 60.83,  0.00, 8, 0, 2.07, 
2021/06/10, 14:19:04, 51.454834, -3.622022, 53.52,  1044.00, 0, 0, 5.41, 
2021/06/10, 14:19:26, 51.454845, -3.622072, 69.98,  396.00, 14, 0, 3.67, 
2021/06/10, 14:19:47, 51.454857, -3.622098, 54.96,  0.00, 0, 0, 2.24, 
2021/06/10, 14:20:09, 51.454868, -3.622065, 63.48,  1368.00, 0, 0, 2.59, 
2021/06/10, 14:20:31, 51.454861, -3.622050, 57.19,  0.00, 0, 0, 1.30, 
2021/06/10, 14:20:53, 51.454865, -3.622069, 62.53,  1404.00, 0, 0, 1.39, 
2021/06/10, 14:21:15, 51.454891, -3.622090, 38.82,  1440.00, 0, 0, 3.24, 
2021/06/10, 14:21:36, 51.454880, -3.622057, 59.74,  756.00, 0, 0, 2.59, 
2021/06/10, 14:22:00, 51.454865, -3.622035, 68.08,  972.00, 356, 0, 2.26, 
2021/06/10, 14:22:21, 51.454872, -3.621942, 42.52,  972.00, 4, 0, 6.49, 
2021/06/10, 14:22:44, 51.454849, -3.622000, 58.01,  0.00, 0, 0, 4.76, 
2021/06/10, 14:23:05, 51.454845, -3.622012, 52.08,  360.00, 0, 0, 0.94, 
2021/06/10, 14:23:27, 51.454857, -3.622035, 63.59,  0.00, 0, 0, 2.08, 
2021/06/10, 14:23:50, 51.454834, -3.622035, 71.64,  1368.00, 4, 0, 2.56, 
2021/06/10, 14:24:15, 51.454834, -3.622059, 64.69,  1080.00, 0, 0, 1.66, 
2021/06/10, 14:24:41, 51.454891, -3.621999, 53.21,  2916.00, 7, 0, 7.58, 
2021/06/10, 14:25:12, 51.454880, -3.621995, 42.99,  972.00, 11, 0, 1.25, 
2021/06/10, 14:25:38, 51.454945, -3.622006, 38.54,  1152.00, 358, 0, 7.27, 
2021/06/10, 14:26:01, 51.454948, -3.622001, 33.47,  324.00, 0, 0, 0.48, 
2021/06/10, 14:26:23, 51.454861, -3.622029, 54.21,  0.00, 0, 0, 9.87, 
2021/06/10, 14:26:46, 51.454811, -3.622056, 75.89,  396.00, 8, 0, 5.87, 
2021/06/10, 14:27:09, 51.454899, -3.622148, 72.73,  2196.00, 352, 0, 11.68, 
2021/06/10, 14:27:34, 51.454880, -3.622056, 54.41,  288.00, 0, 0, 6.72, 
2021/06/10, 14:27:56, 51.454865, -3.622031, 51.64,  0.00, 0, 0, 2.40, 
2021/06/10, 14:28:19, 51.454849, -3.622041, 59.82,  1044.00, 0, 0, 1.91, 
2021/06/10, 14:28:40, 51.454842, -3.622050, 56.79,  0.00, 358, 0, 1.00, 
2021/06/10, 14:29:04, 51.454811, -3.622070, 72.43,  324.00, 20, 0, 3.72, 
2021/06/10, 14:29:26, 51.454872, -3.622074, 59.58,  0.00, 0, 0, 6.79, 
2021/06/10, 14:29:48, 51.454857, -3.622063, 69.50,  1080.00, 0, 0, 1.83, 
2021/06/10, 14:30:11, 51.454807, -3.622049, 85.22,  756.00, 0, 0, 5.64, 
2021/06/10, 14:30:32, 51.454796, -3.622040, 75.97,  0.00, 0, 0, 1.37, 
2021/06/10, 14:30:54, 51.454845, -3.622046, 54.62,  2052.00, 2, 0, 5.46, 
2021/06/10, 14:31:16, 51.454849, -3.622085, 57.18,  2520.00, 355, 0, 2.74, 
2021/06/10, 14:31:36, 51.454842, -3.622072, 60.69,  0.00, 0, 0, 1.19, 
2021/06/10, 14:31:57, 51.454880, -3.622067, 50.33,  180.00, 3, 0, 4.24, 
2021/06/10, 14:32:19, 51.454861, -3.622071, 50.52,  1476.00, 0, 0, 2.13, 
2021/06/10, 14:32:39, 51.454868, -3.622030, 65.79,  0.00, 2, 0, 2.95, 
2021/06/10, 14:32:59, 51.454857, -3.622122, 68.76,  0.00, 27, 0, 6.49, 
2021/06/10, 14:33:21, 51.454861, -3.622116, 72.55,  900.00, 15, 0, 0.61, 
2021/06/10, 14:33:42, 51.454880, -3.622127, 77.09,  0.00, 0, 0, 2.25, 
2021/06/10, 14:34:04, 51.454857, -3.622121, 68.87,  1080.00, 0, 0, 2.59, 
2021/06/10, 14:34:27, 51.454887, -3.622089, 61.49,  0.00, 0, 0, 4.01, 
2021/06/10, 14:34:49, 51.454891, -3.622082, 61.91,  0.00, 6, 0, 0.66, 
2021/06/10, 14:35:10, 51.454929, -3.622180, 65.64,  0.00, 0, 0, 8.00, 
2021/06/10, 14:35:32, 51.454918, -3.622057, 61.09,  2556.00, 48, 0, 8.61, 
2021/06/10, 14:35:54, 51.454948, -3.622272, 62.14,  0.00, 0, 0, 15.27, 
2021/06/10, 14:36:28, 51.454945, -3.622239, 74.38,  1548.00, 3, 0, 2.31, 
2021/06/10, 14:36:52, 51.454971, -3.622226, 83.83,  540.00, 357, 0, 3.03, 
2021/06/10, 14:37:25, 51.454941, -3.622151, 88.08,  1152.00, 355, 0, 6.18, 
2021/06/10, 14:37:48, 51.454929, -3.622161, 82.08,  720.00, 0, 0, 1.50, 
2021/06/10, 14:38:13, 51.454906, -3.622127, 81.61,  360.00, 0, 0, 3.48, 
2021/06/10, 14:38:37, 51.454899, -3.622109, 70.06,  1476.00, 357, 0, 1.47, 
2021/06/10, 14:39:01, 51.454842, -3.621999, 64.63,  504.00, 17, 0, 9.91, 
2021/06/10, 14:39:23, 51.454838, -3.622062, 63.04,  0.00, 14, 0, 4.39, 
2021/06/10, 14:39:58, 51.454872, -3.622067, 76.69,  1008.00, 358, 0, 3.80, 
2021/06/10, 14:40:23, 51.454899, -3.622082, 68.16,  468.00, 355, 0, 3.18, 
2021/06/10, 14:41:06, 51.454895, -3.621998, 78.49,  1080.00, 67, 0, 5.84, 
2021/06/10, 14:41:27, 51.454868, -3.622072, 75.57,  3924.00, 54, 0, 5.94, 
2021/06/10, 14:41:48, 51.454906, -3.622050, 84.78,  1656.00, 358, 0, 4.49, 
2021/06/10, 14:42:10, 51.454903, -3.621995, 87.65,  1512.00, 0, 0, 3.83, 
2021/06/10, 14:42:34, 51.454903, -3.622086, 81.97,  684.00, 0, 0, 6.31, 
2021/06/10, 14:42:57, 51.454948, -3.622138, 81.97,  612.00, 0, 0, 6.17, 
2021/06/10, 14:43:23, 51.454922, -3.622098, 80.92,  756.00, 0, 0, 4.00, 
