Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 13:13:37, 51.453747, -3.615167, 78.23,  61596.00, 240, -2, 0.00, 1
2021/06/10, 13:15:21, 51.453747, -3.615167, 78.23,  48924.00, 242, 0, 0.00, 
2021/06/10, 13:15:48, 51.453617, -3.619054, 81.38,  32976.00, 305, 0, 269.72, 1
2021/06/10, 13:16:11, 51.454662, -3.621717, 57.88,  31536.00, 324, 0, 218.06, 
2021/06/10, 13:16:42, 51.454876, -3.622338, 56.81,  3780.00, 337, 0, 49.17, 1
2021/06/10, 13:17:41, 51.455051, -3.622296, 61.92,  9972.00, 199, 0, 19.68, 1
2021/06/10, 13:18:31, 51.455017, -3.622203, 80.14,  0.00, 30, 0, 7.47, 
2021/06/10, 13:18:53, 51.455040, -3.622242, 54.45,  5544.00, 33, 0, 3.72, 
2021/06/10, 13:19:14, 51.455055, -3.622147, 71.93,  0.00, 21, 0, 6.79, 
2021/06/10, 13:19:33, 51.455055, -3.622261, 69.38,  360.00, 355, 0, 7.90, 
2021/06/10, 13:20:07, 51.454967, -3.622386, 66.75,  3636.00, 183, 0, 13.07, 
2021/06/10, 13:20:35, 51.455078, -3.622079, 82.72,  17568.00, 47, 0, 24.59, 
2021/06/10, 13:21:01, 51.454605, -3.622276, -34.18,  0.00, 189, 0, 54.34, 
2021/06/10, 13:21:38, 51.454906, -3.622056, 38.05,  0.00, 236, 0, 36.78, 
2021/06/10, 13:22:06, 51.454811, -3.622135, 52.13,  0.00, 21, 0, 11.90, 
2021/06/10, 13:22:33, 51.454792, -3.622148, 36.76,  2880.00, 47, 0, 2.30, 
2021/06/10, 13:23:20, 51.455227, -3.621530, 174.60,  2556.00, 264, 0, 64.60, 
2021/06/10, 13:23:48, 51.454819, -3.621965, 90.68,  5436.00, 64, 0, 54.47, 
2021/06/10, 13:24:15, 51.454823, -3.622119, 40.47,  0.00, 172, 0, 10.68, 
2021/06/10, 13:24:41, 51.454800, -3.622195, 34.69,  0.00, 273, 0, 5.85, 
2021/06/10, 13:25:09, 51.454819, -3.622070, 73.61,  0.00, 34, 0, 8.92, 
2021/06/10, 13:25:37, 51.454781, -3.622346, 36.31,  5940.00, 40, 0, 19.59, 
2021/06/10, 13:26:39, 51.454742, -3.621997, 52.29,  0.00, 127, 0, 24.57, 
2021/06/10, 13:27:06, 51.454739, -3.621960, 62.01,  1152.00, 164, 0, 2.59, 
2021/06/10, 13:27:30, 51.454811, -3.622121, 69.33,  0.00, 139, 0, 13.73, 
2021/06/10, 13:27:52, 51.454769, -3.621985, 57.73,  4212.00, 1, 0, 10.52, 
2021/06/10, 13:28:14, 51.454655, -3.621965, 71.17,  1152.00, 325, 0, 12.75, 
2021/06/10, 13:28:36, 51.454590, -3.622001, 44.98,  5220.00, 21, 0, 7.65, 
2021/06/10, 13:29:01, 51.454559, -3.621878, 55.84,  0.00, 341, 0, 9.19, 
2021/06/10, 13:29:26, 51.454494, -3.621777, 39.12,  0.00, 99, 0, 10.06, 
2021/06/10, 13:29:48, 51.454704, -3.621917, 35.49,  2592.00, 36, 0, 25.29, 
2021/06/10, 13:30:12, 51.454613, -3.622034, 78.29,  4428.00, 156, 0, 12.97, 
2021/06/10, 13:30:40, 51.454620, -3.622034, 70.84,  0.00, 1, 0, 0.78, 
2021/06/10, 13:31:05, 51.454586, -3.621809, 36.20,  0.00, 332, 0, 16.04, 
2021/06/10, 13:31:27, 51.454727, -3.621978, 49.64,  1044.00, 80, 0, 19.57, 
2021/06/10, 13:31:52, 51.454372, -3.621777, 65.19,  4716.00, 156, 0, 41.86, 
2021/06/10, 13:32:16, 51.454838, -3.622098, 41.14,  3384.00, 12, 0, 56.39, 
2021/06/10, 13:32:42, 51.454689, -3.622057, 49.98,  2052.00, 9, 0, 16.81, 
2021/06/10, 13:33:07, 51.454731, -3.622100, 56.67,  0.00, 160, 0, 5.54, 
