Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 13:08:38, 51.472466, -3.555941, 3825.50,  94536.00, 133, -2, 0.00, 1
2021/06/10, 13:10:20, 51.472466, -3.555941, 3825.50,  94536.00, 133, 0, 0.00, 
2021/06/10, 13:11:57, 51.461563, -3.591351, 235.60,  40788.00, 185, 0, 2736.13, 1
2021/06/10, 13:13:29, 51.457428, -3.602180, 194.29,  59040.00, 224, 0, 879.94, 1
2021/06/10, 13:14:41, 51.452736, -3.611197, 37.47,  36216.00, 318, 0, 813.97, 1
2021/06/10, 13:15:59, 51.454041, -3.621327, 40.75,  30024.00, 296, 0, 716.76, 1
2021/06/10, 13:17:23, 51.455090, -3.623183, 57.27,  2268.00, 224, 0, 173.62, 1
2021/06/10, 13:18:38, 51.455067, -3.623142, 56.89,  972.00, 0, 0, 3.82, 
2021/06/10, 13:19:21, 51.455173, -3.623062, 57.01,  3024.00, 344, 0, 13.03, 
2021/06/10, 13:19:42, 51.455154, -3.622980, 57.22,  432.00, 353, 0, 6.06, 
2021/06/10, 13:20:21, 51.455112, -3.623003, 54.06,  1692.00, 105, 0, 4.93, 
2021/06/10, 13:20:59, 51.455097, -3.623027, 56.38,  1296.00, 355, 0, 2.36, 
2021/06/10, 13:21:25, 51.455101, -3.622967, 58.06,  2160.00, 348, 0, 4.18, 
2021/06/10, 13:21:48, 51.455017, -3.622872, 59.59,  3348.00, 17, 0, 11.43, 
2021/06/10, 13:22:19, 51.454998, -3.622808, 59.77,  1764.00, 4, 0, 4.91, 
2021/06/10, 13:22:41, 51.455036, -3.622799, 58.73,  2088.00, 341, 0, 4.27, 
2021/06/10, 13:23:06, 51.454975, -3.622869, 60.26,  4284.00, 336, 0, 8.34, 
2021/06/10, 13:23:27, 51.455040, -3.622797, 60.65,  1044.00, 348, 0, 8.78, 
2021/06/10, 13:23:50, 51.454933, -3.622804, 62.68,  1008.00, 0, 0, 11.91, 
2021/06/10, 13:24:13, 51.454983, -3.622699, 61.99,  2628.00, 357, 0, 9.16, 
2021/06/10, 13:24:35, 51.454990, -3.622689, 62.67,  2772.00, 338, 0, 1.04, 
2021/06/10, 13:25:01, 51.455017, -3.622709, 64.69,  2628.00, 305, 0, 3.31, 
2021/06/10, 13:25:24, 51.454994, -3.622663, 67.08,  2448.00, 16, 0, 4.09, 
2021/06/10, 13:25:51, 51.454964, -3.622730, 68.33,  684.00, 6, 0, 5.72, 
2021/06/10, 13:26:30, 51.454929, -3.622235, 67.01,  1188.00, 62, 0, 34.52, 
2021/06/10, 13:26:54, 51.454914, -3.621965, 68.87,  3456.00, 23, 0, 18.78, 1
2021/06/10, 13:27:18, 51.454948, -3.621970, 67.89,  1224.00, 1, 0, 3.80, 
2021/06/10, 13:27:44, 51.454971, -3.621905, 71.66,  1404.00, 8, 0, 5.18, 
2021/06/10, 13:28:05, 51.454960, -3.621988, 73.07,  1548.00, 0, 0, 5.88, 
2021/06/10, 13:28:26, 51.454918, -3.622031, 78.69,  2124.00, 338, 0, 5.54, 
2021/06/10, 13:28:52, 51.454945, -3.622028, 73.34,  1260.00, 0, 0, 3.01, 
2021/06/10, 13:29:13, 51.454945, -3.621971, 70.75,  720.00, 4, 0, 3.95, 
2021/06/10, 13:29:34, 51.454926, -3.621993, 71.80,  648.00, 356, 0, 2.61, 
2021/06/10, 13:29:55, 51.454948, -3.621919, 65.18,  1368.00, 0, 0, 5.68, 
2021/06/10, 13:30:18, 51.454937, -3.621910, 63.18,  1692.00, 0, 0, 1.37, 
2021/06/10, 13:30:40, 51.454948, -3.621880, 62.78,  1512.00, 0, 0, 2.41, 
2021/06/10, 13:31:03, 51.454922, -3.621932, 63.67,  936.00, 0, 0, 4.62, 
2021/06/10, 13:31:25, 51.454918, -3.621933, 65.30,  108.00, 358, 0, 0.45, 
2021/06/10, 13:31:47, 51.454929, -3.621944, 68.88,  2880.00, 344, 0, 1.44, 
2021/06/10, 13:32:09, 51.454956, -3.621914, 65.99,  504.00, 0, 0, 3.65, 
2021/06/10, 13:32:30, 51.454937, -3.621932, 67.44,  684.00, 0, 0, 2.45, 
2021/06/10, 13:32:51, 51.454945, -3.621878, 65.65,  468.00, 0, 0, 3.85, 
2021/06/10, 13:33:13, 51.454945, -3.621864, 63.84,  2088.00, 0, 0, 0.97, 
2021/06/10, 13:33:35, 51.454933, -3.621857, 63.36,  792.00, 1, 0, 1.42, 
2021/06/10, 13:33:58, 51.454998, -3.621883, 62.06,  3096.00, 14, 0, 7.45, 
2021/06/10, 13:34:19, 51.454975, -3.621840, 64.92,  972.00, 0, 0, 3.93, 
2021/06/10, 13:34:42, 51.454971, -3.621874, 68.34,  792.00, 8, 0, 2.40, 
2021/06/10, 13:35:05, 51.454971, -3.621941, 67.13,  2340.00, 28, 0, 4.64, 
2021/06/10, 13:35:27, 51.454964, -3.621918, 68.50,  468.00, 357, 0, 1.77, 
2021/06/10, 13:35:47, 51.455029, -3.621872, 67.20,  2016.00, 1, 0, 7.90, 
2021/06/10, 13:36:09, 51.454998, -3.621894, 63.94,  396.00, 3, 0, 3.77, 
2021/06/10, 13:36:32, 51.454990, -3.621908, 65.75,  1296.00, 5, 0, 1.32, 
2021/06/10, 13:36:54, 51.455006, -3.621920, 68.34,  1404.00, 0, 0, 1.96, 
2021/06/10, 13:37:15, 51.455017, -3.621919, 69.98,  2664.00, 0, 0, 1.23, 
2021/06/10, 13:37:38, 51.454994, -3.621907, 71.04,  324.00, 0, 0, 2.69, 
2021/06/10, 13:38:00, 51.455002, -3.621935, 71.57,  3384.00, 1, 0, 2.13, 
2021/06/10, 13:38:21, 51.454964, -3.621961, 71.50,  360.00, 348, 0, 4.59, 
2021/06/10, 13:38:44, 51.454971, -3.621973, 73.00,  1080.00, 5, 0, 1.14, 
2021/06/10, 13:39:08, 51.454918, -3.622004, 77.98,  1260.00, 43, 0, 6.27, 
2021/06/10, 13:39:41, 51.454842, -3.621992, 75.44,  2808.00, 103, 0, 8.49, 
2021/06/10, 13:40:11, 51.454769, -3.622016, 77.04,  1008.00, 216, 0, 8.29, 
2021/06/10, 13:40:35, 51.454712, -3.622081, 78.43,  6624.00, 204, 0, 7.78, 
2021/06/10, 13:40:59, 51.454739, -3.622101, 85.16,  1692.00, 356, 0, 3.31, 
2021/06/10, 13:41:22, 51.454769, -3.622120, 89.48,  1332.00, 344, 0, 3.59, 
2021/06/10, 13:41:45, 51.454819, -3.622174, 93.37,  504.00, 353, 0, 6.70, 
2021/06/10, 13:42:07, 51.454838, -3.622159, 97.00,  1512.00, 11, 0, 2.35, 
2021/06/10, 13:42:31, 51.454773, -3.622190, 100.78,  2952.00, 301, 0, 7.54, 
2021/06/10, 13:42:54, 51.454773, -3.622202, 100.14,  1152.00, 2, 0, 0.83, 
2021/06/10, 13:43:15, 51.454803, -3.622185, 101.74,  684.00, 0, 0, 3.54, 
2021/06/10, 13:43:37, 51.454861, -3.622218, 104.74,  396.00, 8, 0, 6.84, 
2021/06/10, 13:43:59, 51.454865, -3.622221, 110.39,  2088.00, 352, 0, 0.49, 
2021/06/10, 13:44:22, 51.454868, -3.622239, 107.35,  1800.00, 0, 0, 1.29, 
2021/06/10, 13:44:45, 51.454937, -3.622157, 104.54,  2880.00, 12, 0, 9.55, 
2021/06/10, 13:45:09, 51.454945, -3.622136, 104.63,  2340.00, 2, 0, 1.71, 
2021/06/10, 13:45:32, 51.454929, -3.622172, 106.47,  1656.00, 355, 0, 3.06, 
2021/06/10, 13:45:54, 51.454891, -3.622171, 106.30,  900.00, 354, 0, 4.23, 
2021/06/10, 13:46:16, 51.454857, -3.622200, 106.83,  2340.00, 4, 0, 4.28, 
2021/06/10, 13:46:41, 51.454857, -3.622156, 105.30,  720.00, 39, 0, 3.05, 
2021/06/10, 13:47:17, 51.454926, -3.622212, 105.62,  576.00, 104, 0, 8.60, 
2021/06/10, 13:47:48, 51.454948, -3.622200, 106.00,  648.00, 357, 0, 2.58, 
2021/06/10, 13:48:13, 51.454876, -3.622177, 109.96,  5400.00, 242, 0, 8.16, 
2021/06/10, 13:48:37, 51.454800, -3.622198, 111.07,  936.00, 65, 0, 8.58, 
2021/06/10, 13:49:06, 51.454811, -3.622338, 120.50,  3060.00, 296, 0, 9.78, 
2021/06/10, 13:49:31, 51.454781, -3.622301, 116.70,  720.00, 1, 0, 4.21, 
2021/06/10, 13:49:55, 51.454819, -3.622335, 114.89,  2016.00, 1, 0, 4.84, 
2021/06/10, 13:50:19, 51.454792, -3.622307, 120.13,  2628.00, 37, 0, 3.57, 
2021/06/10, 13:52:12, 51.454796, -3.622279, 109.89,  792.00, 50, 0, 1.99, 
2021/06/10, 13:52:50, 51.454788, -3.622245, 105.85,  1296.00, 5, 0, 2.52, 
2021/06/10, 13:53:17, 51.454830, -3.622288, 168.94,  612.00, 326, 0, 5.54, 
2021/06/10, 13:53:44, 51.454830, -3.622239, 126.43,  1044.00, 338, 0, 3.40, 
2021/06/10, 13:54:06, 51.454807, -3.622193, 124.19,  1728.00, 356, 0, 4.09, 
2021/06/10, 13:54:36, 51.454899, -3.622102, 118.35,  1404.00, 11, 0, 12.02, 
2021/06/10, 13:55:17, 51.454956, -3.621994, 100.16,  3168.00, 25, 0, 9.81, 
2021/06/10, 13:55:55, 51.454960, -3.622040, 91.20,  396.00, 349, 0, 3.22, 
2021/06/10, 13:56:41, 51.454849, -3.622108, 107.01,  1764.00, 252, 0, 13.21, 
2021/06/10, 13:57:18, 51.454845, -3.622123, 106.43,  756.00, 0, 0, 1.13, 
2021/06/10, 13:57:54, 51.454849, -3.622131, 110.70,  504.00, 0, 0, 0.71, 
2021/06/10, 13:58:29, 51.454765, -3.622378, 136.12,  504.00, 358, 0, 19.50, 
2021/06/10, 13:59:02, 51.454723, -3.622368, 147.72,  360.00, 244, 0, 4.72, 
2021/06/10, 13:59:33, 51.454861, -3.622003, 115.39,  1800.00, 27, 0, 29.58, 
2021/06/10, 14:00:01, 51.454742, -3.622157, 102.88,  1152.00, 349, 0, 17.00, 
2021/06/10, 14:00:28, 51.454754, -3.622170, 130.28,  1800.00, 22, 0, 1.61, 
2021/06/10, 14:00:49, 51.454784, -3.622157, 133.59,  0.00, 0, 0, 3.46, 
2021/06/10, 14:01:10, 51.454830, -3.622174, 126.93,  3024.00, 1, 0, 5.25, 
2021/06/10, 14:01:31, 51.454773, -3.622129, 117.60,  1872.00, 5, 0, 7.06, 
2021/06/10, 14:01:56, 51.454906, -3.621950, 91.23,  1836.00, 350, 0, 19.30, 
