Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 13:32:40, 51.454884, -3.622191, 67.15,  180.00, 205, -2, 0.00, 1
2021/06/10, 13:33:03, 51.454865, -3.622163, 65.29,  540.00, 13, 0, 2.87, 1
2021/06/10, 13:33:25, 51.454887, -3.622176, 55.63,  0.00, 0, 0, 2.61, 
2021/06/10, 13:33:46, 51.454838, -3.622122, 62.55,  0.00, 348, 0, 6.61, 
2021/06/10, 13:34:07, 51.454861, -3.622128, 65.84,  0.00, 0, 0, 2.59, 
2021/06/10, 13:34:27, 51.454838, -3.622197, 57.75,  0.00, 0, 0, 5.42, 
2021/06/10, 13:34:48, 51.454849, -3.622123, 74.72,  0.00, 0, 0, 5.27, 
2021/06/10, 13:35:10, 51.454845, -3.622144, 63.77,  2556.00, 353, 0, 1.52, 
2021/06/10, 13:35:30, 51.454838, -3.622099, 67.58,  0.00, 0, 0, 3.21, 
2021/06/10, 13:35:51, 51.454800, -3.622074, 69.93,  0.00, 2, 0, 4.57, 
2021/06/10, 13:36:10, 51.454853, -3.622103, 71.15,  0.00, 6, 0, 6.23, 
2021/06/10, 13:36:30, 51.454845, -3.622062, 78.74,  0.00, 0, 0, 2.98, 
2021/06/10, 13:36:50, 51.454845, -3.622092, 69.54,  0.00, 0, 0, 2.08, 
2021/06/10, 13:37:10, 51.454807, -3.622127, 74.11,  0.00, 0, 0, 4.87, 
2021/06/10, 13:37:30, 51.454834, -3.622035, 75.24,  0.00, 22, 0, 7.05, 
2021/06/10, 13:37:50, 51.454800, -3.622140, 76.75,  0.00, 0, 0, 8.20, 
2021/06/10, 13:38:09, 51.454796, -3.622117, 80.06,  0.00, 1, 0, 1.65, 
2021/06/10, 13:38:31, 51.454861, -3.622051, 69.23,  0.00, 0, 0, 8.55, 
2021/06/10, 13:38:52, 51.454872, -3.622087, 88.32,  1908.00, 2, 0, 2.78, 
2021/06/10, 13:39:12, 51.454876, -3.622112, 78.10,  0.00, 0, 0, 1.79, 
2021/06/10, 13:39:33, 51.454788, -3.622069, 92.63,  0.00, 39, 0, 10.23, 
2021/06/10, 13:39:54, 51.454826, -3.622083, 84.07,  0.00, 357, 0, 4.34, 
2021/06/10, 13:40:16, 51.454876, -3.622070, 75.82,  900.00, 0, 0, 5.63, 
2021/06/10, 13:40:38, 51.454834, -3.622098, 74.94,  0.00, 359, 0, 5.06, 
2021/06/10, 13:40:59, 51.454826, -3.622091, 84.56,  0.00, 0, 0, 1.01, 
2021/06/10, 13:41:19, 51.454872, -3.622099, 83.77,  0.00, 8, 0, 5.14, 
2021/06/10, 13:41:40, 51.454876, -3.622070, 75.01,  0.00, 0, 0, 2.06, 
2021/06/10, 13:42:01, 51.454815, -3.622118, 76.55,  1800.00, 4, 0, 7.55, 
2021/06/10, 13:42:23, 51.454803, -3.622079, 81.29,  0.00, 0, 0, 3.01, 
2021/06/10, 13:42:43, 51.454830, -3.622103, 70.70,  0.00, 0, 0, 3.43, 
2021/06/10, 13:43:03, 51.454845, -3.622105, 68.43,  0.00, 0, 0, 1.67, 
2021/06/10, 13:43:24, 51.454781, -3.622078, 74.02,  0.00, 0, 0, 7.36, 
2021/06/10, 13:43:45, 51.454803, -3.622108, 73.80,  0.00, 3, 0, 3.21, 
2021/06/10, 13:44:05, 51.454849, -3.622108, 72.54,  0.00, 0, 0, 5.11, 
2021/06/10, 13:44:26, 51.454876, -3.622033, 66.34,  1944.00, 0, 0, 6.00, 
2021/06/10, 13:44:47, 51.454880, -3.622126, 66.04,  0.00, 0, 0, 6.46, 
2021/06/10, 13:45:07, 51.454838, -3.622141, 74.61,  0.00, 0, 0, 4.78, 
2021/06/10, 13:45:26, 51.454872, -3.622074, 71.46,  0.00, 0, 0, 5.99, 
2021/06/10, 13:45:45, 51.454781, -3.622055, 74.32,  0.00, 18, 0, 10.20, 
2021/06/10, 13:46:04, 51.455013, -3.622113, 75.88,  0.00, 4, 0, 26.11, 
2021/06/10, 13:46:24, 51.454868, -3.622082, 71.65,  0.00, 11, 0, 16.27, 
2021/06/10, 13:46:45, 51.454823, -3.622149, 70.22,  0.00, 9, 0, 6.83, 
2021/06/10, 13:47:07, 51.454914, -3.622015, 60.68,  0.00, 0, 0, 13.73, 
2021/06/10, 13:47:28, 51.454906, -3.622152, 74.64,  0.00, 25, 0, 9.53, 
2021/06/10, 13:47:49, 51.454937, -3.622105, 68.32,  0.00, 0, 0, 4.74, 
2021/06/10, 13:48:10, 51.454937, -3.622062, 61.08,  0.00, 0, 0, 2.98, 
2021/06/10, 13:48:30, 51.454891, -3.622046, 62.79,  0.00, 3, 0, 5.23, 
2021/06/10, 13:48:50, 51.454800, -3.622088, 69.07,  0.00, 3, 0, 10.53, 
