Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 15:00:50, 51.455269, -3.623311, 44.61,  4608.00, 257, -2, 0.00, 1
2021/06/10, 15:01:10, 51.455860, -3.623118, 100.87,  0.00, 278, 0, 67.06, 1
2021/06/10, 15:01:34, 51.455494, -3.623862, 70.76,  4392.00, 264, 0, 65.68, 
2021/06/10, 15:01:54, 51.455685, -3.623904, 87.54,  0.00, 302, 0, 21.44, 
2021/06/10, 15:02:33, 51.454937, -3.625129, 26.22,  0.00, 239, 0, 118.84, 
2021/06/10, 15:02:52, 51.454807, -3.625346, 24.02,  4716.00, 227, 0, 20.86, 1
2021/06/10, 15:03:11, 51.454659, -3.625463, 11.61,  0.00, 246, 0, 18.35, 1
2021/06/10, 15:03:30, 51.454552, -3.625284, 1.05,  5400.00, 131, 0, 17.19, 
2021/06/10, 15:03:49, 51.454350, -3.625345, 17.40,  0.00, 158, 0, 22.86, 
2021/06/10, 15:04:08, 51.454227, -3.625088, 6.81,  5112.00, 124, 0, 22.45, 1
2021/06/10, 15:04:31, 51.454121, -3.624876, 0.67,  612.00, 77, 0, 18.83, 1
2021/06/10, 15:04:50, 51.454117, -3.625138, 20.92,  0.00, 333, 0, 18.16, 1
2021/06/10, 15:05:09, 51.454105, -3.625026, 11.98,  0.00, 88, 0, 7.87, 
2021/06/10, 15:05:28, 51.454109, -3.624954, 3.23,  0.00, 72, 0, 5.01, 
2021/06/10, 15:05:48, 51.454124, -3.624959, 5.23,  0.00, 89, 0, 1.70, 
2021/06/10, 15:06:07, 51.454147, -3.624967, 11.97,  0.00, 46, 0, 2.62, 
2021/06/10, 15:06:26, 51.454124, -3.624958, 1.89,  0.00, 78, 0, 2.63, 
2021/06/10, 15:06:45, 51.454090, -3.625122, 8.33,  0.00, 283, 0, 11.98, 
2021/06/10, 15:07:05, 51.454113, -3.624991, 4.13,  0.00, 24, 0, 9.43, 
2021/06/10, 15:07:24, 51.454086, -3.625079, 11.69,  2916.00, 245, 0, 6.80, 
2021/06/10, 15:07:48, 51.454082, -3.625050, 11.24,  0.00, 37, 0, 2.06, 
2021/06/10, 15:08:12, 51.454075, -3.625083, 14.80,  0.00, 69, 0, 2.42, 
2021/06/10, 15:08:35, 51.454086, -3.625010, 10.83,  360.00, 81, 0, 5.20, 
2021/06/10, 15:08:59, 51.454079, -3.624939, 4.35,  1440.00, 51, 0, 4.98, 
2021/06/10, 15:09:27, 51.454048, -3.625187, 10.19,  0.00, 46, 0, 17.53, 
2021/06/10, 15:09:56, 51.454098, -3.624979, 3.14,  0.00, 163, 0, 15.45, 
2021/06/10, 15:10:16, 51.452126, -3.628084, -1.68,  51696.00, 223, 0, 307.20, 1
2021/06/10, 15:10:35, 51.450214, -3.630088, 5.18,  44568.00, 213, 0, 253.94, 1
2021/06/10, 15:10:54, 51.448013, -3.631091, -5.40,  47232.00, 190, 0, 254.42, 1
2021/06/10, 15:11:13, 51.445881, -3.631769, -1.33,  42012.00, 183, 0, 241.68, 1
2021/06/10, 15:11:33, 51.443897, -3.633257, 0.22,  37152.00, 218, 0, 243.52, 1
2021/06/10, 15:11:52, 51.442234, -3.634587, -2.96,  36792.00, 225, 0, 206.62, 1
2021/06/10, 15:12:11, 51.440487, -3.635774, -0.21,  33624.00, 220, 0, 210.96, 1
2021/06/10, 15:12:30, 51.438850, -3.636664, -1.64,  35280.00, 197, 0, 192.19, 1
2021/06/10, 15:12:50, 51.437214, -3.637693, 2.14,  37512.00, 194, 0, 195.40, 1
2021/06/10, 15:13:09, 51.435928, -3.639100, -3.96,  30096.00, 214, 0, 173.09, 1
2021/06/10, 15:13:28, 51.434464, -3.640087, -4.64,  38628.00, 183, 0, 176.58, 1
2021/06/10, 15:13:47, 51.433025, -3.641163, 2.15,  37440.00, 194, 0, 176.54, 1
2021/06/10, 15:14:07, 51.431690, -3.642592, -1.73,  33012.00, 204, 0, 178.46, 1
2021/06/10, 15:14:26, 51.429760, -3.642735, -4.36,  43848.00, 173, 0, 214.84, 1
2021/06/10, 15:14:45, 51.428268, -3.643861, -5.10,  29628.00, 222, 0, 183.35, 1
2021/06/10, 15:15:04, 51.427536, -3.644222, 4.17,  3852.00, 123, 0, 85.16, 1
