Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 14:30:05, 51.454746, -3.622281, 73.95,  0.00, 0, -2, 0.00, 1
2021/06/10, 14:35:17, 51.454746, -3.622281, 73.95,  0.00, 0, 0, 0.00, 
2021/06/10, 14:38:03, 51.455120, -3.621866, 1.87,  0.00, 173, 0, 50.56, 
2021/06/10, 14:38:29, 51.455288, -3.621835, -10.51,  0.00, 13, 0, 18.80, 1
2021/06/10, 14:38:56, 51.455158, -3.621957, 29.15,  0.00, 284, 0, 16.75, 
2021/06/10, 14:39:19, 51.455128, -3.621885, 5.67,  0.00, 178, 0, 6.00, 
2021/06/10, 14:39:41, 51.455196, -3.621905, 4.47,  0.00, 2, 0, 7.69, 
2021/06/10, 14:40:07, 51.455250, -3.621729, -24.87,  0.00, 198, 0, 13.59, 
2021/06/10, 14:40:29, 51.454998, -3.622061, 79.11,  0.00, 328, 0, 36.25, 
2021/06/10, 14:41:17, 51.455025, -3.621919, 30.43,  1296.00, 17, 0, 10.29, 
2021/06/10, 14:41:48, 51.455109, -3.621974, 49.11,  0.00, 77, 0, 10.09, 
2021/06/10, 14:42:15, 51.454887, -3.621992, 66.91,  0.00, 94, 0, 24.72, 
2021/06/10, 14:42:43, 51.455223, -3.621705, -32.16,  0.00, 261, 0, 42.32, 
2021/06/10, 14:43:08, 51.455086, -3.621847, 51.08,  0.00, 67, 0, 18.13, 
2021/06/10, 14:43:35, 51.455238, -3.621829, -7.86,  0.00, 212, 0, 16.95, 
2021/06/10, 14:44:09, 51.454956, -3.621891, 43.47,  0.00, 40, 0, 31.65, 
2021/06/10, 14:44:36, 51.455059, -3.622019, 35.20,  4320.00, 53, 0, 14.49, 
2021/06/10, 14:45:00, 51.455173, -3.621712, 1.40,  0.00, 223, 0, 24.76, 
2021/06/10, 14:45:30, 51.455002, -3.621932, 32.19,  0.00, 51, 0, 24.37, 
2021/06/10, 14:45:52, 51.455006, -3.622005, 49.85,  0.00, 4, 0, 5.08, 
2021/06/10, 14:46:13, 51.455044, -3.621947, 41.92,  0.00, 50, 0, 5.83, 
2021/06/10, 14:46:36, 51.455109, -3.621978, 18.28,  0.00, 356, 0, 7.54, 
2021/06/10, 14:46:59, 51.454910, -3.622049, 40.22,  0.00, 140, 0, 22.67, 
2021/06/10, 14:47:39, 51.454876, -3.622056, 46.35,  0.00, 244, 0, 3.81, 
2021/06/10, 14:48:02, 51.454746, -3.621948, 87.69,  0.00, 38, 0, 16.28, 
2021/06/10, 14:48:30, 51.454533, -3.622120, 116.57,  0.00, 344, 0, 26.51, 
2021/06/10, 14:48:53, 51.454933, -3.622032, 17.65,  0.00, 53, 0, 44.89, 
2021/06/10, 14:49:15, 51.454777, -3.622172, 78.41,  0.00, 185, 0, 19.87, 
