Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/10, 16:51:07, 51.455399, -3.622918, 62.59,  4716.00, 261, -2, 0.00, 1
2021/06/10, 16:51:26, 51.455353, -3.623336, 62.88,  0.00, 192, 0, 29.41, 1
2021/06/10, 16:51:45, 51.455315, -3.623489, 34.74,  5976.00, 253, 0, 11.41, 
2021/06/10, 16:52:04, 51.455227, -3.624128, 54.27,  4716.00, 252, 0, 45.34, 1
2021/06/10, 16:52:23, 51.455162, -3.624280, 25.12,  5904.00, 258, 0, 12.77, 1
2021/06/10, 16:52:42, 51.455109, -3.624733, 30.99,  4644.00, 243, 0, 31.94, 1
2021/06/10, 16:53:01, 51.455051, -3.625269, 54.93,  4500.00, 237, 0, 37.69, 1
2021/06/10, 16:53:20, 51.454861, -3.625207, 7.22,  0.00, 198, 0, 21.56, 1
2021/06/10, 16:53:39, 51.454720, -3.625595, 35.22,  4248.00, 195, 0, 31.12, 
2021/06/10, 16:53:58, 51.454777, -3.625911, 62.76,  0.00, 133, 0, 22.79, 
2021/06/10, 16:54:18, 51.454399, -3.625326, -0.01,  0.00, 123, 0, 58.39, 
2021/06/10, 16:54:37, 51.454220, -3.625155, 8.36,  0.00, 203, 0, 23.16, 
2021/06/10, 16:54:57, 51.455437, -3.627420, 269.05,  0.00, 117, 0, 207.23, 
2021/06/10, 16:55:17, 51.454121, -3.625185, 26.75,  0.00, 242, 0, 213.06, 
2021/06/10, 16:55:37, 51.454060, -3.625154, 16.17,  0.00, 294, 0, 7.11, 
2021/06/10, 16:55:58, 51.454082, -3.625068, 0.57,  900.00, 101, 0, 6.44, 
2021/06/10, 16:56:20, 51.454056, -3.625097, 17.08,  324.00, 104, 0, 3.52, 
2021/06/10, 16:56:39, 51.454094, -3.624957, -8.48,  5796.00, 115, 0, 10.58, 
2021/06/10, 16:56:57, 51.453945, -3.624629, -40.82,  1224.00, 264, 0, 28.13, 
2021/06/10, 16:57:15, 51.454178, -3.624838, -24.80,  792.00, 76, 0, 29.68, 
2021/06/10, 16:57:34, 51.453892, -3.624566, -97.08,  0.00, 102, 0, 36.97, 
2021/06/10, 16:57:53, 51.454075, -3.625098, 14.23,  0.00, 325, 0, 42.11, 
2021/06/10, 16:58:11, 51.454189, -3.625421, 69.69,  0.00, 321, 0, 25.72, 
2021/06/10, 16:58:30, 51.454029, -3.624968, -5.05,  0.00, 21, 0, 36.08, 
2021/06/10, 16:58:48, 51.454082, -3.625412, 55.75,  972.00, 124, 0, 31.32, 
2021/06/10, 16:59:10, 51.454094, -3.625145, 24.91,  504.00, 68, 0, 18.55, 
2021/06/10, 17:00:05, 51.454208, -3.625070, 15.03,  2880.00, 300, 0, 13.70, 1
2021/06/10, 17:00:29, 51.454109, -3.624662, -22.75,  6876.00, 98, 0, 30.34, 1
2021/06/10, 17:00:51, 51.453979, -3.625485, 44.68,  3348.00, 60, 0, 58.83, 1
2021/06/10, 17:01:09, 51.453995, -3.624558, -55.19,  5292.00, 238, 0, 64.26, 1
2021/06/10, 17:01:27, 51.453835, -3.625862, 55.69,  49284.00, 208, 0, 92.09, 1
2021/06/10, 17:01:45, 51.451870, -3.627568, 3.33,  51048.00, 222, 0, 248.43, 1
2021/06/10, 17:02:03, 51.450779, -3.629977, -11.51,  47772.00, 213, 0, 206.36, 1
2021/06/10, 17:02:21, 51.449318, -3.632178, 4.76,  34272.00, 242, 0, 222.83, 1
2021/06/10, 17:02:38, 51.448074, -3.634007, -5.17,  40536.00, 218, 0, 187.61, 1
2021/06/10, 17:02:56, 51.446915, -3.636245, 8.22,  37368.00, 227, 0, 201.65, 1
2021/06/10, 17:03:14, 51.446491, -3.636967, 12.52,  3276.00, 156, 0, 68.75, 1
2021/06/10, 17:03:33, 51.446373, -3.636680, -12.01,  6516.00, 146, 0, 23.83, 1
2021/06/10, 17:03:51, 51.446323, -3.636700, 0.52,  2520.00, 273, 0, 5.73, 1
2021/06/10, 17:04:09, 51.445477, -3.638251, 0.59,  39312.00, 222, 0, 142.84, 1
2021/06/10, 17:04:27, 51.444553, -3.639751, 6.94,  3888.00, 185, 0, 146.16, 1
2021/06/10, 17:04:45, 51.444572, -3.639715, -1.51,  1044.00, 233, 0, 3.27, 1
2021/06/10, 17:05:03, 51.444500, -3.639818, 10.89,  1584.00, 94, 0, 10.73, 
2021/06/10, 17:05:25, 51.444633, -3.639825, -1.37,  4608.00, 229, 0, 14.80, 
2021/06/10, 17:05:43, 51.444576, -3.639885, -7.24,  1620.00, 284, 0, 7.58, 
2021/06/10, 17:06:01, 51.444466, -3.639958, -4.77,  648.00, 138, 0, 13.24, 
2021/06/10, 17:06:19, 51.444485, -3.640074, 14.84,  1872.00, 198, 0, 8.31, 
2021/06/10, 17:06:37, 51.443680, -3.641458, 9.42,  35136.00, 231, 0, 131.20, 1
2021/06/10, 17:06:55, 51.442692, -3.643399, 18.56,  39024.00, 219, 0, 173.68, 1
2021/06/10, 17:07:13, 51.440876, -3.644704, 12.85,  41364.00, 218, 0, 221.26, 1
2021/06/10, 17:07:31, 51.439461, -3.646518, 11.00,  44604.00, 199, 0, 201.41, 1
2021/06/10, 17:07:48, 51.437904, -3.648030, 30.05,  37548.00, 221, 0, 202.38, 1
2021/06/10, 17:08:06, 51.436886, -3.649867, 8.70,  40032.00, 227, 0, 170.37, 1
2021/06/10, 17:08:24, 51.435234, -3.651433, 11.48,  38412.00, 222, 0, 213.37, 1
2021/06/10, 17:08:42, 51.433979, -3.652990, 7.87,  37224.00, 213, 0, 176.42, 1
2021/06/10, 17:08:59, 51.433777, -3.653276, 14.64,  4320.00, 132, 0, 29.96, 1
2021/06/10, 17:09:16, 51.433647, -3.653211, 12.88,  3672.00, 182, 0, 15.14, 1
2021/06/10, 17:09:34, 51.433582, -3.652915, 3.94,  5940.00, 121, 0, 21.75, 1
2021/06/10, 17:09:52, 51.433113, -3.653526, -1.34,  33912.00, 209, 0, 67.18, 1
2021/06/10, 17:10:13, 51.432098, -3.654475, -2.98,  0.00, 106, 0, 130.64, 1
2021/06/10, 17:10:31, 51.431999, -3.654356, 3.31,  5616.00, 238, 0, 13.76, 
2021/06/10, 17:10:49, 51.431019, -3.655900, 7.03,  29304.00, 226, 0, 152.75, 1
2021/06/10, 17:11:08, 51.430706, -3.656690, -4.40,  4140.00, 95, 0, 64.89, 1
2021/06/10, 17:11:25, 51.430748, -3.656733, 33.76,  1188.00, 154, 0, 5.54, 1
2021/06/10, 17:11:43, 51.430611, -3.656551, 6.11,  18900.00, 247, 0, 19.78, 
2021/06/10, 17:12:01, 51.430378, -3.656909, 2.90,  2304.00, 93, 0, 35.88, 
2021/06/10, 17:12:19, 51.430298, -3.656646, -3.44,  2376.00, 155, 0, 20.29, 1
2021/06/10, 17:12:36, 51.429989, -3.657499, -3.56,  17712.00, 219, 0, 68.39, 1
2021/06/10, 17:12:54, 51.429737, -3.657823, 5.61,  23256.00, 245, 0, 35.91, 1
2021/06/10, 17:13:11, 51.429123, -3.658659, 28.87,  5508.00, 107, 0, 89.56, 1
2021/06/10, 17:13:29, 51.429111, -3.658364, 8.64,  13356.00, 229, 0, 20.50, 1
2021/06/10, 17:13:47, 51.428722, -3.659217, -8.32,  3276.00, 111, 0, 73.27, 1
2021/06/10, 17:14:05, 51.428635, -3.659317, 12.68,  22356.00, 243, 0, 11.90, 1
2021/06/10, 17:14:22, 51.428654, -3.659908, 64.31,  3996.00, 136, 0, 41.03, 1
2021/06/10, 17:14:39, 51.428360, -3.659483, -3.01,  2772.00, 116, 0, 44.01, 1
2021/06/10, 17:14:56, 51.427979, -3.659947, 2.59,  15552.00, 230, 0, 53.19, 1
2021/06/10, 17:15:13, 51.427906, -3.659711, -6.58,  3420.00, 137, 0, 18.26, 1
2021/06/10, 17:15:31, 51.427765, -3.660079, 0.07,  3168.00, 106, 0, 29.95, 1
