Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 13:44:48, 51.454880, -3.622076, 56.20,  2952.00, 349, -2, 0.00, 1
2021/06/15, 13:47:25, 51.454880, -3.622076, 56.20,  0.00, 18, 0, 0.00, 
2021/06/15, 13:47:45, 51.455139, -3.622201, 63.91,  5112.00, 347, 0, 30.07, 1
2021/06/15, 13:48:05, 51.455360, -3.622405, 60.21,  5472.00, 342, 0, 28.35, 
2021/06/15, 13:48:23, 51.455383, -3.622702, 63.16,  0.00, 358, 0, 20.74, 
2021/06/15, 13:48:43, 51.455322, -3.623181, 59.82,  5220.00, 293, 0, 33.88, 1
2021/06/15, 13:49:03, 51.455330, -3.623413, 41.61,  0.00, 359, 0, 16.10, 1
2021/06/15, 13:49:23, 51.455269, -3.623985, 53.48,  0.00, 358, 0, 40.21, 
2021/06/15, 13:49:42, 51.455231, -3.624338, 36.82,  0.00, 357, 0, 24.82, 
2021/06/15, 13:50:01, 51.455185, -3.624679, 27.39,  0.00, 357, 0, 24.17, 
2021/06/15, 13:50:19, 51.454994, -3.625140, 33.39,  0.00, 355, 0, 38.36, 
2021/06/15, 13:50:39, 51.454941, -3.625410, 27.70,  0.00, 359, 0, 19.61, 
2021/06/15, 13:50:58, 51.454678, -3.625553, 19.51,  0.00, 346, 0, 30.88, 
2021/06/15, 13:51:18, 51.454563, -3.625487, 13.50,  0.00, 0, 0, 13.58, 
2021/06/15, 13:51:37, 51.454353, -3.625230, 15.15,  0.00, 5, 0, 29.37, 
2021/06/15, 13:51:56, 51.454208, -3.625138, 17.45,  0.00, 1, 0, 17.34, 
2021/06/15, 13:52:16, 51.454094, -3.625006, 9.23,  0.00, 37, 0, 15.63, 
2021/06/15, 13:52:36, 51.454102, -3.624950, 4.02,  0.00, 0, 0, 3.98, 
2021/06/15, 13:52:56, 51.454159, -3.625012, -2.62,  0.00, 0, 0, 7.66, 
2021/06/15, 13:53:17, 51.454124, -3.624980, 6.63,  0.00, 0, 0, 4.48, 
2021/06/15, 13:53:37, 51.454098, -3.624973, 11.78,  0.00, 0, 0, 2.93, 
2021/06/15, 13:53:57, 51.454098, -3.624967, 11.86,  0.00, 0, 0, 0.42, 
2021/06/15, 13:54:17, 51.454067, -3.624983, 21.84,  1440.00, 0, 0, 3.62, 
