Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 13:02:09, 51.454601, -3.621967, 58.43,  2448.00, 185, -2, 0.00, 1
2021/06/15, 13:02:32, 51.454613, -3.622218, 49.95,  576.00, 0, 0, 17.44, 
2021/06/15, 13:02:57, 51.454529, -3.622245, 34.88,  3276.00, 242, 0, 9.53, 1
2021/06/15, 13:03:23, 51.454636, -3.622120, 60.74,  468.00, 0, 0, 14.72, 
2021/06/15, 13:03:47, 51.454494, -3.622047, 31.06,  1404.00, 0, 0, 16.58, 
2021/06/15, 13:04:13, 51.454586, -3.622084, 53.83,  756.00, 341, 0, 10.55, 
2021/06/15, 13:04:37, 51.454590, -3.622030, 48.39,  1332.00, 347, 0, 3.77, 
2021/06/15, 13:05:02, 51.454720, -3.622080, 63.77,  1800.00, 7, 0, 14.86, 
2021/06/15, 13:05:25, 51.454655, -3.622212, 40.77,  2772.00, 64, 0, 11.66, 
2021/06/15, 13:05:49, 51.454548, -3.622089, 54.91,  396.00, 358, 0, 14.64, 
2021/06/15, 13:06:14, 51.454468, -3.621955, 71.34,  1476.00, 34, 0, 12.86, 
2021/06/15, 13:06:37, 51.454628, -3.622160, 76.23,  1008.00, 0, 0, 22.77, 
2021/06/15, 13:07:03, 51.454601, -3.622249, 55.21,  936.00, 0, 0, 6.86, 
2021/06/15, 13:07:28, 51.454777, -3.622098, 111.17,  1764.00, 0, 0, 22.19, 
2021/06/15, 13:07:54, 51.454826, -3.622041, 96.97,  792.00, 356, 0, 6.73, 
2021/06/15, 13:08:20, 51.454678, -3.622035, 80.35,  792.00, 3, 0, 16.46, 
2021/06/15, 13:08:46, 51.454601, -3.622226, 121.84,  2520.00, 274, 0, 15.76, 
2021/06/15, 13:09:13, 51.454796, -3.622041, 91.67,  1440.00, 0, 0, 25.19, 
2021/06/15, 13:09:38, 51.454514, -3.622244, 114.30,  1404.00, 2, 0, 34.37, 
2021/06/15, 13:10:04, 51.454464, -3.622233, 110.58,  2016.00, 267, 0, 5.61, 
2021/06/15, 13:10:27, 51.454540, -3.622018, 77.69,  216.00, 338, 0, 17.13, 
2021/06/15, 13:10:52, 51.454605, -3.621996, 83.59,  2304.00, 348, 0, 7.39, 
2021/06/15, 13:11:16, 51.454418, -3.622158, 128.69,  900.00, 347, 0, 23.63, 
2021/06/15, 13:11:40, 51.454624, -3.622070, 91.56,  972.00, 359, 0, 23.70, 
2021/06/15, 13:12:04, 51.454651, -3.622065, 89.38,  1260.00, 13, 0, 3.02, 
2021/06/15, 13:12:29, 51.454613, -3.622212, 125.98,  1512.00, 14, 0, 11.03, 
2021/06/15, 13:12:54, 51.454685, -3.621909, 98.30,  2412.00, 7, 0, 22.47, 
2021/06/15, 13:13:20, 51.454655, -3.621969, 84.29,  468.00, 351, 0, 5.33, 
2021/06/15, 13:13:45, 51.454567, -3.622124, 74.32,  828.00, 0, 0, 14.53, 
2021/06/15, 13:14:11, 51.454643, -3.621884, 77.82,  576.00, 334, 0, 18.65, 
2021/06/15, 13:14:38, 51.454529, -3.622034, 58.80,  1044.00, 0, 0, 16.39, 
2021/06/15, 13:15:02, 51.454620, -3.622006, 72.19,  1656.00, 0, 0, 10.30, 
2021/06/15, 13:15:29, 51.454578, -3.621984, 106.10,  1620.00, 16, 0, 4.91, 
2021/06/15, 13:15:54, 51.454601, -3.621988, 94.74,  1512.00, 0, 0, 2.57, 
2021/06/15, 13:16:20, 51.454590, -3.622075, 93.63,  684.00, 18, 0, 6.15, 
2021/06/15, 13:16:47, 51.454517, -3.622003, 94.53,  1044.00, 122, 0, 9.53, 
2021/06/15, 13:17:15, 51.454556, -3.622144, 112.29,  1116.00, 359, 0, 10.69, 
2021/06/15, 13:17:39, 51.454426, -3.622123, 119.54,  1764.00, 37, 0, 14.53, 
2021/06/15, 13:18:05, 51.454533, -3.622046, 101.64,  1944.00, 27, 0, 13.04, 
2021/06/15, 13:18:30, 51.454514, -3.622112, 106.51,  756.00, 355, 0, 5.04, 
2021/06/15, 13:18:55, 51.454552, -3.622233, 109.03,  1980.00, 338, 0, 9.39, 
2021/06/15, 13:19:18, 51.454575, -3.622103, 127.32,  1152.00, 0, 0, 9.36, 
2021/06/15, 13:19:44, 51.454567, -3.622238, 131.36,  576.00, 346, 0, 9.40, 
2021/06/15, 13:20:09, 51.454567, -3.622169, 124.30,  1620.00, 14, 0, 4.78, 
2021/06/15, 13:20:36, 51.454590, -3.622298, 114.50,  576.00, 345, 0, 9.30, 
2021/06/15, 13:21:00, 51.454575, -3.622263, 93.80,  1260.00, 0, 0, 2.94, 
2021/06/15, 13:21:27, 51.454472, -3.622113, 115.43,  576.00, 2, 0, 15.47, 
2021/06/15, 13:21:53, 51.454510, -3.622115, 122.65,  1656.00, 4, 0, 4.23, 
2021/06/15, 13:22:20, 51.454571, -3.622165, 118.84,  900.00, 341, 0, 7.62, 
2021/06/15, 13:22:46, 51.454586, -3.622140, 116.37,  900.00, 0, 0, 2.40, 
2021/06/15, 13:23:11, 51.454472, -3.622111, 127.46,  972.00, 12, 0, 12.83, 
2021/06/15, 13:23:36, 51.454578, -3.622154, 117.95,  1872.00, 356, 0, 12.16, 
2021/06/15, 13:24:01, 51.454510, -3.622083, 116.53,  3528.00, 84, 0, 9.02, 
2021/06/15, 13:24:29, 51.454498, -3.622109, 130.66,  900.00, 5, 0, 2.24, 
2021/06/15, 13:24:55, 51.454716, -3.622121, 112.21,  576.00, 8, 0, 24.25, 
2021/06/15, 13:25:31, 51.454597, -3.622024, 111.49,  1764.00, 1, 0, 14.84, 
2021/06/15, 13:26:16, 51.454697, -3.621961, 89.33,  540.00, 306, 0, 11.95, 
