Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 14:36:34, 51.454792, -3.621873, 67.48,  0.00, 151, -2, 0.00, 1
2021/06/15, 14:36:55, 51.454819, -3.621966, 58.89,  576.00, 104, 0, 7.11, 
2021/06/15, 14:37:16, 51.454926, -3.622072, 53.50,  0.00, 49, 0, 13.98, 
2021/06/15, 14:37:36, 51.454903, -3.622075, 64.01,  324.00, 339, 0, 2.57, 
2021/06/15, 14:37:56, 51.454769, -3.621682, 92.94,  0.00, 84, 0, 31.04, 
2021/06/15, 14:38:17, 51.454845, -3.621913, 69.19,  1260.00, 299, 0, 18.10, 
2021/06/15, 14:38:39, 51.454823, -3.621980, 60.03,  0.00, 49, 0, 5.25, 
2021/06/15, 14:39:01, 51.454861, -3.621982, 56.85,  1260.00, 323, 0, 4.23, 
2021/06/15, 14:39:22, 51.454800, -3.621970, 60.29,  0.00, 113, 0, 6.83, 
2021/06/15, 14:39:41, 51.454544, -3.621737, 89.21,  6408.00, 322, 0, 32.73, 
2021/06/15, 14:40:03, 51.454811, -3.621943, 52.99,  0.00, 331, 0, 32.94, 
2021/06/15, 14:40:25, 51.454754, -3.621868, 71.22,  1836.00, 310, 0, 8.20, 
2021/06/15, 14:40:46, 51.454788, -3.621949, 61.33,  936.00, 144, 0, 6.77, 
2021/06/15, 14:41:07, 51.454811, -3.622039, 54.86,  1224.00, 336, 0, 6.74, 
2021/06/15, 14:41:28, 51.454830, -3.622049, 54.51,  36.00, 345, 0, 2.22, 
2021/06/15, 14:41:50, 51.454865, -3.622097, 58.91,  2196.00, 330, 0, 5.12, 
2021/06/15, 14:42:12, 51.454720, -3.621831, 68.36,  3492.00, 335, 0, 24.49, 
2021/06/15, 14:42:35, 51.454823, -3.622018, 62.93,  1836.00, 327, 0, 17.29, 
2021/06/15, 14:42:56, 51.454918, -3.622138, 41.03,  0.00, 124, 0, 13.44, 
2021/06/15, 14:43:19, 51.454807, -3.622001, 61.11,  0.00, 320, 0, 15.57, 
2021/06/15, 14:43:41, 51.454678, -3.621880, 49.03,  900.00, 332, 0, 16.61, 
2021/06/15, 14:44:03, 51.454704, -3.621813, 74.81,  0.00, 90, 0, 5.47, 
2021/06/15, 14:44:23, 51.454666, -3.621774, 91.70,  5580.00, 293, 0, 5.02, 
2021/06/15, 14:44:43, 51.454903, -3.621999, 103.94,  0.00, 316, 0, 30.62, 
2021/06/15, 14:45:05, 51.454765, -3.621979, 69.95,  0.00, 91, 0, 15.41, 
2021/06/15, 14:45:24, 51.454914, -3.621944, 76.28,  0.00, 122, 0, 16.74, 
2021/06/15, 14:45:45, 51.454796, -3.621855, 80.65,  360.00, 143, 0, 14.50, 
2021/06/15, 14:46:09, 51.454731, -3.621902, 73.45,  0.00, 107, 0, 7.93, 
2021/06/15, 14:46:34, 51.454857, -3.621964, 86.89,  0.00, 93, 0, 14.65, 
2021/06/15, 14:46:59, 51.454777, -3.621926, 54.45,  0.00, 331, 0, 9.28, 
2021/06/15, 14:47:26, 51.454880, -3.622098, 66.72,  0.00, 333, 0, 16.53, 
2021/06/15, 14:47:45, 51.454830, -3.622075, 66.14,  0.00, 47, 0, 5.78, 
2021/06/15, 14:48:08, 51.454803, -3.622049, 68.46,  144.00, 114, 0, 3.50, 
2021/06/15, 14:48:27, 51.454788, -3.622089, 54.69,  0.00, 293, 0, 3.23, 
2021/06/15, 14:48:47, 51.454777, -3.621983, 66.19,  0.00, 323, 0, 7.45, 
2021/06/15, 14:49:08, 51.454998, -3.622227, 58.86,  4896.00, 330, 0, 29.83, 
2021/06/15, 14:49:29, 51.455173, -3.622208, 70.01,  4248.00, 339, 0, 19.50, 
2021/06/15, 14:49:48, 51.455441, -3.622599, 70.15,  6192.00, 297, 0, 40.27, 1
2021/06/15, 14:50:09, 51.455418, -3.622869, 63.28,  4824.00, 256, 0, 18.88, 
2021/06/15, 14:50:32, 51.455307, -3.623315, 64.44,  4572.00, 259, 0, 33.28, 
2021/06/15, 14:50:55, 51.455189, -3.623725, 49.06,  4500.00, 233, 0, 31.29, 
2021/06/15, 14:51:18, 51.455185, -3.624248, 42.87,  5256.00, 263, 0, 36.24, 
2021/06/15, 14:51:42, 51.455025, -3.624579, 47.72,  4896.00, 239, 0, 29.03, 
2021/06/15, 14:52:05, 51.454998, -3.625149, 36.87,  4464.00, 229, 0, 39.61, 1
2021/06/15, 14:52:25, 51.454800, -3.625300, 32.26,  3960.00, 220, 0, 24.38, 
2021/06/15, 14:52:44, 51.454685, -3.625461, 15.84,  0.00, 172, 0, 16.97, 1
2021/06/15, 14:53:03, 51.454597, -3.625445, 25.43,  0.00, 132, 0, 9.85, 
2021/06/15, 14:53:22, 51.454502, -3.625388, 18.80,  4356.00, 130, 0, 11.28, 
2021/06/15, 14:53:41, 51.454369, -3.625258, 9.14,  0.00, 159, 0, 17.32, 
2021/06/15, 14:53:59, 51.454224, -3.625109, 17.13,  5328.00, 140, 0, 19.15, 
2021/06/15, 14:54:17, 51.454102, -3.625037, 5.37,  3816.00, 126, 0, 14.45, 
2021/06/15, 14:54:37, 51.454067, -3.624892, 16.06,  648.00, 277, 0, 10.77, 1
2021/06/15, 14:54:56, 51.454002, -3.624768, 26.55,  0.00, 139, 0, 11.23, 
2021/06/15, 14:55:15, 51.454033, -3.624869, 9.99,  0.00, 130, 0, 7.80, 
2021/06/15, 14:55:38, 51.454014, -3.624967, -9.84,  1260.00, 258, 0, 7.11, 
2021/06/15, 14:55:58, 51.454052, -3.624867, 25.24,  504.00, 278, 0, 8.12, 
2021/06/15, 14:56:21, 51.454048, -3.624890, 30.55,  324.00, 136, 0, 1.65, 
2021/06/15, 14:56:40, 51.454063, -3.624893, 20.42,  0.00, 133, 0, 1.68, 
2021/06/15, 14:56:59, 51.454018, -3.624864, 15.48,  0.00, 242, 0, 5.39, 
2021/06/15, 14:57:18, 51.454037, -3.624903, 13.66,  0.00, 108, 0, 3.43, 
2021/06/15, 14:57:38, 51.453918, -3.624954, -61.83,  0.00, 91, 0, 13.70, 
2021/06/15, 14:57:57, 51.454018, -3.624771, 23.38,  0.00, 138, 0, 16.87, 
2021/06/15, 14:58:16, 51.454060, -3.624884, 16.10,  0.00, 311, 0, 9.12, 
2021/06/15, 14:58:35, 51.454041, -3.624876, 17.05,  0.00, 100, 0, 2.18, 
2021/06/15, 14:58:55, 51.454048, -3.624888, 19.17,  0.00, 147, 0, 1.14, 
2021/06/15, 14:59:14, 51.454021, -3.624931, 17.74,  0.00, 96, 0, 4.23, 
2021/06/15, 14:59:33, 51.454041, -3.624827, 19.69,  0.00, 73, 0, 7.54, 
2021/06/15, 14:59:52, 51.454048, -3.624867, 17.97,  0.00, 90, 0, 2.88, 
2021/06/15, 15:00:12, 51.454056, -3.624861, 19.80,  0.00, 142, 0, 0.98, 
2021/06/15, 15:00:31, 51.454033, -3.624867, 27.12,  0.00, 128, 0, 2.59, 
2021/06/15, 15:00:54, 51.454052, -3.624941, 15.12,  468.00, 350, 0, 5.55, 
2021/06/15, 15:01:14, 51.454044, -3.624849, 25.63,  0.00, 78, 0, 6.44, 
2021/06/15, 15:01:33, 51.454010, -3.624848, 22.06,  0.00, 255, 0, 3.78, 
2021/06/15, 15:01:54, 51.454044, -3.624833, 21.79,  0.00, 66, 0, 3.92, 
2021/06/15, 15:02:14, 51.454006, -3.624663, 37.26,  108.00, 87, 0, 12.51, 
2021/06/15, 15:02:34, 51.454021, -3.624848, 16.80,  0.00, 116, 0, 12.93, 
2021/06/15, 15:02:53, 51.454029, -3.624794, 26.24,  0.00, 50, 0, 3.85, 
2021/06/15, 15:03:16, 51.453945, -3.624716, 29.78,  1044.00, 127, 0, 10.79, 
2021/06/15, 15:03:40, 51.453938, -3.624647, 42.43,  0.00, 137, 0, 4.84, 
2021/06/15, 15:03:59, 51.454018, -3.624854, 15.45,  1836.00, 153, 0, 16.88, 
2021/06/15, 15:04:18, 51.454063, -3.624920, 10.74,  0.00, 87, 0, 6.78, 
2021/06/15, 15:04:39, 51.454006, -3.624762, 31.77,  0.00, 339, 0, 12.65, 
2021/06/15, 15:05:02, 51.454006, -3.624770, 34.01,  1188.00, 341, 0, 0.55, 
2021/06/15, 15:05:22, 51.453976, -3.624816, 18.82,  0.00, 175, 0, 4.61, 
2021/06/15, 15:05:41, 51.454041, -3.624926, 7.68,  0.00, 127, 0, 10.50, 
2021/06/15, 15:06:00, 51.454060, -3.624889, 27.73,  0.00, 290, 0, 3.32, 
2021/06/15, 15:06:20, 51.454014, -3.624914, 20.97,  0.00, 135, 0, 5.40, 
2021/06/15, 15:06:44, 51.454105, -3.625135, 3.30,  0.00, 305, 0, 18.35, 
2021/06/15, 15:07:06, 51.454094, -3.624969, 12.58,  0.00, 308, 0, 11.57, 
2021/06/15, 15:07:25, 51.453953, -3.624788, 20.52,  0.00, 325, 0, 20.08, 
2021/06/15, 15:07:45, 51.454044, -3.624915, 17.96,  2016.00, 150, 0, 13.41, 
2021/06/15, 15:08:04, 51.454060, -3.624858, 13.66,  0.00, 128, 0, 4.33, 
2021/06/15, 15:08:23, 51.453987, -3.624749, 36.95,  0.00, 115, 0, 11.09, 
2021/06/15, 15:08:44, 51.453972, -3.624858, 34.16,  0.00, 129, 0, 7.73, 
2021/06/15, 15:09:08, 51.454044, -3.624949, 10.08,  0.00, 104, 0, 10.19, 
2021/06/15, 15:09:32, 51.454014, -3.624941, 19.68,  0.00, 115, 0, 3.38, 
2021/06/15, 15:09:56, 51.453957, -3.624662, 43.91,  0.00, 114, 0, 20.34, 
2021/06/15, 15:10:15, 51.453987, -3.624914, 17.09,  0.00, 296, 0, 17.78, 
2021/06/15, 15:10:39, 51.454041, -3.624993, 10.39,  0.00, 118, 0, 8.13, 
2021/06/15, 15:10:58, 51.454048, -3.624891, 17.92,  0.00, 120, 0, 7.11, 
2021/06/15, 15:11:17, 51.454029, -3.624838, 27.44,  0.00, 108, 0, 4.24, 
2021/06/15, 15:11:36, 51.454025, -3.625014, 14.49,  0.00, 69, 0, 12.20, 
2021/06/15, 15:11:56, 51.454044, -3.624947, 15.14,  0.00, 132, 0, 5.10, 
2021/06/15, 15:12:15, 51.454025, -3.625001, 16.72,  1260.00, 130, 0, 4.30, 
2021/06/15, 15:12:34, 51.454037, -3.624944, 10.22,  0.00, 111, 0, 4.17, 
2021/06/15, 15:12:53, 51.454006, -3.624904, 19.31,  0.00, 118, 0, 4.42, 
2021/06/15, 15:13:13, 51.453964, -3.624748, 34.02,  0.00, 123, 0, 11.78, 
2021/06/15, 15:13:37, 51.453976, -3.624764, 34.39,  0.00, 117, 0, 1.73, 
