Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 13:03:07, 51.454803, -3.622003, 65.42,  108.00, 187, -2, 0.00, 1
2021/06/15, 13:03:35, 51.454823, -3.622057, 65.23,  792.00, 0, 0, 4.35, 1
2021/06/15, 13:04:02, 51.454845, -3.622049, 68.25,  1440.00, 0, 0, 2.51, 
2021/06/15, 13:04:28, 51.454857, -3.622038, 67.82,  396.00, 0, 0, 1.54, 
2021/06/15, 13:04:57, 51.454918, -3.622059, 72.07,  1584.00, 8, 0, 6.94, 
2021/06/15, 13:05:24, 51.454899, -3.622049, 65.20,  612.00, 321, 0, 2.22, 
2021/06/15, 13:06:48, 51.454903, -3.622006, 57.67,  1404.00, 172, 0, 3.01, 
2021/06/15, 13:07:26, 51.454887, -3.622128, 61.99,  0.00, 22, 0, 8.64, 
2021/06/15, 13:07:49, 51.454857, -3.622163, 61.21,  2772.00, 12, 0, 4.12, 
2021/06/15, 13:08:10, 51.454830, -3.622051, 66.34,  2088.00, 4, 0, 8.32, 
2021/06/15, 13:08:33, 51.454632, -3.622161, 60.35,  0.00, 359, 0, 23.30, 
2021/06/15, 13:08:57, 51.454765, -3.622066, 55.46,  0.00, 0, 0, 16.19, 
2021/06/15, 13:09:19, 51.454777, -3.622092, 64.62,  0.00, 10, 0, 2.24, 
2021/06/15, 13:09:46, 51.454777, -3.622076, 62.25,  2448.00, 211, 0, 1.11, 
2021/06/15, 13:10:37, 51.454765, -3.622097, 54.19,  360.00, 170, 0, 1.97, 
2021/06/15, 13:11:05, 51.454887, -3.622125, 66.67,  756.00, 30, 0, 13.70, 
2021/06/15, 13:11:30, 51.454872, -3.622222, 68.31,  2088.00, 337, 0, 6.92, 
2021/06/15, 13:11:56, 51.454826, -3.622053, 64.68,  0.00, 346, 0, 12.78, 
2021/06/15, 13:12:19, 51.454777, -3.621935, 59.87,  2124.00, 4, 0, 9.83, 
2021/06/15, 13:12:44, 51.454845, -3.622018, 55.26,  2556.00, 345, 0, 9.50, 
2021/06/15, 13:13:31, 51.454834, -3.621856, 46.30,  504.00, 77, 0, 11.29, 
2021/06/15, 13:14:03, 51.454731, -3.622090, 47.92,  108.00, 338, 0, 19.85, 
2021/06/15, 13:14:29, 51.454845, -3.621928, 61.75,  2988.00, 359, 0, 16.93, 
2021/06/15, 13:14:52, 51.454845, -3.621868, 69.92,  0.00, 0, 0, 4.16, 
2021/06/15, 13:15:14, 51.454826, -3.622038, 79.67,  1404.00, 2, 0, 11.97, 
2021/06/15, 13:15:46, 51.454861, -3.621833, 56.63,  2088.00, 18, 0, 14.73, 
2021/06/15, 13:16:17, 51.454811, -3.622031, 78.82,  540.00, 323, 0, 14.80, 
2021/06/15, 13:16:41, 51.454876, -3.622032, 65.69,  2376.00, 348, 0, 7.23, 
2021/06/15, 13:17:02, 51.454845, -3.622019, 61.96,  2160.00, 25, 0, 3.56, 
2021/06/15, 13:17:23, 51.454845, -3.621959, 56.45,  0.00, 0, 0, 4.16, 
2021/06/15, 13:17:48, 51.454826, -3.621810, 39.81,  972.00, 352, 0, 10.54, 
2021/06/15, 13:18:11, 51.454754, -3.621800, 36.16,  2664.00, 25, 0, 8.04, 
2021/06/15, 13:18:38, 51.454704, -3.621611, -0.77,  1728.00, 28, 0, 14.23, 
2021/06/15, 13:19:15, 51.454765, -3.621684, 13.36,  1908.00, 42, 0, 8.46, 
2021/06/15, 13:19:57, 51.454758, -3.621970, 41.10,  864.00, 353, 0, 19.83, 
2021/06/15, 13:20:21, 51.454788, -3.622004, 49.90,  1692.00, 25, 0, 4.08, 
2021/06/15, 13:20:42, 51.454781, -3.622101, 60.65,  0.00, 3, 0, 6.77, 
2021/06/15, 13:21:08, 51.454815, -3.621994, 52.43,  576.00, 9, 0, 8.32, 
2021/06/15, 13:21:29, 51.454773, -3.621807, 35.20,  0.00, 0, 0, 13.77, 
2021/06/15, 13:21:50, 51.454731, -3.621787, 32.33,  2088.00, 17, 0, 4.87, 
