Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 14:19:06, 51.455383, -3.622859, 52.24,  4752.00, 254, -2, 0.00, 1
2021/06/15, 14:19:26, 51.455402, -3.623307, 55.15,  5292.00, 267, 0, 31.11, 1
2021/06/15, 14:19:50, 51.455338, -3.623737, 48.30,  4752.00, 254, 0, 30.63, 1
2021/06/15, 14:20:10, 51.455273, -3.624194, 53.32,  4932.00, 254, 0, 32.48, 1
2021/06/15, 14:20:35, 51.455158, -3.624624, 44.67,  4248.00, 307, 0, 32.42, 1
2021/06/15, 14:20:58, 51.454926, -3.624861, 26.30,  4212.00, 242, 0, 30.58, 1
2021/06/15, 14:21:17, 51.454823, -3.625205, 17.38,  4392.00, 211, 0, 26.44, 1
2021/06/15, 14:21:42, 51.454723, -3.625525, 18.45,  4248.00, 184, 0, 24.80, 1
2021/06/15, 14:22:14, 51.454426, -3.625421, 8.01,  0.00, 158, 0, 33.80, 1
2021/06/15, 14:22:38, 51.454262, -3.625163, -2.11,  0.00, 152, 0, 25.54, 
2021/06/15, 14:23:05, 51.454227, -3.625108, 5.97,  0.00, 129, 0, 5.45, 
2021/06/15, 14:23:29, 51.453995, -3.624910, -3.85,  360.00, 135, 0, 29.22, 1
2021/06/15, 14:23:53, 51.453693, -3.624963, -24.68,  0.00, 353, 0, 33.78, 1
2021/06/15, 14:24:16, 51.453926, -3.624961, -8.55,  0.00, 357, 0, 25.91, 
2021/06/15, 14:24:39, 51.453903, -3.624968, -12.05,  0.00, 160, 0, 2.60, 
2021/06/15, 14:25:01, 51.453926, -3.624998, 7.33,  6912.00, 182, 0, 3.30, 
2021/06/15, 14:25:36, 51.454296, -3.624991, 21.90,  0.00, 330, 0, 41.14, 
2021/06/15, 14:26:04, 51.453953, -3.624929, -8.19,  3852.00, 176, 0, 38.38, 
2021/06/15, 14:26:34, 51.454391, -3.624977, 60.98,  0.00, 0, 0, 48.82, 
2021/06/15, 14:27:23, 51.454109, -3.625009, 24.22,  972.00, 272, 0, 31.44, 
2021/06/15, 14:27:49, 51.454090, -3.625115, -0.07,  72.00, 139, 0, 7.64, 
2021/06/15, 14:28:16, 51.454124, -3.625193, 20.57,  0.00, 129, 0, 6.60, 
2021/06/15, 14:28:39, 51.454102, -3.625057, 9.18,  216.00, 94, 0, 9.74, 
2021/06/15, 14:29:01, 51.454067, -3.625044, -10.03,  0.00, 52, 0, 3.99, 
2021/06/15, 14:29:24, 51.454155, -3.624939, 28.12,  324.00, 101, 0, 12.19, 
2021/06/15, 14:29:46, 51.454086, -3.625030, 13.85,  432.00, 87, 0, 9.93, 
2021/06/15, 14:30:09, 51.454128, -3.624951, 14.14,  144.00, 93, 0, 7.20, 
2021/06/15, 14:30:34, 51.454056, -3.624981, 15.04,  0.00, 196, 0, 8.27, 
2021/06/15, 14:30:57, 51.454082, -3.624999, 4.61,  0.00, 121, 0, 3.15, 
2021/06/15, 14:31:18, 51.454075, -3.625021, 17.34,  0.00, 92, 0, 1.71, 
2021/06/15, 14:31:37, 51.454124, -3.624961, 28.92,  1512.00, 43, 0, 6.85, 
2021/06/15, 14:31:57, 51.454105, -3.624905, 20.42,  0.00, 103, 0, 4.42, 
2021/06/15, 14:32:18, 51.454086, -3.624997, 16.05,  288.00, 190, 0, 6.72, 
2021/06/15, 14:32:38, 51.454067, -3.625010, 8.40,  0.00, 65, 0, 2.30, 
2021/06/15, 14:32:58, 51.453968, -3.625119, 11.02,  0.00, 20, 0, 13.35, 
2021/06/15, 14:33:17, 51.454174, -3.624938, 20.89,  5076.00, 51, 0, 26.11, 
2021/06/15, 14:33:45, 51.454136, -3.624934, -5.45,  1332.00, 154, 0, 4.23, 
2021/06/15, 14:34:10, 51.454220, -3.625026, 47.34,  1656.00, 39, 0, 11.31, 
2021/06/15, 14:34:36, 51.453960, -3.624938, -9.03,  2160.00, 156, 0, 29.55, 
2021/06/15, 14:34:58, 51.454132, -3.624982, 24.18,  0.00, 354, 0, 19.37, 
2021/06/15, 14:35:21, 51.454086, -3.624995, 8.00,  0.00, 123, 0, 5.19, 
2021/06/15, 14:36:13, 51.454052, -3.625020, 1.94,  1512.00, 60, 0, 4.16, 
2021/06/15, 14:37:23, 51.453976, -3.624996, 7.98,  4716.00, 327, 0, 8.61, 
2021/06/15, 14:37:55, 51.454136, -3.625002, 26.80,  0.00, 237, 0, 17.80, 
2021/06/15, 14:38:14, 51.454056, -3.625015, 4.74,  0.00, 311, 0, 8.94, 
2021/06/15, 14:38:33, 51.452209, -3.627371, -3.95,  58068.00, 226, 0, 262.36, 1
2021/06/15, 14:38:51, 51.450535, -3.630411, -0.88,  55116.00, 225, 0, 281.11, 1
2021/06/15, 14:39:10, 51.448734, -3.633240, -4.99,  51948.00, 226, 0, 280.24, 1
2021/06/15, 14:39:27, 51.447247, -3.635840, -6.28,  51768.00, 215, 0, 244.55, 1
2021/06/15, 14:39:46, 51.445492, -3.638246, -3.01,  49572.00, 220, 0, 256.68, 1
2021/06/15, 14:40:04, 51.443787, -3.640500, -0.65,  49716.00, 211, 0, 245.65, 1
2021/06/15, 14:40:22, 51.442242, -3.642946, -5.40,  49464.00, 227, 0, 241.36, 1
2021/06/15, 14:40:39, 51.440670, -3.645060, -34.62,  48456.00, 218, 0, 228.08, 1
2021/06/15, 14:40:56, 51.439365, -3.647580, -4.92,  46008.00, 234, 0, 227.08, 1
2021/06/15, 14:41:13, 51.438267, -3.650142, -4.76,  43776.00, 247, 0, 215.50, 1
2021/06/15, 14:41:32, 51.437180, -3.652656, -0.45,  43200.00, 230, 0, 212.07, 1
2021/06/15, 14:41:49, 51.436195, -3.655264, -4.31,  43884.00, 237, 0, 211.37, 1
2021/06/15, 14:42:08, 51.434994, -3.657658, -1.34,  41688.00, 248, 0, 213.01, 1
2021/06/15, 14:42:26, 51.434105, -3.660301, -9.79,  40896.00, 251, 0, 208.18, 1
2021/06/15, 14:42:44, 51.432995, -3.662745, -5.38,  40860.00, 234, 0, 209.61, 1
2021/06/15, 14:43:01, 51.431747, -3.664818, -7.93,  38952.00, 233, 0, 199.77, 1
2021/06/15, 14:43:19, 51.430885, -3.667262, 3.97,  39492.00, 243, 0, 194.66, 1
2021/06/15, 14:43:37, 51.429783, -3.669562, -3.32,  39240.00, 242, 0, 201.10, 1
2021/06/15, 14:43:55, 51.429386, -3.672400, -0.85,  41904.00, 256, 0, 201.64, 1
2021/06/15, 14:44:13, 51.429874, -3.675155, -7.88,  43740.00, 259, 0, 198.56, 1
2021/06/15, 14:44:31, 51.428757, -3.677617, 3.37,  43236.00, 236, 0, 211.09, 1
2021/06/15, 14:44:48, 51.427738, -3.680088, -17.67,  41544.00, 234, 0, 205.39, 1
2021/06/15, 14:45:05, 51.426651, -3.682505, -3.57,  39456.00, 246, 0, 206.62, 1
2021/06/15, 14:45:23, 51.425678, -3.684786, -8.53,  43488.00, 220, 0, 191.61, 1
2021/06/15, 14:45:41, 51.424473, -3.687075, -1.53,  41328.00, 235, 0, 207.70, 1
2021/06/15, 14:45:58, 51.422894, -3.688827, -12.02,  48024.00, 190, 0, 213.50, 1
2021/06/15, 14:46:16, 51.421711, -3.690874, -11.61,  43884.00, 247, 0, 193.52, 1
2021/06/15, 14:46:33, 51.420784, -3.693295, 3.50,  44424.00, 223, 0, 196.99, 1
2021/06/15, 14:46:51, 51.419800, -3.695948, -1.89,  41688.00, 233, 0, 214.04, 1
2021/06/15, 14:47:08, 51.418949, -3.698246, 3.12,  40572.00, 233, 0, 185.33, 1
2021/06/15, 14:47:26, 51.418118, -3.700781, -6.21,  40788.00, 218, 0, 198.59, 1
2021/06/15, 14:47:44, 51.416523, -3.702502, -5.27,  42516.00, 224, 0, 213.77, 1
2021/06/15, 14:48:02, 51.415878, -3.705030, -0.82,  37908.00, 258, 0, 189.41, 1
2021/06/15, 14:48:20, 51.415737, -3.707612, -4.52,  36504.00, 260, 0, 179.74, 1
2021/06/15, 14:48:38, 51.415401, -3.708837, 3.44,  1512.00, 290, 0, 92.80, 1
2021/06/15, 14:48:55, 51.415348, -3.708965, -12.66,  2880.00, 252, 0, 10.65, 1
2021/06/15, 14:49:12, 51.415436, -3.709046, 28.69,  648.00, 329, 0, 11.28, 1
2021/06/15, 14:49:29, 51.415443, -3.709319, -3.31,  4212.00, 273, 0, 18.95, 1
2021/06/15, 14:49:47, 51.415451, -3.709469, -1.71,  0.00, 294, 0, 10.44, 1
2021/06/15, 14:50:05, 51.415424, -3.709664, -6.18,  2160.00, 229, 0, 13.85, 
2021/06/15, 14:50:22, 51.415314, -3.709873, 11.70,  2484.00, 263, 0, 18.97, 
2021/06/15, 14:50:39, 51.415462, -3.710001, 1.39,  2484.00, 274, 0, 18.70, 
2021/06/15, 14:50:56, 51.415390, -3.710097, 11.32,  3384.00, 254, 0, 10.41, 
2021/06/15, 14:51:14, 51.415462, -3.710224, 8.66,  5040.00, 196, 0, 11.90, 1
2021/06/15, 14:51:31, 51.415409, -3.710334, 13.37,  4572.00, 267, 0, 9.64, 1
2021/06/15, 14:51:49, 51.415325, -3.710598, -6.64,  1620.00, 292, 0, 20.55, 
2021/06/15, 14:52:06, 51.415260, -3.710809, 5.04,  2484.00, 235, 0, 16.32, 
2021/06/15, 14:52:23, 51.415241, -3.710864, -3.42,  1440.00, 295, 0, 4.36, 
2021/06/15, 14:52:40, 51.415134, -3.711135, -17.29,  2412.00, 142, 0, 22.24, 
2021/06/15, 14:53:02, 51.415726, -3.711033, 57.53,  3924.00, 344, 0, 66.21, 1
2021/06/15, 14:53:19, 51.415367, -3.711275, -13.10,  1980.00, 252, 0, 43.30, 1
2021/06/15, 14:53:36, 51.415409, -3.711382, -3.04,  864.00, 271, 0, 8.77, 1
2021/06/15, 14:53:54, 51.415405, -3.711465, 3.18,  1584.00, 227, 0, 5.77, 
2021/06/15, 14:54:11, 51.415386, -3.711519, 4.56,  1548.00, 214, 0, 4.30, 
2021/06/15, 14:54:28, 51.415287, -3.711755, -10.76,  1476.00, 313, 0, 19.72, 
