Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 13:02:24, 51.454723, -3.621902, 26.86,  0.00, 40, -2, 0.00, 1
2021/06/15, 13:03:31, 51.454659, -3.622260, 71.77,  1512.00, 0, 0, 25.81, 1
2021/06/15, 13:04:37, 51.454758, -3.621887, 40.05,  0.00, 0, 0, 28.09, 
2021/06/15, 13:05:46, 51.454800, -3.621797, 81.62,  1620.00, 349, 0, 7.79, 
2021/06/15, 13:06:55, 51.454830, -3.621915, 87.46,  1764.00, 0, 0, 8.83, 
2021/06/15, 13:08:03, 51.454853, -3.621948, 86.59,  3204.00, 42, 0, 3.43, 
2021/06/15, 13:09:10, 51.454742, -3.622045, 42.42,  0.00, 0, 0, 14.05, 
2021/06/15, 13:10:17, 51.454838, -3.621846, 66.68,  1368.00, 4, 0, 17.44, 
2021/06/15, 13:11:26, 51.454899, -3.621742, 62.08,  792.00, 0, 0, 9.90, 
2021/06/15, 13:12:35, 51.454742, -3.622126, 77.16,  900.00, 10, 0, 31.82, 
2021/06/15, 13:13:42, 51.454796, -3.622116, 47.89,  0.00, 339, 0, 6.04, 
2021/06/15, 13:14:52, 51.454807, -3.621870, 49.51,  1512.00, 329, 0, 17.09, 
2021/06/15, 13:16:03, 51.454739, -3.621980, 67.00,  1008.00, 0, 0, 10.74, 
2021/06/15, 13:17:13, 51.454769, -3.622001, 60.44,  2556.00, 64, 0, 3.64, 
2021/06/15, 13:18:22, 51.454861, -3.621798, 54.99,  1512.00, 4, 0, 17.39, 
2021/06/15, 13:19:28, 51.454830, -3.621804, 51.27,  900.00, 0, 0, 3.47, 
2021/06/15, 13:20:36, 51.454891, -3.621797, 55.78,  2160.00, 342, 0, 6.80, 
2021/06/15, 13:21:48, 51.455059, -3.621620, 60.27,  1116.00, 10, 0, 22.35, 1
2021/06/15, 13:22:57, 51.455135, -3.621483, 57.67,  3240.00, 15, 0, 12.71, 1
2021/06/15, 13:24:09, 51.455017, -3.621486, 60.40,  324.00, 4, 0, 13.12, 
2021/06/15, 13:25:22, 51.455063, -3.621458, 48.42,  1116.00, 334, 0, 5.47, 
2021/06/15, 13:26:51, 51.455399, -3.621891, 120.33,  1440.00, 38, 0, 47.92, 
2021/06/15, 13:28:00, 51.455238, -3.621798, 111.12,  3708.00, 44, 0, 19.03, 
2021/06/15, 13:29:11, 51.455166, -3.621730, 91.65,  3096.00, 282, 0, 9.29, 
2021/06/15, 13:30:30, 51.455116, -3.621294, 26.89,  828.00, 326, 0, 30.72, 
2021/06/15, 13:31:44, 51.455029, -3.621490, 46.30,  252.00, 0, 0, 16.67, 
2021/06/15, 13:32:51, 51.455074, -3.621297, 51.96,  3384.00, 43, 0, 14.28, 
2021/06/15, 13:34:04, 51.455063, -3.621276, 19.68,  900.00, 358, 0, 1.90, 
2021/06/15, 13:35:13, 51.455120, -3.621180, 16.76,  576.00, 359, 0, 9.19, 
2021/06/15, 13:36:27, 51.454990, -3.622018, 81.16,  792.00, 325, 0, 59.84, 
2021/06/15, 13:37:40, 51.454819, -3.622159, 106.64,  648.00, 285, 0, 21.38, 
2021/06/15, 13:38:52, 51.454880, -3.622067, 106.35,  2304.00, 28, 0, 9.31, 
2021/06/15, 13:40:03, 51.455017, -3.622037, 106.31,  2484.00, 5, 0, 15.37, 
2021/06/15, 13:41:14, 51.454941, -3.622168, 103.73,  1152.00, 0, 0, 12.40, 
2021/06/15, 13:42:22, 51.454998, -3.622067, 105.61,  576.00, 354, 0, 9.44, 
2021/06/15, 13:43:33, 51.455132, -3.621490, 94.05,  1620.00, 21, 0, 42.67, 
2021/06/15, 13:44:41, 51.455235, -3.621858, 95.75,  1872.00, 351, 0, 27.95, 
2021/06/15, 13:45:52, 51.455082, -3.621852, 101.36,  2232.00, 264, 0, 17.02, 
2021/06/15, 13:47:01, 51.455311, -3.621637, 98.48,  9540.00, 9, 0, 29.50, 
2021/06/15, 13:48:11, 51.455280, -3.621606, 96.85,  3384.00, 57, 0, 4.06, 
2021/06/15, 13:49:32, 51.455750, -3.621551, 105.01,  756.00, 121, 0, 52.40, 
2021/06/15, 13:50:38, 51.455669, -3.621599, 111.74,  3744.00, 31, 0, 9.60, 
2021/06/15, 13:51:45, 51.455551, -3.621674, 108.83,  396.00, 0, 0, 14.11, 
2021/06/15, 13:52:55, 51.455296, -3.621789, 98.10,  1224.00, 2, 0, 29.45, 
2021/06/15, 13:54:10, 51.455200, -3.622046, 106.12,  360.00, 0, 0, 20.76, 
2021/06/15, 13:55:19, 51.455181, -3.622038, 106.48,  1296.00, 351, 0, 2.18, 
2021/06/15, 13:56:28, 51.455139, -3.621619, 65.86,  2448.00, 289, 0, 29.41, 
2021/06/15, 13:57:39, 51.455421, -3.621621, 58.33,  2124.00, 297, 0, 31.36, 
2021/06/15, 13:58:46, 51.455433, -3.621623, 49.76,  1692.00, 0, 0, 1.34, 
2021/06/15, 13:59:53, 51.455513, -3.621591, 61.28,  2556.00, 346, 0, 9.17, 
2021/06/15, 14:01:03, 51.455345, -3.621586, 46.01,  900.00, 10, 0, 18.68, 
2021/06/15, 14:02:13, 51.455254, -3.621545, 51.05,  1116.00, 0, 0, 10.51, 
2021/06/15, 14:03:24, 51.455864, -3.621702, 118.12,  1764.00, 79, 0, 68.70, 
2021/06/15, 14:04:49, 51.455311, -3.622017, 112.00,  540.00, 316, 0, 65.25, 
2021/06/15, 14:05:58, 51.455257, -3.621993, 105.34,  360.00, 328, 0, 6.23, 
2021/06/15, 14:07:08, 51.455204, -3.621591, 49.64,  396.00, 0, 0, 28.47, 
2021/06/15, 14:08:20, 51.455494, -3.621605, 88.09,  648.00, 1, 0, 32.26, 
2021/06/15, 14:09:31, 51.455864, -3.621639, 127.24,  4752.00, 355, 0, 41.21, 
2021/06/15, 14:10:40, 51.455807, -3.621706, 125.66,  540.00, 345, 0, 7.86, 
2021/06/15, 14:11:51, 51.455761, -3.621499, 132.81,  1008.00, 12, 0, 15.23, 
2021/06/15, 14:13:05, 51.455730, -3.621539, 128.96,  3168.00, 29, 0, 4.42, 
2021/06/15, 14:14:11, 51.455769, -3.621504, 128.93,  2448.00, 357, 0, 4.97, 
2021/06/15, 14:15:24, 51.455597, -3.621592, 114.34,  360.00, 350, 0, 20.07, 1
2021/06/15, 14:16:32, 51.455715, -3.621761, 113.75,  900.00, 345, 0, 17.59, 1
2021/06/15, 14:17:41, 51.455940, -3.621656, 129.87,  396.00, 0, 0, 26.06, 
2021/06/15, 14:18:51, 51.456554, -3.622268, 170.17,  4500.00, 286, 0, 80.37, 1
2021/06/15, 14:20:00, 51.456470, -3.623572, 153.99,  4788.00, 269, 0, 90.83, 1
2021/06/15, 14:21:10, 51.456150, -3.624749, 148.95,  4212.00, 228, 0, 88.98, 1
2021/06/15, 14:22:17, 51.455952, -3.624842, 150.32,  4032.00, 86, 0, 22.94, 1
2021/06/15, 14:23:26, 51.455391, -3.624508, 148.42,  756.00, 31, 0, 66.53, 1
2021/06/15, 14:24:34, 51.455368, -3.624519, 147.33,  504.00, 0, 0, 2.67, 1
2021/06/15, 14:25:43, 51.455280, -3.624442, 146.47,  216.00, 0, 0, 11.15, 
2021/06/15, 14:26:49, 51.455315, -3.624416, 145.78,  288.00, 0, 0, 4.29, 
2021/06/15, 14:27:55, 51.455322, -3.624447, 144.97,  252.00, 0, 0, 2.28, 
2021/06/15, 14:29:02, 51.455318, -3.624449, 143.82,  396.00, 0, 0, 0.47, 
2021/06/15, 14:30:08, 51.454365, -3.625395, 147.91,  51624.00, 220, 0, 124.60, 1
2021/06/15, 14:31:14, 51.447510, -3.635433, 102.90,  46188.00, 234, 0, 1031.91, 1
2021/06/15, 14:32:19, 51.443268, -3.644975, 90.56,  44784.00, 236, 0, 812.28, 1
2021/06/15, 14:33:23, 51.439270, -3.654226, 76.58,  43992.00, 239, 0, 780.22, 1
2021/06/15, 14:34:27, 51.436348, -3.664011, 101.13,  39060.00, 237, 0, 752.05, 1
2021/06/15, 14:35:33, 51.434792, -3.667882, 17.85,  864.00, 0, 0, 319.28, 1
2021/06/15, 14:36:38, 51.434837, -3.668014, 18.05,  1944.00, 347, 0, 10.43, 1
2021/06/15, 14:37:42, 51.434937, -3.668464, 17.85,  756.00, 359, 0, 33.12, 
2021/06/15, 14:38:46, 51.435036, -3.668811, 18.49,  792.00, 0, 0, 26.45, 1
