Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 14:51:06, 51.455254, -3.623940, 47.48,  5112.00, 252, -2, 0.00, 1
2021/06/15, 14:51:24, 51.455166, -3.624357, 41.24,  4680.00, 257, 0, 30.51, 
2021/06/15, 14:51:42, 51.455124, -3.624599, 29.79,  6300.00, 256, 0, 17.41, 
2021/06/15, 14:52:00, 51.455025, -3.624969, 28.29,  4464.00, 246, 0, 27.90, 
2021/06/15, 14:52:17, 51.454933, -3.625164, 41.93,  4860.00, 232, 0, 16.95, 
2021/06/15, 14:52:34, 51.454865, -3.624983, -25.02,  2124.00, 211, 0, 14.64, 
2021/06/15, 14:52:54, 51.454811, -3.625312, -31.63,  2988.00, 317, 0, 23.57, 1
2021/06/15, 14:53:12, 51.454639, -3.625443, 14.27,  0.00, 121, 0, 21.17, 1
2021/06/15, 14:53:30, 51.454765, -3.624936, -69.62,  5148.00, 132, 0, 37.82, 
2021/06/15, 14:53:48, 51.453880, -3.625418, -38.90,  3060.00, 208, 0, 103.92, 
2021/06/15, 14:54:06, 51.454220, -3.625075, 13.82,  0.00, 138, 0, 44.66, 
2021/06/15, 14:54:24, 51.454048, -3.625105, 26.52,  0.00, 147, 0, 19.24, 
2021/06/15, 14:54:44, 51.454079, -3.624955, 15.99,  72.00, 160, 0, 10.95, 
2021/06/15, 14:55:02, 51.454109, -3.624987, 13.42,  0.00, 146, 0, 4.01, 
2021/06/15, 14:55:21, 51.454166, -3.624864, 40.19,  0.00, 43, 0, 10.62, 
2021/06/15, 14:55:44, 51.454029, -3.624998, -28.84,  2700.00, 58, 0, 17.84, 
2021/06/15, 14:56:02, 51.454052, -3.625022, 4.43,  0.00, 201, 0, 3.05, 
2021/06/15, 14:56:24, 51.453949, -3.624987, -11.55,  576.00, 298, 0, 11.71, 
2021/06/15, 14:56:43, 51.454250, -3.625054, 33.98,  972.00, 3, 0, 33.79, 
2021/06/15, 14:57:04, 51.454113, -3.625042, 20.31,  0.00, 158, 0, 15.26, 1
2021/06/15, 14:57:22, 51.452568, -3.625579, 2.99,  44856.00, 210, 0, 175.78, 1
2021/06/15, 14:57:40, 51.450779, -3.627075, 2.73,  46440.00, 204, 0, 224.32, 
2021/06/15, 14:57:58, 51.449009, -3.628552, 0.68,  44964.00, 202, 0, 221.84, 
2021/06/15, 14:58:16, 51.447136, -3.630144, 1.00,  48312.00, 206, 0, 235.68, 
2021/06/15, 14:58:33, 51.445492, -3.631696, 12.58,  50904.00, 198, 0, 212.10, 
2021/06/15, 14:58:51, 51.443455, -3.633300, -9.91,  47052.00, 215, 0, 252.31, 1
2021/06/15, 14:59:09, 51.441807, -3.635215, -5.45,  45828.00, 214, 0, 226.27, 
2021/06/15, 14:59:28, 51.440109, -3.637266, -3.91,  42156.00, 222, 0, 236.34, 
2021/06/15, 14:59:46, 51.438553, -3.639062, 0.78,  41616.00, 217, 0, 213.15, 
2021/06/15, 15:00:04, 51.437103, -3.640895, 10.29,  41760.00, 215, 0, 205.28, 
2021/06/15, 15:00:22, 51.435555, -3.642670, -1.04,  42012.00, 215, 0, 211.58, 1
2021/06/15, 15:00:41, 51.434151, -3.644687, -1.97,  39384.00, 220, 0, 209.57, 
2021/06/15, 15:00:59, 51.432899, -3.646519, 0.49,  37800.00, 231, 0, 188.44, 
2021/06/15, 15:01:17, 51.431576, -3.648432, -2.86,  37440.00, 232, 0, 198.06, 
2021/06/15, 15:01:35, 51.430229, -3.650245, 1.31,  36540.00, 227, 0, 195.53, 1
2021/06/15, 15:01:53, 51.428997, -3.652158, 4.10,  40140.00, 216, 0, 190.67, 
2021/06/15, 15:02:11, 51.427738, -3.654071, 0.08,  38664.00, 229, 0, 192.84, 
2021/06/15, 15:02:29, 51.426456, -3.656001, 2.86,  41652.00, 217, 0, 195.51, 
2021/06/15, 15:02:47, 51.425175, -3.657959, -2.84,  39024.00, 233, 0, 196.77, 
2021/06/15, 15:03:06, 51.423962, -3.659938, 0.63,  23364.00, 210, 0, 192.41, 
2021/06/15, 15:03:24, 51.423931, -3.659908, 1.86,  0.00, 196, 0, 4.03, 1
2021/06/15, 15:03:41, 51.423885, -3.659992, 3.66,  12852.00, 256, 0, 7.75, 
2021/06/15, 15:03:59, 51.423042, -3.661674, -2.12,  34056.00, 224, 0, 149.63, 
2021/06/15, 15:04:18, 51.422829, -3.662081, 5.63,  0.00, 235, 0, 36.84, 1
