Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2021/06/15, 13:48:04, 51.455379, -3.622335, 55.19,  5004.00, 329, -2, 0.00, 1
2021/06/15, 13:48:26, 51.455372, -3.622784, 33.64,  5724.00, 268, 0, 31.12, 
2021/06/15, 13:48:49, 51.455460, -3.623275, 32.19,  6012.00, 261, 0, 35.40, 1
2021/06/15, 13:49:12, 51.455379, -3.623726, 46.48,  5544.00, 255, 0, 32.52, 
2021/06/15, 13:49:35, 51.455242, -3.624243, 34.10,  5364.00, 256, 0, 38.93, 
2021/06/15, 13:49:57, 51.455093, -3.624640, 39.72,  5472.00, 257, 0, 32.11, 
2021/06/15, 13:50:21, 51.455082, -3.625036, 31.31,  5724.00, 233, 0, 27.47, 1
2021/06/15, 13:50:39, 51.454716, -3.625329, 44.93,  3384.00, 255, 0, 45.48, 
2021/06/15, 13:50:59, 51.454628, -3.625506, 14.27,  0.00, 226, 0, 15.69, 1
2021/06/15, 13:51:22, 51.454594, -3.625419, 36.88,  5508.00, 132, 0, 7.12, 
2021/06/15, 13:51:42, 51.454399, -3.625186, 28.00,  0.00, 178, 0, 27.03, 
2021/06/15, 13:52:00, 51.454224, -3.624991, 40.71,  2520.00, 114, 0, 23.69, 1
2021/06/15, 13:52:24, 51.454094, -3.625035, 32.23,  0.00, 155, 0, 14.77, 1
2021/06/15, 13:52:49, 51.453968, -3.624992, 18.93,  0.00, 244, 0, 14.32, 
2021/06/15, 13:53:13, 51.453938, -3.624825, 34.83,  0.00, 14, 0, 12.04, 
2021/06/15, 13:53:31, 51.454041, -3.624942, -4.96,  0.00, 29, 0, 14.03, 
2021/06/15, 13:53:50, 51.454025, -3.625017, -20.66,  0.00, 125, 0, 5.49, 
2021/06/15, 13:54:08, 51.454048, -3.624889, 21.68,  0.00, 172, 0, 9.23, 
2021/06/15, 13:54:26, 51.454041, -3.624846, 25.15,  0.00, 20, 0, 3.08, 
2021/06/15, 13:55:07, 51.454212, -3.624886, 16.85,  504.00, 87, 0, 19.22, 
2021/06/15, 13:55:30, 51.454124, -3.624838, 38.94,  0.00, 292, 0, 10.33, 
2021/06/15, 13:55:48, 51.454224, -3.625055, 11.04,  0.00, 53, 0, 18.70, 
2021/06/15, 13:56:06, 51.454041, -3.625081, 31.18,  0.00, 168, 0, 20.43, 
2021/06/15, 13:56:29, 51.454216, -3.624919, 20.89,  0.00, 147, 0, 22.46, 
2021/06/15, 13:56:52, 51.454002, -3.625087, 32.91,  0.00, 181, 0, 26.49, 
2021/06/15, 13:57:14, 51.454067, -3.624948, 16.06,  108.00, 100, 0, 12.04, 
2021/06/15, 13:57:37, 51.454029, -3.624967, 24.09,  0.00, 126, 0, 4.43, 
2021/06/15, 13:57:58, 51.454033, -3.624886, 36.69,  0.00, 116, 0, 5.63, 
2021/06/15, 13:58:19, 51.454048, -3.624954, 28.89,  0.00, 80, 0, 5.00, 
2021/06/15, 13:58:38, 51.454094, -3.624753, 71.34,  0.00, 85, 0, 14.84, 
2021/06/15, 13:58:56, 51.453972, -3.624988, 54.16,  0.00, 160, 0, 21.19, 
2021/06/15, 13:59:35, 51.454002, -3.624929, 37.79,  360.00, 48, 0, 5.28, 
2021/06/15, 13:59:59, 51.454159, -3.624967, 9.59,  0.00, 129, 0, 17.66, 
2021/06/15, 14:00:22, 51.454048, -3.624956, 19.32,  0.00, 134, 0, 12.37, 
2021/06/15, 14:00:41, 51.454151, -3.625012, -0.59,  0.00, 191, 0, 12.09, 
2021/06/15, 14:00:59, 51.454010, -3.624927, 34.86,  0.00, 12, 0, 16.75, 
2021/06/15, 14:01:26, 51.454010, -3.625014, 17.37,  252.00, 54, 0, 6.03, 
2021/06/15, 14:01:56, 51.454258, -3.624856, 9.93,  6336.00, 171, 0, 29.67, 
2021/06/15, 14:02:50, 51.454048, -3.624961, 27.50,  0.00, 139, 0, 24.46, 
2021/06/15, 14:03:10, 51.452477, -3.626297, 10.77,  63072.00, 218, 0, 197.70, 1
2021/06/15, 14:03:28, 51.450333, -3.628730, -39.85,  51516.00, 215, 0, 291.99, 1
2021/06/15, 14:03:47, 51.448853, -3.631328, 0.31,  46260.00, 234, 0, 243.92, 1
2021/06/15, 14:04:05, 51.447582, -3.633985, -8.16,  44604.00, 222, 0, 232.11, 1
2021/06/15, 14:04:23, 51.446552, -3.636904, 5.83,  50580.00, 250, 0, 232.46, 1
2021/06/15, 14:04:41, 51.445633, -3.640202, 6.81,  50688.00, 245, 0, 250.36, 1
2021/06/15, 14:05:00, 51.444809, -3.643802, 8.11,  51156.00, 250, 0, 265.79, 
2021/06/15, 14:05:18, 51.443985, -3.647290, -0.28,  51408.00, 241, 0, 258.52, 1
2021/06/15, 14:05:36, 51.442852, -3.650436, 5.32,  50616.00, 239, 0, 251.82, 1
2021/06/15, 14:05:54, 51.441559, -3.653270, -4.71,  48744.00, 234, 0, 243.42, 
2021/06/15, 14:06:13, 51.440292, -3.656344, 5.27,  51156.00, 243, 0, 255.43, 1
2021/06/15, 14:06:31, 51.439102, -3.659341, 4.97,  48204.00, 237, 0, 246.29, 
2021/06/15, 14:06:49, 51.437927, -3.662387, -10.78,  49032.00, 234, 0, 248.29, 
2021/06/15, 14:07:07, 51.436794, -3.665330, -14.02,  46908.00, 238, 0, 239.76, 1
2021/06/15, 14:07:26, 51.435448, -3.667930, -6.59,  45900.00, 236, 0, 234.27, 1
2021/06/15, 14:07:44, 51.434059, -3.669989, -6.60,  45036.00, 238, 0, 210.30, 1
2021/06/15, 14:08:02, 51.433189, -3.673025, -3.59,  47736.00, 251, 0, 231.63, 1
2021/06/15, 14:08:20, 51.432068, -3.675640, -0.39,  46260.00, 239, 0, 220.00, 1
2021/06/15, 14:08:39, 51.431168, -3.678713, 8.16,  45540.00, 241, 0, 235.37, 1
2021/06/15, 14:08:57, 51.430573, -3.681816, 0.95,  46152.00, 270, 0, 225.06, 1
2021/06/15, 14:09:15, 51.430614, -3.685110, 4.75,  45504.00, 262, 0, 228.40, 1
2021/06/15, 14:09:33, 51.430016, -3.688178, -8.92,  44496.00, 255, 0, 222.84, 1
2021/06/15, 14:09:52, 51.429157, -3.691233, -8.83,  41436.00, 239, 0, 232.34, 1
2021/06/15, 14:10:10, 51.428593, -3.694092, -5.65,  42516.00, 239, 0, 207.89, 1
2021/06/15, 14:10:28, 51.427620, -3.696596, 0.20,  42588.00, 242, 0, 204.56, 1
2021/06/15, 14:10:46, 51.426979, -3.699477, 5.20,  40968.00, 262, 0, 212.08, 
2021/06/15, 14:11:05, 51.426460, -3.702471, 7.41,  42012.00, 265, 0, 215.45, 1
2021/06/15, 14:11:23, 51.426105, -3.705347, 0.35,  39852.00, 262, 0, 203.27, 
2021/06/15, 14:11:41, 51.425900, -3.707325, 10.23,  0.00, 317, 0, 139.02, 
2021/06/15, 14:11:59, 51.425945, -3.707574, -4.72,  0.00, 300, 0, 17.97, 
2021/06/15, 14:12:18, 51.426003, -3.707794, -2.37,  0.00, 286, 0, 16.56, 
2021/06/15, 14:12:36, 51.425728, -3.709252, -5.35,  37800.00, 250, 0, 105.61, 
2021/06/15, 14:12:54, 51.425362, -3.711920, 1.39,  37800.00, 236, 0, 189.41, 1
2021/06/15, 14:13:12, 51.424618, -3.714673, 2.43,  42300.00, 255, 0, 208.03, 1
2021/06/15, 14:13:31, 51.424278, -3.717993, 0.56,  45252.00, 263, 0, 233.28, 1
2021/06/15, 14:13:49, 51.424221, -3.721277, 1.36,  46152.00, 267, 0, 227.79, 
2021/06/15, 14:14:07, 51.424007, -3.724575, 1.78,  46944.00, 259, 0, 229.90, 1
2021/06/15, 14:14:25, 51.423141, -3.727648, -4.05,  46764.00, 243, 0, 233.82, 1
2021/06/15, 14:14:44, 51.422993, -3.731225, 5.32,  47664.00, 264, 0, 248.56, 1
2021/06/15, 14:15:02, 51.422623, -3.734544, -3.53,  44568.00, 255, 0, 233.78, 
2021/06/15, 14:15:20, 51.422337, -3.737676, 6.87,  44244.00, 260, 0, 219.48, 1
2021/06/15, 14:15:39, 51.422489, -3.740634, 3.44,  30960.00, 264, 0, 205.80, 
2021/06/15, 14:15:57, 51.422443, -3.742648, 5.63,  35784.00, 173, 0, 139.74, 1
2021/06/15, 14:16:15, 51.422157, -3.743073, 5.92,  0.00, 296, 0, 43.36, 1
2021/06/15, 14:16:33, 51.422142, -3.743259, -1.02,  0.00, 273, 0, 13.00, 
2021/06/15, 14:16:52, 51.421833, -3.744955, 0.33,  37224.00, 263, 0, 122.52, 1
2021/06/15, 14:17:11, 51.421692, -3.747982, 1.25,  40392.00, 259, 0, 210.47, 1
2021/06/15, 14:17:29, 51.421410, -3.750892, -3.87,  40320.00, 257, 0, 204.20, 
