Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/19, 13:09:36, 51.454575, -3.621840, 95.84,  144.00, 276, -2, 0.00, 1
2022/05/19, 13:09:52, 51.454502, -3.621723, 34.67,  0.00, 278, 0, 11.47, 
2022/05/19, 13:10:12, 51.454437, -3.621548, 12.74,  0.00, 290, 0, 14.12, 
2022/05/19, 13:10:29, 51.454338, -3.621313, -59.55,  0.00, 39, 0, 19.66, 
2022/05/19, 13:10:46, 51.454327, -3.621357, -4.09,  1980.00, 178, 0, 3.28, 
2022/05/19, 13:11:09, 51.454323, -3.621364, -26.71,  0.00, 299, 0, 0.66, 
2022/05/19, 13:11:34, 51.454521, -3.621526, -38.10,  0.00, 59, 0, 24.71, 
2022/05/19, 13:11:52, 51.454556, -3.621730, 46.73,  0.00, 31, 0, 14.66, 
2022/05/19, 13:12:09, 51.454529, -3.621651, 14.38,  0.00, 130, 0, 6.24, 
2022/05/19, 13:12:30, 51.454338, -3.621419, -33.42,  0.00, 110, 0, 26.64, 
2022/05/19, 13:12:51, 51.454456, -3.621570, 0.28,  3564.00, 122, 0, 16.78, 
2022/05/19, 13:13:08, 51.454441, -3.621507, 1.29,  0.00, 337, 0, 4.67, 
2022/05/19, 13:13:26, 51.454536, -3.621745, 32.97,  0.00, 106, 0, 19.58, 
2022/05/19, 13:13:43, 51.454384, -3.621549, -19.04,  0.00, 188, 0, 21.68, 
2022/05/19, 13:14:02, 51.454472, -3.621688, 9.85,  0.00, 230, 0, 13.73, 
2022/05/19, 13:14:21, 51.454529, -3.621734, 36.34,  0.00, 179, 0, 7.09, 
2022/05/19, 13:14:43, 51.454601, -3.621952, 62.66,  0.00, 37, 0, 17.10, 
2022/05/19, 13:15:14, 51.454506, -3.621644, 20.89,  1188.00, 306, 0, 23.81, 
2022/05/19, 13:15:34, 51.454494, -3.621718, 27.31,  0.00, 124, 0, 5.30, 
2022/05/19, 13:15:52, 51.454529, -3.621696, 23.99,  0.00, 288, 0, 4.18, 
2022/05/19, 13:16:16, 51.454468, -3.621569, 17.41,  0.00, 136, 0, 11.11, 
2022/05/19, 13:16:39, 51.454487, -3.621562, 23.29,  0.00, 145, 0, 2.17, 
2022/05/19, 13:16:59, 51.454620, -3.622073, 51.59,  0.00, 85, 0, 38.37, 
2022/05/19, 13:17:16, 51.454567, -3.621687, 32.04,  0.00, 304, 0, 27.39, 
2022/05/19, 13:17:38, 51.454441, -3.621438, 17.71,  0.00, 297, 0, 22.23, 
2022/05/19, 13:17:58, 51.454437, -3.621521, 40.57,  0.00, 252, 0, 5.77, 
2022/05/19, 13:18:18, 51.454449, -3.621691, 44.62,  0.00, 84, 0, 11.85, 
2022/05/19, 13:18:42, 51.454388, -3.621840, 37.52,  5076.00, 141, 0, 12.35, 
2022/05/19, 13:19:06, 51.454468, -3.621587, 61.13,  0.00, 197, 0, 19.66, 
2022/05/19, 13:19:34, 51.454632, -3.621983, -76.18,  0.00, 297, 0, 32.95, 
2022/05/19, 13:20:25, 51.454880, -3.622433, 20.01,  3204.00, 300, 0, 41.63, 
2022/05/19, 13:20:44, 51.454998, -3.622489, 5.36,  1908.00, 140, 0, 13.68, 
2022/05/19, 13:21:00, 51.454659, -3.621833, 53.65,  7920.00, 307, 0, 59.05, 
2022/05/19, 13:21:16, 51.454639, -3.621988, 46.21,  3924.00, 304, 0, 10.97, 
2022/05/19, 13:21:33, 51.454617, -3.621669, 61.49,  180.00, 144, 0, 22.24, 
2022/05/19, 13:21:46, 51.454659, -3.621893, 27.71,  1332.00, 160, 0, 16.21, 
2022/05/19, 13:22:01, 51.454632, -3.621794, 68.38,  396.00, 114, 0, 7.49, 
2022/05/19, 13:22:16, 51.454605, -3.621756, 69.76,  0.00, 159, 0, 3.99, 
2022/05/19, 13:22:31, 51.454567, -3.621793, 59.10,  0.00, 130, 0, 4.94, 
2022/05/19, 13:22:46, 51.454582, -3.621765, 59.55,  0.00, 138, 0, 2.56, 
2022/05/19, 13:22:59, 51.454369, -3.621359, 0.57,  2700.00, 326, 0, 36.77, 
2022/05/19, 13:23:14, 51.454582, -3.621639, 60.44,  0.00, 317, 0, 30.62, 
2022/05/19, 13:23:29, 51.454559, -3.621693, 50.84,  0.00, 161, 0, 4.53, 
2022/05/19, 13:23:42, 51.454468, -3.621799, 48.83,  540.00, 199, 0, 12.50, 
2022/05/19, 13:23:57, 51.454601, -3.621768, 51.89,  0.00, 141, 0, 14.94, 
2022/05/19, 13:24:11, 51.454559, -3.621744, 53.15,  1476.00, 131, 0, 4.96, 
2022/05/19, 13:24:25, 51.454407, -3.621567, 19.07,  1368.00, 183, 0, 20.88, 
2022/05/19, 13:24:42, 51.454559, -3.621641, 66.68,  216.00, 355, 0, 17.66, 
2022/05/19, 13:24:59, 51.454502, -3.621647, 54.17,  720.00, 334, 0, 6.35, 
2022/05/19, 13:25:15, 51.454533, -3.621746, 46.52,  2628.00, 149, 0, 7.68, 
2022/05/19, 13:25:33, 51.454575, -3.621695, 65.22,  0.00, 70, 0, 5.86, 
2022/05/19, 13:25:51, 51.454552, -3.621688, 75.91,  0.00, 215, 0, 2.60, 
2022/05/19, 13:26:09, 51.454605, -3.621729, 65.88,  0.00, 317, 0, 6.54, 
