Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/19, 13:39:46, 51.454662, -3.621400, 46.94,  648.00, 2, -2, 0.00, 1
2022/05/19, 13:40:02, 51.454834, -3.621352, 15.85,  5292.00, 193, 0, 19.41, 1
2022/05/19, 13:40:18, 51.454655, -3.621514, 43.54,  6732.00, 51, 0, 22.85, 
2022/05/19, 13:40:49, 51.454601, -3.621453, 49.73,  576.00, 210, 0, 7.34, 1
2022/05/19, 13:41:59, 51.454742, -3.621359, 39.94,  864.00, 221, 0, 16.98, 
2022/05/19, 13:43:11, 51.454781, -3.621329, 25.19,  1188.00, 237, 0, 4.81, 
2022/05/19, 13:43:49, 51.454620, -3.621444, 44.81,  0.00, 19, 0, 19.60, 
2022/05/19, 13:44:02, 51.454380, -3.621604, 78.89,  2736.00, 250, 0, 28.90, 
2022/05/19, 13:44:16, 51.454422, -3.621743, 74.42,  1728.00, 45, 0, 10.70, 
2022/05/19, 13:44:30, 51.454323, -3.621746, 75.76,  0.00, 204, 0, 11.01, 
2022/05/19, 13:44:58, 51.454708, -3.621423, 47.55,  396.00, 213, 0, 48.31, 
2022/05/19, 13:45:13, 51.454689, -3.621377, 28.97,  0.00, 250, 0, 3.82, 
2022/05/19, 13:45:27, 51.454639, -3.621558, 51.93,  0.00, 0, 0, 13.72, 
2022/05/19, 13:45:41, 51.454620, -3.621502, 44.88,  1980.00, 14, 0, 4.42, 
2022/05/19, 13:45:55, 51.454651, -3.621417, 48.10,  1728.00, 96, 0, 6.82, 
2022/05/19, 13:46:10, 51.454666, -3.621499, 43.76,  0.00, 260, 0, 5.92, 
2022/05/19, 13:46:24, 51.454655, -3.621641, 50.70,  2160.00, 263, 0, 9.91, 
2022/05/19, 13:46:38, 51.454693, -3.621558, 39.99,  1080.00, 234, 0, 7.14, 
2022/05/19, 13:46:52, 51.454758, -3.621376, 33.82,  1188.00, 19, 0, 14.54, 
2022/05/19, 13:47:05, 51.454689, -3.621474, 35.49,  3060.00, 237, 0, 10.25, 
2022/05/19, 13:47:20, 51.454517, -3.621751, 57.82,  0.00, 357, 0, 27.10, 
2022/05/19, 13:47:34, 51.454620, -3.621618, 60.65,  0.00, 186, 0, 14.70, 
2022/05/19, 13:47:48, 51.454674, -3.621551, 46.33,  2232.00, 218, 0, 7.59, 
2022/05/19, 13:48:01, 51.454773, -3.621418, 24.67,  1260.00, 43, 0, 14.36, 
2022/05/19, 13:48:15, 51.454628, -3.621568, 51.98,  540.00, 239, 0, 19.18, 
2022/05/19, 13:48:31, 51.454739, -3.621414, 39.83,  0.00, 17, 0, 16.32, 
2022/05/19, 13:48:44, 51.454903, -3.621443, 31.62,  1620.00, 0, 0, 18.35, 
2022/05/19, 13:48:58, 51.454647, -3.621533, 59.90,  4140.00, 338, 0, 29.14, 
2022/05/19, 13:49:12, 51.454586, -3.621676, 56.44,  3528.00, 245, 0, 12.01, 
2022/05/19, 13:49:25, 51.454464, -3.621701, 63.91,  2232.00, 297, 0, 13.68, 
2022/05/19, 13:49:40, 51.454582, -3.621691, 54.54,  0.00, 25, 0, 13.14, 
2022/05/19, 13:49:57, 51.454754, -3.621444, 42.50,  0.00, 220, 0, 25.66, 
2022/05/19, 13:50:26, 51.454704, -3.621531, 49.22,  2052.00, 215, 0, 8.20, 
2022/05/19, 13:50:40, 51.454567, -3.621634, 60.55,  7920.00, 228, 0, 16.82, 
2022/05/19, 13:50:55, 51.454502, -3.621730, 64.04,  0.00, 295, 0, 9.82, 
2022/05/19, 13:51:09, 51.454594, -3.621591, 55.34,  4896.00, 223, 0, 14.05, 
2022/05/19, 13:51:23, 51.454639, -3.621533, 46.11,  5976.00, 216, 0, 6.42, 
2022/05/19, 13:51:37, 51.454693, -3.621413, 34.90,  4428.00, 203, 0, 10.26, 
2022/05/19, 13:52:09, 51.454647, -3.621619, 67.15,  1188.00, 229, 0, 15.16, 
2022/05/19, 13:52:37, 51.454617, -3.621469, 31.66,  4104.00, 57, 0, 10.92, 
2022/05/19, 13:53:04, 51.454491, -3.621832, 78.30,  2484.00, 55, 0, 28.79, 
2022/05/19, 13:53:26, 51.454487, -3.621876, 94.68,  1404.00, 20, 0, 3.08, 
2022/05/19, 13:53:44, 51.454491, -3.621777, 72.68,  2016.00, 158, 0, 6.87, 
