Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/19, 14:58:56, 51.454693, -3.621848, 66.01,  0.00, 133, -2, 0.00, 1
2022/05/19, 14:59:11, 51.454861, -3.621938, 71.68,  3060.00, 10, 0, 19.69, 
2022/05/19, 14:59:26, 51.454769, -3.621874, 73.20,  0.00, 345, 0, 11.15, 
2022/05/19, 14:59:40, 51.454609, -3.621748, 59.50,  2736.00, 334, 0, 19.82, 
2022/05/19, 14:59:55, 51.454578, -3.621812, 51.42,  0.00, 141, 0, 5.62, 
2022/05/19, 15:00:10, 51.454632, -3.621819, 70.80,  1476.00, 168, 0, 6.02, 
2022/05/19, 15:00:24, 51.454475, -3.621693, 57.36,  6948.00, 336, 0, 19.52, 
2022/05/19, 15:00:39, 51.454762, -3.621907, 74.47,  2844.00, 166, 0, 35.19, 
2022/05/19, 15:01:02, 51.454456, -3.621700, 63.74,  2556.00, 158, 0, 36.93, 
2022/05/19, 15:01:20, 51.454517, -3.621730, 61.97,  0.00, 349, 0, 7.09, 
2022/05/19, 15:01:37, 51.454449, -3.621685, 64.46,  1764.00, 79, 0, 8.18, 
2022/05/19, 15:01:56, 51.454632, -3.621777, 72.05,  4284.00, 29, 0, 21.32, 
2022/05/19, 15:02:13, 51.454662, -3.621868, 63.20,  0.00, 338, 0, 7.13, 
2022/05/19, 15:02:27, 51.454540, -3.621803, 58.13,  10188.00, 178, 0, 14.29, 
2022/05/19, 15:02:41, 51.454628, -3.621795, 65.79,  5004.00, 180, 0, 9.80, 
2022/05/19, 15:02:55, 51.454586, -3.621780, 64.96,  0.00, 350, 0, 4.78, 
2022/05/19, 15:03:09, 51.454430, -3.621791, 52.08,  0.00, 0, 0, 17.36, 
2022/05/19, 15:03:23, 51.454685, -3.621879, 75.61,  0.00, 196, 0, 29.00, 
2022/05/19, 15:03:40, 51.454483, -3.621712, 69.08,  0.00, 155, 0, 25.27, 
2022/05/19, 15:03:53, 51.454636, -3.621802, 61.86,  900.00, 0, 0, 18.12, 
2022/05/19, 15:04:08, 51.454540, -3.621868, 31.30,  0.00, 247, 0, 11.61, 
2022/05/19, 15:04:23, 51.454556, -3.621762, 76.41,  0.00, 153, 0, 7.56, 
2022/05/19, 15:04:38, 51.454597, -3.621871, 63.39,  0.00, 24, 0, 8.82, 
2022/05/19, 15:04:53, 51.454556, -3.621761, 67.48,  0.00, 204, 0, 8.88, 
2022/05/19, 15:05:07, 51.454342, -3.621819, 32.07,  828.00, 193, 0, 24.13, 
2022/05/19, 15:05:21, 51.454762, -3.621958, 75.06,  5004.00, 185, 0, 47.68, 
2022/05/19, 15:05:36, 51.454536, -3.621752, 67.24,  3636.00, 184, 0, 28.90, 
2022/05/19, 15:05:50, 51.454556, -3.621804, 57.62,  1692.00, 237, 0, 4.23, 
2022/05/19, 15:06:05, 51.454727, -3.621839, 79.77,  0.00, 213, 0, 19.17, 
2022/05/19, 15:06:19, 51.454613, -3.621778, 68.97,  0.00, 353, 0, 13.36, 
2022/05/19, 15:06:32, 51.454872, -3.621871, 101.31,  3672.00, 163, 0, 29.51, 
2022/05/19, 15:06:47, 51.454605, -3.621721, 85.40,  0.00, 162, 0, 31.46, 
2022/05/19, 15:07:00, 51.454533, -3.621821, 57.00,  540.00, 332, 0, 10.59, 
2022/05/19, 15:07:13, 51.454639, -3.621787, 84.74,  1224.00, 337, 0, 12.02, 
2022/05/19, 15:07:28, 51.454620, -3.621811, 64.92,  0.00, 162, 0, 2.69, 
2022/05/19, 15:07:42, 51.454571, -3.621785, 66.90,  2448.00, 323, 0, 5.74, 
2022/05/19, 15:07:56, 51.454605, -3.621788, 81.62,  2304.00, 14, 0, 3.79, 
2022/05/19, 15:08:09, 51.454617, -3.621902, 66.66,  1368.00, 144, 0, 8.01, 
2022/05/19, 15:08:22, 51.454628, -3.621814, 60.81,  756.00, 352, 0, 6.22, 
2022/05/19, 15:08:36, 51.454533, -3.621799, 50.73,  1296.00, 317, 0, 10.61, 
2022/05/19, 15:08:54, 51.454525, -3.621778, 56.99,  396.00, 174, 0, 1.71, 
2022/05/19, 15:09:07, 51.454735, -3.621878, 78.38,  1116.00, 168, 0, 24.36, 
2022/05/19, 15:09:22, 51.454601, -3.621776, 65.71,  0.00, 168, 0, 16.49, 
2022/05/19, 15:09:36, 51.454433, -3.621800, 49.12,  3528.00, 161, 0, 18.75, 
2022/05/19, 15:09:51, 51.454536, -3.621842, 45.01,  0.00, 205, 0, 11.82, 
2022/05/19, 15:10:04, 51.454491, -3.621830, 51.11,  3024.00, 339, 0, 5.07, 
2022/05/19, 15:10:18, 51.454449, -3.621745, 43.43,  4392.00, 177, 0, 7.52, 
2022/05/19, 15:10:33, 51.454601, -3.621826, 69.01,  0.00, 23, 0, 17.81, 
2022/05/19, 15:10:47, 51.454536, -3.621762, 66.97,  4140.00, 193, 0, 8.48, 
2022/05/19, 15:11:01, 51.454536, -3.621787, 49.96,  3420.00, 175, 0, 1.73, 
2022/05/19, 15:11:15, 51.454529, -3.621675, 63.54,  0.00, 174, 0, 7.80, 
2022/05/19, 15:11:29, 51.454468, -3.621797, 48.09,  2448.00, 210, 0, 10.84, 
2022/05/19, 15:11:43, 51.454491, -3.621728, 55.64,  1728.00, 14, 0, 5.42, 
2022/05/19, 15:11:57, 51.454453, -3.621725, 51.48,  2124.00, 55, 0, 4.23, 
2022/05/19, 15:12:11, 51.454586, -3.621800, 61.71,  0.00, 165, 0, 15.68, 
2022/05/19, 15:12:25, 51.454330, -3.621674, 38.14,  576.00, 143, 0, 29.77, 
2022/05/19, 15:12:39, 51.454575, -3.621722, 58.48,  1332.00, 115, 0, 27.45, 
2022/05/19, 15:12:54, 51.454620, -3.621804, 56.74,  0.00, 175, 0, 7.57, 
2022/05/19, 15:13:08, 51.454529, -3.621714, 62.23,  540.00, 305, 0, 11.89, 
2022/05/19, 15:13:22, 51.454567, -3.621756, 52.85,  288.00, 208, 0, 5.13, 
2022/05/19, 15:13:36, 51.454517, -3.621675, 67.66,  1152.00, 290, 0, 7.90, 
2022/05/19, 15:13:51, 51.454514, -3.621771, 52.33,  0.00, 231, 0, 6.66, 
2022/05/19, 15:14:05, 51.454575, -3.621720, 61.03,  1080.00, 164, 0, 7.65, 
2022/05/19, 15:14:19, 51.454571, -3.621708, 53.12,  2340.00, 109, 0, 0.94, 
2022/05/19, 15:14:33, 51.454533, -3.621739, 73.91,  1116.00, 78, 0, 4.74, 
2022/05/19, 15:14:49, 51.454536, -3.621754, 74.96,  0.00, 56, 0, 1.09, 
2022/05/19, 15:15:04, 51.454498, -3.621855, 57.57,  0.00, 118, 0, 8.17, 
2022/05/19, 15:15:19, 51.454617, -3.621699, 62.73,  0.00, 31, 0, 17.09, 
2022/05/19, 15:15:35, 51.454597, -3.621766, 74.72,  1692.00, 120, 0, 5.15, 
2022/05/19, 15:15:51, 51.454582, -3.621704, 76.81,  0.00, 39, 0, 4.61, 
2022/05/19, 15:16:05, 51.454552, -3.621748, 60.63,  0.00, 77, 0, 4.52, 
2022/05/19, 15:16:20, 51.454636, -3.621799, 89.36,  27648.00, 159, 0, 9.99, 
2022/05/19, 15:16:33, 51.454525, -3.621768, 60.19,  1476.00, 140, 0, 12.53, 
2022/05/19, 15:16:47, 51.454552, -3.621869, 59.96,  4968.00, 328, 0, 7.62, 
2022/05/19, 15:17:00, 51.454712, -3.621995, 55.17,  0.00, 320, 0, 19.82, 
2022/05/19, 15:17:13, 51.454826, -3.622078, 57.26,  0.00, 340, 0, 13.92, 
2022/05/19, 15:17:26, 51.455048, -3.622257, 56.21,  5364.00, 339, 0, 27.63, 
2022/05/19, 15:17:40, 51.455212, -3.622368, 54.82,  5508.00, 338, 0, 19.79, 
2022/05/19, 15:17:53, 51.455395, -3.622545, 48.14,  4752.00, 309, 0, 23.76, 1
2022/05/19, 15:18:06, 51.455402, -3.622801, 55.65,  5364.00, 276, 0, 17.75, 1
2022/05/19, 15:18:19, 51.455399, -3.623082, 49.34,  5436.00, 260, 0, 19.47, 
2022/05/19, 15:18:32, 51.455338, -3.623355, 43.82,  5184.00, 247, 0, 20.10, 
2022/05/19, 15:18:46, 51.455280, -3.623643, 55.95,  5688.00, 253, 0, 20.97, 
2022/05/19, 15:19:00, 51.455231, -3.623904, 44.59,  5580.00, 258, 0, 18.89, 
2022/05/19, 15:19:13, 51.455196, -3.624164, 37.68,  5184.00, 256, 0, 18.43, 1
2022/05/19, 15:19:26, 51.455132, -3.624433, 34.62,  0.00, 268, 0, 19.95, 
