Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/19, 13:01:20, 51.454559, -3.621554, 37.72,  144.00, 42, -2, 0.00, 1
2022/05/19, 13:01:38, 51.454597, -3.621405, 45.16,  0.00, 53, 0, 11.16, 1
2022/05/19, 13:01:56, 51.454556, -3.621476, 48.14,  0.00, 334, 0, 6.71, 
2022/05/19, 13:02:13, 51.454510, -3.621371, 11.63,  0.00, 54, 0, 8.89, 
2022/05/19, 13:02:27, 51.454403, -3.621210, -9.75,  0.00, 275, 0, 16.31, 
2022/05/19, 13:02:46, 51.454510, -3.621329, 11.38,  0.00, 82, 0, 14.48, 
2022/05/19, 13:03:04, 51.454517, -3.621481, 45.36,  0.00, 107, 0, 10.56, 
2022/05/19, 13:03:21, 51.454453, -3.621281, -0.43,  0.00, 294, 0, 15.58, 
2022/05/19, 13:03:38, 51.454491, -3.621287, 11.70,  0.00, 91, 0, 4.25, 
2022/05/19, 13:03:57, 51.454517, -3.621426, 24.47,  0.00, 111, 0, 10.06, 
2022/05/19, 13:04:16, 51.454559, -3.621413, 39.36,  0.00, 93, 0, 4.76, 
2022/05/19, 13:04:34, 51.454506, -3.621452, 36.55,  0.00, 291, 0, 6.48, 
2022/05/19, 13:04:50, 51.454506, -3.621478, 28.18,  0.00, 3, 0, 1.80, 
2022/05/19, 13:05:04, 51.454571, -3.621323, 7.06,  0.00, 153, 0, 12.95, 
2022/05/19, 13:05:20, 51.454559, -3.621461, 54.75,  0.00, 292, 0, 9.65, 
2022/05/19, 13:05:38, 51.454502, -3.621289, 13.00,  0.00, 332, 0, 13.50, 
2022/05/19, 13:05:57, 51.454544, -3.621283, 32.79,  0.00, 113, 0, 4.69, 
2022/05/19, 13:06:16, 51.454487, -3.621420, 20.89,  0.00, 61, 0, 11.41, 
2022/05/19, 13:06:51, 51.454502, -3.621366, 21.76,  0.00, 76, 0, 4.10, 
2022/05/19, 13:07:10, 51.454578, -3.621558, 39.53,  0.00, 108, 0, 15.76, 
2022/05/19, 13:07:26, 51.454449, -3.621343, -2.24,  0.00, 251, 0, 20.68, 
2022/05/19, 13:07:45, 51.454483, -3.621612, 33.42,  0.00, 321, 0, 19.02, 
2022/05/19, 13:08:05, 51.454468, -3.621439, 0.60,  0.00, 235, 0, 12.10, 
2022/05/19, 13:08:21, 51.454426, -3.621680, 36.54,  0.00, 295, 0, 17.34, 
2022/05/19, 13:08:38, 51.454395, -3.621708, 39.64,  1440.00, 148, 0, 3.96, 
2022/05/19, 13:08:59, 51.454426, -3.621679, 50.95,  0.00, 73, 0, 3.99, 
2022/05/19, 13:09:18, 51.454460, -3.621482, 21.34,  0.00, 123, 0, 14.16, 
2022/05/19, 13:09:35, 51.454590, -3.621690, 83.96,  576.00, 107, 0, 20.41, 
2022/05/19, 13:09:53, 51.454483, -3.621636, 55.37,  0.00, 341, 0, 12.47, 
2022/05/19, 13:10:10, 51.454445, -3.621702, 41.33,  0.00, 137, 0, 6.23, 
2022/05/19, 13:10:30, 51.454502, -3.621719, 68.84,  0.00, 108, 0, 6.45, 
2022/05/19, 13:10:50, 51.454445, -3.621724, 58.02,  0.00, 356, 0, 6.35, 
2022/05/19, 13:11:10, 51.454456, -3.621622, 42.88,  1872.00, 145, 0, 7.17, 
2022/05/19, 13:11:34, 51.454685, -3.621938, 158.63,  11736.00, 334, 0, 33.58, 
2022/05/19, 13:12:14, 51.454376, -3.621656, 20.37,  36.00, 50, 0, 39.53, 
2022/05/19, 13:12:35, 51.454773, -3.621953, 189.99,  432.00, 337, 0, 48.71, 
2022/05/19, 13:13:01, 51.454853, -3.621998, 218.56,  10656.00, 338, 0, 9.43, 
2022/05/19, 13:13:23, 51.454655, -3.621907, 141.04,  360.00, 179, 0, 22.90, 
2022/05/19, 13:13:43, 51.454811, -3.621940, 196.70,  0.00, 91, 0, 17.50, 
2022/05/19, 13:14:03, 51.454460, -3.621758, 63.93,  0.00, 155, 0, 41.02, 
