Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/19, 13:12:10, 51.454578, -3.621747, 68.00,  0.00, 71, -2, 0.00, 1
2022/05/19, 13:12:28, 51.454536, -3.621764, 52.80,  0.00, 19, 0, 4.82, 
2022/05/19, 13:12:46, 51.454792, -3.621760, 74.70,  4284.00, 342, 0, 28.47, 
2022/05/19, 13:13:03, 51.454746, -3.621888, 83.74,  1620.00, 73, 0, 10.24, 
2022/05/19, 13:13:19, 51.454117, -3.621395, 0.58,  0.00, 16, 0, 77.84, 
2022/05/19, 13:13:37, 51.455223, -3.622271, 139.42,  0.00, 81, 0, 137.14, 
2022/05/19, 13:13:55, 51.454956, -3.622013, 104.99,  0.00, 99, 0, 34.66, 
2022/05/19, 13:14:12, 51.455551, -3.622513, 179.42,  0.00, 109, 0, 74.68, 
2022/05/19, 13:14:30, 51.455551, -3.622536, 180.62,  0.00, 46, 0, 1.59, 
2022/05/19, 13:14:47, 51.455868, -3.622936, 217.12,  0.00, 274, 0, 44.84, 
2022/05/19, 13:15:05, 51.455990, -3.622894, 233.74,  0.00, 136, 0, 13.87, 
2022/05/19, 13:15:23, 51.456047, -3.622897, 235.35,  0.00, 37, 0, 6.34, 
2022/05/19, 13:15:41, 51.456173, -3.623132, 262.92,  0.00, 100, 0, 21.48, 
2022/05/19, 13:15:58, 51.454536, -3.621933, 52.65,  216.00, 53, 0, 200.09, 
2022/05/19, 13:16:14, 51.454472, -3.621922, 36.80,  2016.00, 339, 0, 7.16, 
2022/05/19, 13:16:30, 51.454433, -3.621897, 49.65,  576.00, 66, 0, 4.67, 
2022/05/19, 13:16:47, 51.454723, -3.621930, 76.66,  756.00, 1, 0, 32.33, 
2022/05/19, 13:17:04, 51.454746, -3.621958, 74.74,  3276.00, 166, 0, 3.21, 
2022/05/19, 13:17:22, 51.454750, -3.621969, 81.10,  0.00, 345, 0, 0.88, 
2022/05/19, 13:17:41, 51.454967, -3.621862, 81.38,  3384.00, 9, 0, 25.24, 
2022/05/19, 13:18:00, 51.455055, -3.621988, 106.27,  0.00, 345, 0, 13.11, 
2022/05/19, 13:18:23, 51.454861, -3.622065, 91.13,  4644.00, 24, 0, 22.22, 
2022/05/19, 13:18:46, 51.454575, -3.621741, 50.04,  2844.00, 91, 0, 38.93, 
2022/05/19, 13:19:07, 51.454613, -3.621972, 75.58,  0.00, 188, 0, 16.55, 
2022/05/19, 13:19:33, 51.454437, -3.621698, 47.60,  4176.00, 199, 0, 27.27, 
2022/05/19, 13:19:56, 51.454098, -3.621559, 4.81,  6300.00, 177, 0, 38.91, 
2022/05/19, 13:20:15, 51.454586, -3.621720, 49.24,  0.00, 83, 0, 55.40, 
2022/05/19, 13:20:35, 51.454647, -3.621784, 57.75,  0.00, 33, 0, 8.10, 
2022/05/19, 13:20:57, 51.454624, -3.621788, 54.67,  0.00, 8, 0, 2.57, 
2022/05/19, 13:21:16, 51.454601, -3.621774, 54.68,  0.00, 48, 0, 2.74, 
2022/05/19, 13:21:36, 51.454430, -3.621814, 45.09,  0.00, 218, 0, 19.22, 
2022/05/19, 13:21:56, 51.454720, -3.621860, 67.53,  0.00, 45, 0, 32.40, 
2022/05/19, 13:22:15, 51.454582, -3.621710, 46.96,  0.00, 179, 0, 18.53, 
2022/05/19, 13:22:33, 51.453983, -3.621816, 17.49,  0.00, 348, 0, 67.01, 
2022/05/19, 13:22:49, 51.454456, -3.621904, 62.35,  0.00, 204, 0, 52.95, 
2022/05/19, 13:23:06, 51.453999, -3.621945, 31.06,  1368.00, 345, 0, 50.90, 
2022/05/19, 13:23:24, 51.454296, -3.622034, 62.99,  1872.00, 31, 0, 33.60, 
2022/05/19, 13:23:43, 51.453762, -3.621952, 15.61,  0.00, 11, 0, 59.65, 
