Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/19, 13:12:41, 51.454556, -3.621801, 51.79,  0.00, 40, -2, 0.00, 1
2022/05/19, 13:13:02, 51.454601, -3.621687, 123.37,  0.00, 200, 0, 9.35, 1
2022/05/19, 13:13:19, 51.454601, -3.621759, 85.51,  0.00, 32, 0, 4.99, 
2022/05/19, 13:13:34, 51.454578, -3.621793, 73.71,  0.00, 74, 0, 3.48, 
2022/05/19, 13:13:50, 51.454594, -3.621798, 62.76,  0.00, 241, 0, 1.81, 
2022/05/19, 13:14:05, 51.454678, -3.621704, 86.02,  0.00, 61, 0, 11.39, 
2022/05/19, 13:14:20, 51.454620, -3.621817, 64.07,  0.00, 125, 0, 10.14, 
2022/05/19, 13:14:36, 51.454678, -3.621739, 79.14,  1044.00, 26, 0, 8.41, 
2022/05/19, 13:14:50, 51.454563, -3.621796, 98.56,  0.00, 133, 0, 13.38, 
2022/05/19, 13:15:07, 51.454636, -3.621770, 78.52,  0.00, 210, 0, 8.31, 
2022/05/19, 13:15:24, 51.454620, -3.621758, 87.96,  0.00, 33, 0, 1.96, 
2022/05/19, 13:15:44, 51.454483, -3.621941, -1.81,  0.00, 168, 0, 19.82, 
2022/05/19, 13:16:25, 51.454643, -3.621815, 73.10,  4932.00, 210, 0, 19.82, 
2022/05/19, 13:17:05, 51.454578, -3.621881, 49.88,  180.00, 182, 0, 8.55, 
2022/05/19, 13:17:22, 51.454628, -3.621872, 51.61,  0.00, 324, 0, 5.59, 
2022/05/19, 13:17:37, 51.454643, -3.621890, 50.17,  0.00, 201, 0, 2.08, 
2022/05/19, 13:17:53, 51.454624, -3.621884, 56.10,  0.00, 57, 0, 2.15, 
2022/05/19, 13:18:08, 51.454601, -3.621828, 38.26,  0.00, 231, 0, 4.65, 
2022/05/19, 13:18:24, 51.454624, -3.621849, 54.66,  0.00, 142, 0, 2.94, 
2022/05/19, 13:18:41, 51.454647, -3.621820, 46.48,  0.00, 76, 0, 3.25, 
2022/05/19, 13:18:57, 51.454674, -3.621855, 58.60,  0.00, 65, 0, 3.86, 
2022/05/19, 13:19:12, 51.454708, -3.621863, 60.38,  828.00, 179, 0, 3.82, 
2022/05/19, 13:19:27, 51.454769, -3.621778, 52.75,  0.00, 322, 0, 8.98, 
2022/05/19, 13:19:43, 51.454647, -3.621760, 37.27,  2448.00, 51, 0, 13.62, 
2022/05/19, 13:19:59, 51.454800, -3.621903, 56.10,  360.00, 280, 0, 19.69, 
2022/05/19, 13:20:15, 51.454739, -3.621876, 44.36,  1152.00, 345, 0, 7.04, 
2022/05/19, 13:20:30, 51.454632, -3.621782, 41.60,  1332.00, 334, 0, 13.56, 
2022/05/19, 13:20:46, 51.454613, -3.621832, 51.30,  0.00, 349, 0, 4.06, 
2022/05/19, 13:21:02, 51.454617, -3.621858, 57.00,  684.00, 56, 0, 1.86, 
2022/05/19, 13:21:17, 51.454525, -3.621836, 40.78,  684.00, 138, 0, 10.34, 
2022/05/19, 13:21:34, 51.454582, -3.621894, 63.73,  0.00, 212, 0, 7.50, 
2022/05/19, 13:21:51, 51.454613, -3.621830, 59.52,  2160.00, 319, 0, 5.62, 
2022/05/19, 13:22:07, 51.454685, -3.621759, 52.43,  0.00, 349, 0, 9.40, 
2022/05/19, 13:22:28, 51.454834, -3.621788, 60.36,  3996.00, 343, 0, 16.69, 
2022/05/19, 13:22:49, 51.454651, -3.621911, 75.92,  0.00, 151, 0, 22.06, 
2022/05/19, 13:23:10, 51.454720, -3.621770, 55.56,  0.00, 175, 0, 12.42, 
2022/05/19, 13:23:28, 51.454899, -3.621853, 90.55,  0.00, 236, 0, 20.72, 
2022/05/19, 13:23:49, 51.454517, -3.621804, 68.13,  0.00, 201, 0, 42.61, 
2022/05/19, 13:24:10, 51.454628, -3.621787, 68.59,  0.00, 251, 0, 12.40, 
2022/05/19, 13:24:26, 51.454620, -3.621794, 63.10,  792.00, 324, 0, 1.01, 
2022/05/19, 13:24:43, 51.454605, -3.621779, 73.99,  648.00, 63, 0, 1.97, 
2022/05/19, 13:25:03, 51.454811, -3.621752, 72.06,  0.00, 355, 0, 22.98, 
2022/05/19, 13:25:22, 51.454639, -3.621756, 59.22,  4608.00, 154, 0, 19.13, 
2022/05/19, 13:25:39, 51.454601, -3.621743, 43.97,  0.00, 157, 0, 4.32, 
2022/05/19, 13:25:55, 51.454308, -3.621341, -6.19,  0.00, 186, 0, 42.86, 
