Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:10:13, 51.454906, -3.622484, 39.28,  1260.00, 237, -2, 0.00, 1
2022/05/24, 12:17:40, 51.454906, -3.622484, 39.28,  1260.00, 237, 0, 0.00, 
2022/05/24, 12:19:20, 51.455063, -3.622257, 38.95,  612.00, 222, 0, 23.50, 
2022/05/24, 12:21:00, 51.454975, -3.622384, 38.93,  972.00, 242, 0, 13.16, 
2022/05/24, 12:21:52, 51.455067, -3.622276, 46.97,  612.00, 173, 0, 12.67, 1
2022/05/24, 12:22:19, 51.455002, -3.621967, 65.67,  1332.00, 59, 0, 22.60, 
2022/05/24, 12:23:19, 51.454964, -3.621891, 110.68,  180.00, 117, 0, 6.75, 
2022/05/24, 12:23:48, 51.454895, -3.622071, 52.49,  72.00, 166, 0, 14.64, 
2022/05/24, 12:24:05, 51.454922, -3.622099, 68.20,  144.00, 206, 0, 3.57, 
2022/05/24, 12:24:22, 51.454945, -3.622166, 70.92,  72.00, 185, 0, 5.30, 
2022/05/24, 12:24:39, 51.454967, -3.622075, 56.14,  108.00, 267, 0, 6.76, 
2022/05/24, 12:24:56, 51.455021, -3.622167, 61.23,  864.00, 123, 0, 8.76, 
2022/05/24, 12:25:13, 51.454952, -3.622157, 51.07,  1008.00, 141, 0, 7.70, 
2022/05/24, 12:25:30, 51.454876, -3.622090, 61.96,  252.00, 234, 0, 9.64, 
2022/05/24, 12:25:47, 51.454979, -3.622213, 77.65,  0.00, 250, 0, 14.28, 
2022/05/24, 12:26:04, 51.454987, -3.622252, 74.66,  252.00, 133, 0, 2.84, 
2022/05/24, 12:26:21, 51.454937, -3.622147, 67.44,  36.00, 105, 0, 9.16, 
2022/05/24, 12:26:38, 51.454937, -3.622107, 61.12,  144.00, 154, 0, 2.77, 
2022/05/24, 12:26:55, 51.454899, -3.622108, 72.48,  180.00, 91, 0, 4.23, 
2022/05/24, 12:27:12, 51.454971, -3.622154, 70.22,  1224.00, 332, 0, 8.62, 
2022/05/24, 12:27:29, 51.454964, -3.622187, 59.42,  2448.00, 138, 0, 2.42, 
2022/05/24, 12:27:45, 51.454800, -3.621760, 10.17,  0.00, 116, 0, 34.75, 
2022/05/24, 12:28:02, 51.454971, -3.622209, 68.46,  432.00, 291, 0, 36.46, 
2022/05/24, 12:28:19, 51.454983, -3.622178, 69.52,  468.00, 129, 0, 2.53, 
2022/05/24, 12:28:36, 51.454906, -3.622118, 66.83,  396.00, 179, 0, 9.52, 
2022/05/24, 12:28:53, 51.454929, -3.622190, 72.70,  0.00, 352, 0, 5.61, 
2022/05/24, 12:29:10, 51.454906, -3.622213, 74.18,  108.00, 25, 0, 3.01, 
2022/05/24, 12:29:27, 51.454937, -3.622201, 71.93,  900.00, 124, 0, 3.55, 
2022/05/24, 12:29:44, 51.454922, -3.622177, 64.27,  36.00, 182, 0, 2.36, 
2022/05/24, 12:30:01, 51.454899, -3.622066, 64.55,  72.00, 294, 0, 8.11, 
2022/05/24, 12:30:18, 51.454895, -3.622098, 64.42,  36.00, 97, 0, 2.26, 
2022/05/24, 12:30:35, 51.454861, -3.622075, 61.84,  108.00, 152, 0, 4.10, 
2022/05/24, 12:30:52, 51.454945, -3.622118, 59.23,  216.00, 198, 0, 9.80, 
2022/05/24, 12:31:07, 51.454903, -3.621995, 45.94,  0.00, 234, 0, 9.72, 
2022/05/24, 12:31:24, 51.454895, -3.622100, 67.23,  720.00, 4, 0, 7.33, 
2022/05/24, 12:31:41, 51.454891, -3.622120, 74.87,  468.00, 176, 0, 1.46, 
2022/05/24, 12:31:57, 51.454922, -3.622139, 63.22,  468.00, 176, 0, 3.69, 
2022/05/24, 12:32:14, 51.454865, -3.622066, 69.97,  108.00, 53, 0, 8.11, 
2022/05/24, 12:32:30, 51.455002, -3.622122, 63.78,  1800.00, 147, 0, 15.72, 
2022/05/24, 12:32:44, 51.454960, -3.622053, 46.88,  0.00, 76, 0, 6.68, 
2022/05/24, 12:33:01, 51.455048, -3.622030, 48.76,  0.00, 299, 0, 9.91, 
2022/05/24, 12:33:18, 51.454998, -3.622298, 112.86,  1188.00, 101, 0, 19.38, 
2022/05/24, 12:33:36, 51.455059, -3.622254, 76.51,  0.00, 160, 0, 7.44, 
2022/05/24, 12:33:54, 51.455025, -3.622142, 63.80,  0.00, 163, 0, 8.63, 
2022/05/24, 12:34:11, 51.455109, -3.622065, 50.17,  864.00, 181, 0, 10.76, 
2022/05/24, 12:34:28, 51.455032, -3.622125, 54.55,  1692.00, 198, 0, 9.52, 
2022/05/24, 12:34:46, 51.455078, -3.622163, 71.27,  0.00, 179, 0, 5.75, 
2022/05/24, 12:35:04, 51.455166, -3.622163, 63.63,  0.00, 14, 0, 9.79, 
2022/05/24, 12:35:22, 51.455021, -3.622247, 77.62,  0.00, 15, 0, 17.14, 
2022/05/24, 12:35:40, 51.454994, -3.622241, 94.82,  0.00, 169, 0, 3.03, 
2022/05/24, 12:35:58, 51.455036, -3.622240, 84.14,  0.00, 150, 0, 4.67, 
2022/05/24, 12:36:15, 51.455021, -3.622286, 81.21,  0.00, 4, 0, 3.60, 
2022/05/24, 12:36:32, 51.455021, -3.622092, 42.24,  0.00, 1, 0, 13.44, 
2022/05/24, 12:36:49, 51.454956, -3.622200, 73.79,  0.00, 325, 0, 10.40, 
2022/05/24, 12:37:08, 51.454994, -3.622382, 111.06,  2664.00, 3, 0, 13.30, 
2022/05/24, 12:37:25, 51.454784, -3.621563, -22.24,  0.00, 43, 0, 61.36, 
2022/05/24, 12:37:41, 51.454998, -3.622237, 67.53,  1620.00, 105, 0, 52.41, 
2022/05/24, 12:38:00, 51.454861, -3.621957, 34.69,  1152.00, 358, 0, 24.67, 
2022/05/24, 12:38:18, 51.454777, -3.622009, 44.11,  1800.00, 94, 0, 10.01, 
2022/05/24, 12:38:36, 51.454926, -3.621890, -9.64,  0.00, 52, 0, 18.51, 
2022/05/24, 12:38:53, 51.455040, -3.622366, 108.67,  0.00, 171, 0, 35.33, 
2022/05/24, 12:39:11, 51.454945, -3.622098, 59.38,  0.00, 21, 0, 21.36, 
2022/05/24, 12:39:28, 51.454937, -3.622061, 29.69,  0.00, 2, 0, 2.71, 
2022/05/24, 12:39:44, 51.454781, -3.621647, -60.40,  0.00, 131, 0, 33.52, 
2022/05/24, 12:40:00, 51.454872, -3.621927, 12.17,  0.00, 132, 0, 21.88, 
2022/05/24, 12:40:18, 51.454891, -3.621898, 8.99,  0.00, 288, 0, 2.92, 
2022/05/24, 12:40:34, 51.454887, -3.621860, -0.19,  0.00, 142, 0, 2.67, 
2022/05/24, 12:40:51, 51.454979, -3.622067, 41.54,  0.00, 296, 0, 17.62, 
2022/05/24, 12:41:08, 51.455017, -3.622140, 55.74,  0.00, 33, 0, 6.59, 
2022/05/24, 12:41:26, 51.455002, -3.622091, 54.71,  936.00, 128, 0, 3.78, 
2022/05/24, 12:41:42, 51.454918, -3.622008, 28.01,  936.00, 351, 0, 10.97, 
2022/05/24, 12:41:58, 51.454960, -3.622130, 36.82,  2196.00, 90, 0, 9.66, 
2022/05/24, 12:42:14, 51.454933, -3.622113, 37.63,  864.00, 343, 0, 3.23, 
2022/05/24, 12:42:31, 51.455017, -3.622182, 60.25,  0.00, 248, 0, 10.49, 
2022/05/24, 12:42:47, 51.455002, -3.622211, 54.99,  864.00, 120, 0, 2.61, 
2022/05/24, 12:43:04, 51.455055, -3.622365, 69.41,  1044.00, 94, 0, 12.19, 
2022/05/24, 12:43:19, 51.454941, -3.622158, 54.60,  0.00, 58, 0, 19.14, 
2022/05/24, 12:43:36, 51.455009, -3.622189, 69.26,  0.00, 137, 0, 7.86, 
2022/05/24, 12:43:54, 51.454948, -3.622247, 57.75,  0.00, 225, 0, 7.88, 
2022/05/24, 12:44:11, 51.454990, -3.622082, 64.31,  4176.00, 331, 0, 12.35, 
2022/05/24, 12:44:28, 51.454979, -3.622224, 70.05,  0.00, 193, 0, 9.91, 
2022/05/24, 12:44:45, 51.454967, -3.622019, 59.27,  0.00, 158, 0, 14.27, 
2022/05/24, 12:45:01, 51.454865, -3.621931, 59.31,  324.00, 303, 0, 12.88, 
2022/05/24, 12:45:17, 51.454975, -3.622166, 58.57,  8784.00, 185, 0, 20.37, 
2022/05/24, 12:45:33, 51.454926, -3.622093, 54.57,  648.00, 158, 0, 7.43, 
2022/05/24, 12:45:49, 51.455006, -3.622175, 51.14,  1980.00, 22, 0, 10.56, 
2022/05/24, 12:46:05, 51.454960, -3.622115, 52.01,  108.00, 21, 0, 6.59, 
2022/05/24, 12:46:21, 51.455078, -3.622101, 48.67,  828.00, 34, 0, 13.16, 
2022/05/24, 12:46:38, 51.454899, -3.622058, 73.60,  252.00, 20, 0, 20.13, 
2022/05/24, 12:46:55, 51.454914, -3.622050, 58.18,  288.00, 0, 0, 1.76, 
2022/05/24, 12:47:12, 51.454929, -3.622077, 64.63,  72.00, 340, 0, 2.51, 
2022/05/24, 12:47:28, 51.455101, -3.622095, 53.56,  1188.00, 167, 0, 19.17, 
2022/05/24, 12:47:45, 51.455044, -3.622127, 61.31,  0.00, 26, 0, 6.71, 
2022/05/24, 12:48:02, 51.455128, -3.622112, 51.47,  0.00, 356, 0, 9.40, 
2022/05/24, 12:48:19, 51.454903, -3.621997, 64.89,  0.00, 176, 0, 26.26, 
2022/05/24, 12:48:35, 51.454994, -3.622181, 64.12,  1008.00, 181, 0, 16.28, 
2022/05/24, 12:48:51, 51.454914, -3.622072, 64.24,  252.00, 271, 0, 11.67, 
2022/05/24, 12:49:07, 51.455055, -3.622172, 66.45,  2124.00, 313, 0, 17.14, 
2022/05/24, 12:49:23, 51.454987, -3.621960, 30.84,  6048.00, 268, 0, 16.52, 
2022/05/24, 12:49:40, 51.455051, -3.622288, 66.44,  324.00, 118, 0, 23.81, 
2022/05/24, 12:49:56, 51.455105, -3.622351, 79.02,  2556.00, 142, 0, 7.42, 
2022/05/24, 12:50:13, 51.455124, -3.622347, 96.99,  2052.00, 317, 0, 2.13, 
2022/05/24, 12:50:28, 51.455013, -3.622128, 51.06,  0.00, 326, 0, 19.56, 
2022/05/24, 12:50:45, 51.454967, -3.622137, 62.83,  432.00, 128, 0, 5.15, 
2022/05/24, 12:51:01, 51.455051, -3.622131, 67.18,  648.00, 181, 0, 9.35, 
2022/05/24, 12:51:17, 51.455025, -3.622319, 73.34,  72.00, 85, 0, 13.34, 
2022/05/24, 12:51:33, 51.455116, -3.622324, 72.35,  720.00, 183, 0, 10.12, 
2022/05/24, 12:51:50, 51.455051, -3.622269, 67.99,  432.00, 115, 0, 8.17, 
2022/05/24, 12:52:06, 51.454994, -3.622191, 70.86,  0.00, 228, 0, 8.33, 
2022/05/24, 12:52:22, 51.454964, -3.622094, 75.28,  108.00, 270, 0, 7.50, 
2022/05/24, 12:52:38, 51.454990, -3.622088, 75.53,  504.00, 296, 0, 2.92, 
2022/05/24, 12:52:55, 51.455006, -3.622290, 74.79,  144.00, 64, 0, 14.11, 
2022/05/24, 12:53:12, 51.454956, -3.622007, 88.56,  288.00, 64, 0, 20.38, 
2022/05/24, 12:53:26, 51.454926, -3.622207, 88.73,  0.00, 225, 0, 14.25, 
2022/05/24, 12:53:44, 51.454945, -3.622077, 78.00,  180.00, 32, 0, 9.25, 
2022/05/24, 12:54:02, 51.454983, -3.622124, 76.01,  144.00, 24, 0, 5.33, 
2022/05/24, 12:54:19, 51.454952, -3.622212, 69.46,  108.00, 199, 0, 7.00, 
2022/05/24, 12:54:35, 51.455032, -3.622242, 80.63,  1008.00, 193, 0, 9.14, 
2022/05/24, 12:54:53, 51.455048, -3.622293, 63.13,  324.00, 340, 0, 3.96, 
2022/05/24, 12:55:10, 51.454971, -3.622277, 81.57,  1584.00, 117, 0, 8.63, 
2022/05/24, 12:55:28, 51.455002, -3.622286, 70.10,  756.00, 300, 0, 3.50, 
2022/05/24, 12:55:44, 51.455063, -3.622293, 74.94,  756.00, 188, 0, 6.80, 
2022/05/24, 12:56:02, 51.455025, -3.622293, 72.56,  792.00, 48, 0, 4.23, 
2022/05/24, 12:56:19, 51.454964, -3.622280, 69.36,  756.00, 93, 0, 6.84, 
2022/05/24, 12:56:35, 51.454945, -3.622268, 81.12,  1548.00, 101, 0, 2.27, 
