Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:06:52, 51.455090, -3.622179, 67.44,  72.00, 18, -2, 0.00, 1
2022/05/24, 12:20:34, 51.455090, -3.622179, 67.44,  0.00, 143, 0, 0.00, 
2022/05/24, 12:20:51, 51.455044, -3.622191, 58.70,  0.00, 253, 0, 5.18, 
2022/05/24, 12:21:07, 51.455101, -3.622133, 53.86,  0.00, 253, 0, 7.50, 
2022/05/24, 12:21:27, 51.454945, -3.622133, 60.33,  0.00, 153, 0, 17.35, 
2022/05/24, 12:21:47, 51.454922, -3.622074, 53.88,  0.00, 21, 0, 4.82, 
2022/05/24, 12:22:06, 51.454720, -3.622191, 60.02,  1872.00, 5, 0, 23.88, 
2022/05/24, 12:22:22, 51.454834, -3.622144, 55.64,  0.00, 236, 0, 13.09, 
2022/05/24, 12:22:38, 51.454899, -3.622141, 46.60,  0.00, 49, 0, 7.23, 
2022/05/24, 12:22:55, 51.454884, -3.622164, 43.32,  0.00, 56, 0, 2.31, 
2022/05/24, 12:23:14, 51.454788, -3.622252, 13.87,  0.00, 152, 0, 12.29, 
2022/05/24, 12:23:33, 51.454834, -3.622212, 30.45,  540.00, 112, 0, 5.82, 
2022/05/24, 12:23:54, 51.454834, -3.622220, 27.05,  0.00, 274, 0, 0.55, 
2022/05/24, 12:24:16, 51.454876, -3.622173, 38.26,  108.00, 288, 0, 5.69, 
2022/05/24, 12:24:37, 51.454906, -3.622145, 37.96,  0.00, 79, 0, 3.86, 
2022/05/24, 12:25:02, 51.454731, -3.622257, 24.74,  468.00, 44, 0, 20.95, 
2022/05/24, 12:25:23, 51.454849, -3.622126, 54.06,  0.00, 251, 0, 15.95, 
2022/05/24, 12:25:44, 51.454845, -3.622049, 57.37,  0.00, 63, 0, 5.35, 
2022/05/24, 12:26:01, 51.454868, -3.622110, 60.30,  0.00, 177, 0, 4.94, 
2022/05/24, 12:26:21, 51.454998, -3.622015, 63.83,  0.00, 341, 0, 15.88, 
2022/05/24, 12:26:40, 51.454895, -3.622083, 51.49,  0.00, 58, 0, 12.38, 
2022/05/24, 12:27:01, 51.454868, -3.622100, 54.30,  0.00, 245, 0, 3.23, 
2022/05/24, 12:27:20, 51.454922, -3.622115, 48.39,  0.00, 220, 0, 6.09, 
2022/05/24, 12:27:39, 51.454983, -3.622169, 58.49,  0.00, 244, 0, 7.75, 
2022/05/24, 12:28:00, 51.454834, -3.622208, 32.63,  0.00, 22, 0, 16.79, 
2022/05/24, 12:28:20, 51.454895, -3.622158, 64.72,  0.00, 36, 0, 7.62, 
2022/05/24, 12:28:39, 51.454838, -3.622187, 64.93,  0.00, 41, 0, 6.65, 
2022/05/24, 12:28:59, 51.454929, -3.622178, 93.49,  0.00, 359, 0, 10.14, 
2022/05/24, 12:29:40, 51.454868, -3.622234, 61.50,  828.00, 112, 0, 7.81, 
2022/05/24, 12:30:19, 51.454926, -3.622202, 61.25,  144.00, 152, 0, 6.82, 
2022/05/24, 12:31:00, 51.454960, -3.622272, 79.64,  828.00, 303, 0, 6.15, 
2022/05/24, 12:31:19, 51.454933, -3.622251, 74.41,  0.00, 301, 0, 3.34, 
2022/05/24, 12:31:34, 51.454979, -3.622266, 70.04,  252.00, 128, 0, 5.22, 
2022/05/24, 12:31:50, 51.454983, -3.622221, 52.13,  0.00, 299, 0, 3.15, 
2022/05/24, 12:32:05, 51.454937, -3.622209, 82.89,  0.00, 148, 0, 5.18, 
2022/05/24, 12:32:21, 51.454945, -3.622325, 149.11,  1620.00, 289, 0, 8.09, 
2022/05/24, 12:32:37, 51.454987, -3.622314, 116.43,  0.00, 75, 0, 4.73, 
2022/05/24, 12:32:53, 51.454945, -3.622204, 70.76,  0.00, 38, 0, 8.94, 
2022/05/24, 12:33:09, 51.454948, -3.622217, 65.40,  0.00, 200, 0, 0.96, 
2022/05/24, 12:33:25, 51.454960, -3.622264, 43.98,  0.00, 283, 0, 3.52, 
2022/05/24, 12:33:41, 51.454979, -3.622090, 146.56,  0.00, 29, 0, 12.24, 
2022/05/24, 12:33:57, 51.454990, -3.621981, 163.32,  0.00, 25, 0, 7.65, 
2022/05/24, 12:34:13, 51.454990, -3.622029, 71.23,  0.00, 337, 0, 3.33, 
2022/05/24, 12:34:29, 51.454983, -3.622034, 116.66,  0.00, 85, 0, 0.85, 
2022/05/24, 12:34:45, 51.454971, -3.621984, 97.29,  0.00, 109, 0, 3.71, 
2022/05/24, 12:35:00, 51.454948, -3.622026, 84.27,  648.00, 312, 0, 3.87, 
2022/05/24, 12:35:15, 51.454975, -3.622174, 58.42,  4608.00, 102, 0, 10.69, 
2022/05/24, 12:35:31, 51.455006, -3.622173, 47.08,  1008.00, 310, 0, 3.45, 
2022/05/24, 12:35:48, 51.454964, -3.621966, 88.00,  576.00, 290, 0, 15.08, 
2022/05/24, 12:36:05, 51.454975, -3.621970, 75.85,  1188.00, 124, 0, 1.25, 
2022/05/24, 12:36:24, 51.454945, -3.622041, 58.01,  252.00, 85, 0, 5.94, 
2022/05/24, 12:36:41, 51.454987, -3.622364, 19.91,  0.00, 22, 0, 22.86, 
2022/05/24, 12:36:56, 51.454941, -3.622144, 72.62,  360.00, 260, 0, 16.08, 
2022/05/24, 12:37:12, 51.454998, -3.622082, 56.29,  324.00, 253, 0, 7.66, 
2022/05/24, 12:37:29, 51.454960, -3.622041, 67.05,  0.00, 302, 0, 5.09, 
2022/05/24, 12:37:46, 51.454960, -3.621994, 49.49,  0.00, 352, 0, 3.26, 
2022/05/24, 12:38:03, 51.455017, -3.622082, 34.26,  0.00, 281, 0, 8.79, 
2022/05/24, 12:38:19, 51.454941, -3.622165, 61.46,  1044.00, 235, 0, 10.22, 
2022/05/24, 12:38:36, 51.454960, -3.622020, 48.86,  0.00, 245, 0, 10.27, 
2022/05/24, 12:38:52, 51.455013, -3.622091, 38.94,  1044.00, 297, 0, 7.68, 
2022/05/24, 12:39:08, 51.454975, -3.622227, 44.86,  288.00, 141, 0, 10.33, 
2022/05/24, 12:39:24, 51.454987, -3.622085, 11.09,  1296.00, 260, 0, 9.93, 
2022/05/24, 12:39:40, 51.454948, -3.622000, 60.43,  180.00, 337, 0, 7.31, 
2022/05/24, 12:39:56, 51.454922, -3.621986, 71.92,  936.00, 200, 0, 3.05, 
2022/05/24, 12:40:13, 51.454845, -3.621755, 109.74,  2448.00, 322, 0, 18.15, 
2022/05/24, 12:40:29, 51.454834, -3.621964, 65.35,  1908.00, 326, 0, 14.53, 
2022/05/24, 12:40:46, 51.454903, -3.621959, 84.72,  0.00, 145, 0, 7.68, 
2022/05/24, 12:41:02, 51.454872, -3.621918, 73.32,  0.00, 228, 0, 4.47, 
2022/05/24, 12:41:18, 51.454895, -3.622060, 88.31,  0.00, 115, 0, 10.17, 
2022/05/24, 12:41:34, 51.454895, -3.622050, 76.07,  0.00, 295, 0, 0.69, 
2022/05/24, 12:41:50, 51.454914, -3.621964, 80.29,  0.00, 111, 0, 6.32, 
2022/05/24, 12:42:07, 51.454933, -3.622122, 101.76,  0.00, 307, 0, 11.15, 
