Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:03:00, 51.454933, -3.622080, 63.36,  612.00, 283, -2, 0.00, 1
2022/05/24, 12:03:29, 51.454933, -3.622080, 63.36,  576.00, 357, 0, 0.00, 
2022/05/24, 12:04:09, 51.454933, -3.622121, 67.51,  684.00, 358, 0, 2.84, 
2022/05/24, 12:04:41, 51.454945, -3.622070, 55.40,  180.00, 4, 0, 3.78, 
2022/05/24, 12:05:15, 51.454906, -3.622149, 57.74,  756.00, 357, 0, 6.98, 
2022/05/24, 12:05:54, 51.454899, -3.622194, 62.28,  540.00, 42, 0, 3.21, 
2022/05/24, 12:06:25, 51.454910, -3.622155, 56.85,  684.00, 332, 0, 2.97, 
2022/05/24, 12:07:11, 51.454861, -3.622358, 90.32,  288.00, 5, 0, 15.08, 
2022/05/24, 12:07:56, 51.454918, -3.622234, 94.93,  432.00, 1, 0, 10.68, 
2022/05/24, 12:08:38, 51.454979, -3.622090, 107.76,  216.00, 0, 0, 12.06, 
2022/05/24, 12:09:22, 51.455017, -3.621974, 99.39,  612.00, 3, 0, 9.08, 
2022/05/24, 12:10:09, 51.455021, -3.621972, 91.64,  504.00, 338, 0, 0.47, 
2022/05/24, 12:10:50, 51.455017, -3.621947, 87.36,  540.00, 0, 0, 1.79, 
2022/05/24, 12:11:25, 51.455097, -3.621772, 58.29,  1152.00, 0, 0, 15.04, 
2022/05/24, 12:12:03, 51.455051, -3.621892, 74.71,  324.00, 347, 0, 9.76, 
2022/05/24, 12:12:54, 51.455036, -3.621908, 80.82,  792.00, 5, 0, 2.00, 
2022/05/24, 12:13:22, 51.455063, -3.621923, 72.72,  792.00, 1, 0, 3.18, 
2022/05/24, 12:13:44, 51.455074, -3.621933, 69.66,  1440.00, 351, 0, 1.41, 
2022/05/24, 12:14:21, 51.455093, -3.621920, 70.53,  396.00, 337, 0, 2.30, 
2022/05/24, 12:14:49, 51.455215, -3.621832, 74.37,  252.00, 4, 0, 14.87, 
