Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:02:02, 51.454876, -3.622166, 63.01,  1188.00, 198, -2, 0.00, 1
2022/05/24, 12:02:15, 51.454975, -3.622085, 71.48,  1152.00, 28, 0, 12.36, 1
2022/05/24, 12:02:31, 51.454948, -3.622115, 67.68,  0.00, 156, 0, 3.65, 
2022/05/24, 12:02:45, 51.454998, -3.622091, 72.03,  756.00, 70, 0, 5.80, 
2022/05/24, 12:03:02, 51.454910, -3.622129, 68.39,  1944.00, 285, 0, 10.13, 
2022/05/24, 12:03:16, 51.454937, -3.622139, 67.67,  0.00, 210, 0, 3.08, 
2022/05/24, 12:03:31, 51.454971, -3.622093, 71.89,  1476.00, 319, 0, 4.94, 
2022/05/24, 12:03:47, 51.454922, -3.622142, 69.89,  0.00, 41, 0, 6.42, 
2022/05/24, 12:04:02, 51.454872, -3.622204, 58.50,  2376.00, 1, 0, 7.03, 
2022/05/24, 12:04:16, 51.454933, -3.622212, 62.94,  4644.00, 29, 0, 6.81, 
2022/05/24, 12:04:31, 51.454956, -3.622176, 64.18,  2160.00, 29, 0, 3.57, 
2022/05/24, 12:04:45, 51.454952, -3.622162, 61.13,  2376.00, 14, 0, 1.07, 
2022/05/24, 12:05:00, 51.454971, -3.622140, 65.24,  648.00, 207, 0, 2.61, 
2022/05/24, 12:05:14, 51.454960, -3.622141, 64.40,  576.00, 202, 0, 1.23, 
2022/05/24, 12:05:27, 51.454952, -3.622163, 55.28,  540.00, 37, 0, 1.76, 
2022/05/24, 12:05:41, 51.454865, -3.622199, 51.54,  0.00, 27, 0, 9.99, 
2022/05/24, 12:05:55, 51.454842, -3.622236, 58.23,  24696.00, 195, 0, 3.62, 
2022/05/24, 12:06:09, 51.454967, -3.622161, 56.80,  8280.00, 28, 0, 14.84, 
2022/05/24, 12:06:23, 51.454819, -3.622231, 52.66,  3348.00, 32, 0, 17.16, 
2022/05/24, 12:06:36, 51.454853, -3.622175, 55.98,  5940.00, 29, 0, 5.42, 
2022/05/24, 12:06:50, 51.454643, -3.622377, 35.56,  6192.00, 26, 0, 27.22, 
2022/05/24, 12:07:05, 51.454838, -3.622230, 50.67,  6408.00, 37, 0, 23.96, 
2022/05/24, 12:07:20, 51.454750, -3.622271, 60.82,  2952.00, 221, 0, 10.19, 
2022/05/24, 12:07:35, 51.454754, -3.622294, 39.78,  8496.00, 29, 0, 1.65, 
2022/05/24, 12:07:48, 51.454708, -3.622331, 36.76,  5472.00, 29, 0, 5.72, 1
2022/05/24, 12:08:02, 51.454693, -3.622370, 39.28,  6408.00, 19, 0, 3.18, 
2022/05/24, 12:08:18, 51.454647, -3.622395, 39.39,  0.00, 33, 0, 5.40, 
2022/05/24, 12:08:32, 51.454834, -3.622234, 57.82,  1260.00, 110, 0, 23.60, 
2022/05/24, 12:08:45, 51.454700, -3.622350, 42.56,  684.00, 197, 0, 16.93, 
2022/05/24, 12:08:59, 51.454521, -3.622465, 25.20,  1548.00, 352, 0, 21.44, 
2022/05/24, 12:09:12, 51.454903, -3.622205, 53.41,  2916.00, 64, 0, 46.14, 
2022/05/24, 12:09:25, 51.454929, -3.622124, 80.12,  1008.00, 197, 0, 6.31, 
2022/05/24, 12:09:40, 51.454788, -3.622292, 53.85,  972.00, 199, 0, 19.53, 
2022/05/24, 12:09:53, 51.454678, -3.622343, 39.17,  828.00, 21, 0, 12.73, 
2022/05/24, 12:10:06, 51.454643, -3.622422, 25.03,  576.00, 325, 0, 6.72, 
2022/05/24, 12:10:19, 51.454815, -3.622280, 38.43,  648.00, 24, 0, 21.51, 
2022/05/24, 12:10:34, 51.454842, -3.622192, 60.26,  0.00, 37, 0, 6.80, 
2022/05/24, 12:10:48, 51.454826, -3.622273, 40.49,  0.00, 235, 0, 5.89, 
2022/05/24, 12:11:01, 51.454952, -3.622149, 63.80,  1440.00, 13, 0, 16.44, 
2022/05/24, 12:11:14, 51.454739, -3.622307, 33.38,  972.00, 61, 0, 26.09, 
2022/05/24, 12:11:27, 51.455009, -3.622100, 73.64,  252.00, 77, 0, 33.27, 
2022/05/24, 12:11:41, 51.454887, -3.622173, 58.87,  4320.00, 24, 0, 14.48, 
2022/05/24, 12:11:55, 51.454811, -3.622185, 51.53,  828.00, 18, 0, 8.49, 
2022/05/24, 12:12:09, 51.454891, -3.622151, 65.67,  0.00, 1, 0, 9.20, 
2022/05/24, 12:12:24, 51.454857, -3.622210, 65.70,  0.00, 65, 0, 5.57, 
2022/05/24, 12:12:37, 51.454803, -3.622202, 59.99,  1152.00, 334, 0, 6.03, 
2022/05/24, 12:12:50, 51.454926, -3.622128, 85.30,  5508.00, 225, 0, 14.61, 
2022/05/24, 12:13:04, 51.454861, -3.622155, 72.47,  1224.00, 215, 0, 7.47, 
2022/05/24, 12:13:19, 51.454872, -3.622195, 62.34,  0.00, 177, 0, 3.03, 
2022/05/24, 12:13:32, 51.454887, -3.622088, 89.14,  1620.00, 247, 0, 7.60, 
2022/05/24, 12:13:45, 51.454876, -3.622116, 83.39,  684.00, 8, 0, 2.29, 
2022/05/24, 12:14:09, 51.454887, -3.622269, 46.36,  2232.00, 110, 0, 10.67, 
2022/05/24, 12:14:47, 51.454933, -3.622292, 40.19,  576.00, 341, 0, 5.36, 
2022/05/24, 12:15:00, 51.454903, -3.622188, 53.30,  1044.00, 49, 0, 7.94, 
2022/05/24, 12:15:14, 51.454891, -3.622158, 68.28,  0.00, 235, 0, 2.47, 
2022/05/24, 12:15:33, 51.454914, -3.622114, 71.81,  1800.00, 168, 0, 3.98, 
2022/05/24, 12:15:48, 51.454975, -3.622142, 71.47,  396.00, 0, 0, 7.05, 
2022/05/24, 12:16:03, 51.454960, -3.622180, 78.84,  1548.00, 24, 0, 3.12, 
2022/05/24, 12:16:18, 51.454899, -3.622189, 65.70,  1548.00, 169, 0, 6.81, 
2022/05/24, 12:16:33, 51.454979, -3.622206, 77.09,  1188.00, 156, 0, 8.97, 
2022/05/24, 12:16:47, 51.454948, -3.622259, 66.19,  936.00, 8, 0, 5.04, 
2022/05/24, 12:17:02, 51.454956, -3.622143, 79.57,  1476.00, 79, 0, 8.09, 
2022/05/24, 12:17:17, 51.454895, -3.622166, 73.00,  468.00, 199, 0, 6.97, 
2022/05/24, 12:17:31, 51.454887, -3.622126, 67.40,  0.00, 219, 0, 2.91, 
2022/05/24, 12:17:50, 51.454975, -3.622129, 81.10,  0.00, 1, 0, 9.79, 
2022/05/24, 12:18:06, 51.454945, -3.622132, 77.91,  0.00, 67, 0, 3.34, 
2022/05/24, 12:18:25, 51.454975, -3.622127, 78.53,  0.00, 184, 0, 3.35, 
2022/05/24, 12:18:44, 51.454990, -3.622110, 78.15,  0.00, 190, 0, 2.04, 
2022/05/24, 12:19:02, 51.454975, -3.622135, 75.57,  864.00, 179, 0, 2.40, 
2022/05/24, 12:19:21, 51.455029, -3.622104, 80.86,  0.00, 39, 0, 6.38, 
2022/05/24, 12:19:35, 51.454956, -3.622124, 73.40,  0.00, 274, 0, 8.23, 
2022/05/24, 12:19:50, 51.454998, -3.622136, 81.52,  756.00, 1, 0, 4.74, 
2022/05/24, 12:20:06, 51.455006, -3.622108, 79.37,  1584.00, 0, 0, 2.13, 
2022/05/24, 12:20:24, 51.455006, -3.622108, 83.10,  0.00, 0, 0, 0.00, 
2022/05/24, 12:20:40, 51.454971, -3.622101, 74.55,  828.00, 0, 0, 3.92, 
2022/05/24, 12:20:57, 51.454937, -3.622103, 74.18,  252.00, 187, 0, 3.78, 
2022/05/24, 12:21:13, 51.454987, -3.622115, 77.26,  792.00, 11, 0, 5.62, 1
2022/05/24, 12:21:27, 51.454948, -3.622111, 78.73,  3024.00, 15, 0, 4.35, 
