Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:02:34, 51.454948, -3.622065, 64.53,  288.00, 79, -2, 0.00, 1
2022/05/24, 12:02:50, 51.454964, -3.622067, 64.52,  396.00, 226, 0, 1.78, 1
2022/05/24, 12:03:04, 51.454956, -3.622102, 71.72,  792.00, 322, 0, 2.58, 
2022/05/24, 12:03:19, 51.454922, -3.622065, 60.21,  504.00, 33, 0, 4.57, 
2022/05/24, 12:03:34, 51.454929, -3.622100, 61.20,  0.00, 163, 0, 2.55, 
2022/05/24, 12:03:50, 51.454964, -3.622062, 67.58,  180.00, 37, 0, 4.70, 
2022/05/24, 12:04:06, 51.454929, -3.622087, 58.50,  1008.00, 124, 0, 4.26, 
2022/05/24, 12:04:20, 51.454929, -3.622126, 80.03,  576.00, 326, 0, 2.70, 
2022/05/24, 12:04:36, 51.454933, -3.622133, 56.15,  900.00, 147, 0, 0.66, 
2022/05/24, 12:04:51, 51.454979, -3.622146, 75.35,  0.00, 261, 0, 5.19, 
2022/05/24, 12:05:06, 51.454979, -3.622142, 70.78,  0.00, 230, 0, 0.28, 
2022/05/24, 12:05:20, 51.454964, -3.622153, 70.49,  864.00, 276, 0, 1.83, 
2022/05/24, 12:05:35, 51.454914, -3.622076, 67.73,  0.00, 202, 0, 7.71, 
2022/05/24, 12:05:49, 51.454998, -3.622122, 76.60,  0.00, 212, 0, 9.87, 
2022/05/24, 12:06:06, 51.454941, -3.622168, 70.23,  1044.00, 297, 0, 7.09, 
2022/05/24, 12:06:19, 51.454937, -3.622254, 58.96,  1944.00, 292, 0, 5.98, 
2022/05/24, 12:06:39, 51.454914, -3.622144, 65.11,  1152.00, 112, 0, 8.04, 
2022/05/24, 12:06:53, 51.454933, -3.622315, 41.85,  3672.00, 332, 0, 12.04, 
2022/05/24, 12:07:10, 51.454914, -3.622122, 57.47,  1008.00, 52, 0, 13.54, 
2022/05/24, 12:07:28, 51.454899, -3.622031, 74.12,  720.00, 96, 0, 6.52, 
2022/05/24, 12:07:42, 51.454903, -3.622251, 49.38,  1332.00, 156, 0, 15.25, 
2022/05/24, 12:07:57, 51.454876, -3.622056, 84.80,  0.00, 289, 0, 13.84, 
2022/05/24, 12:08:14, 51.454891, -3.622078, 74.40,  1044.00, 286, 0, 2.26, 
2022/05/24, 12:08:28, 51.454887, -3.622086, 68.40,  396.00, 207, 0, 0.71, 
2022/05/24, 12:08:42, 51.454899, -3.622049, 60.67,  828.00, 299, 0, 2.89, 
2022/05/24, 12:08:58, 51.454899, -3.622081, 73.00,  612.00, 292, 0, 2.22, 
2022/05/24, 12:09:12, 51.454903, -3.622118, 69.41,  792.00, 34, 0, 2.60, 
2022/05/24, 12:09:27, 51.454903, -3.622169, 68.86,  0.00, 304, 0, 3.53, 
2022/05/24, 12:09:41, 51.454868, -3.622199, 69.75,  1404.00, 233, 0, 4.41, 
2022/05/24, 12:09:54, 51.454884, -3.622257, 77.83,  828.00, 0, 0, 4.39, 
2022/05/24, 12:10:07, 51.455036, -3.621974, 74.92,  1620.00, 77, 0, 25.89, 
2022/05/24, 12:10:21, 51.454849, -3.622358, 74.26,  900.00, 68, 0, 33.77, 
2022/05/24, 12:10:39, 51.454853, -3.622264, 72.48,  1728.00, 57, 0, 6.53, 
2022/05/24, 12:11:15, 51.454948, -3.622110, 73.18,  504.00, 227, 0, 15.01, 
2022/05/24, 12:11:32, 51.455070, -3.621954, 66.38,  3744.00, 45, 0, 17.35, 
2022/05/24, 12:11:46, 51.455006, -3.622021, 63.91,  720.00, 201, 0, 8.50, 
2022/05/24, 12:12:05, 51.455002, -3.622054, 69.43,  648.00, 252, 0, 2.33, 
2022/05/24, 12:12:24, 51.455017, -3.622125, 56.93,  1008.00, 113, 0, 5.19, 
2022/05/24, 12:12:42, 51.454994, -3.622128, 67.08,  2340.00, 244, 0, 2.57, 
2022/05/24, 12:13:06, 51.454998, -3.622020, 88.95,  1692.00, 98, 0, 7.50, 
2022/05/24, 12:13:42, 51.454994, -3.622151, 58.31,  1080.00, 54, 0, 9.09, 
2022/05/24, 12:13:59, 51.455017, -3.622105, 65.19,  972.00, 98, 0, 4.09, 
2022/05/24, 12:14:14, 51.455009, -3.622078, 73.67,  720.00, 296, 0, 2.07, 
2022/05/24, 12:14:29, 51.454979, -3.622099, 60.06,  0.00, 250, 0, 3.64, 
2022/05/24, 12:14:43, 51.454987, -3.622204, 59.29,  792.00, 5, 0, 7.33, 
2022/05/24, 12:14:56, 51.455036, -3.622276, 58.57,  1800.00, 225, 0, 7.39, 
2022/05/24, 12:15:10, 51.455040, -3.622244, 69.12,  1044.00, 300, 0, 2.26, 
2022/05/24, 12:15:26, 51.454945, -3.622173, 53.76,  0.00, 247, 0, 11.65, 
2022/05/24, 12:15:45, 51.455029, -3.622181, 75.46,  1260.00, 101, 0, 9.36, 
2022/05/24, 12:16:00, 51.455002, -3.622103, 80.13,  1152.00, 295, 0, 6.18, 
2022/05/24, 12:16:13, 51.454956, -3.622045, 69.76,  1656.00, 322, 0, 6.50, 
2022/05/24, 12:16:28, 51.454979, -3.622103, 73.52,  0.00, 205, 0, 4.76, 
2022/05/24, 12:16:42, 51.454952, -3.622128, 63.17,  720.00, 116, 0, 3.47, 
2022/05/24, 12:16:55, 51.455002, -3.622151, 81.13,  684.00, 349, 0, 5.78, 
2022/05/24, 12:17:08, 51.454929, -3.622144, 62.50,  2304.00, 159, 0, 8.13, 
2022/05/24, 12:17:22, 51.454918, -3.622137, 54.23,  3456.00, 196, 0, 1.32, 
2022/05/24, 12:17:35, 51.455059, -3.622185, 84.85,  1296.00, 207, 0, 16.03, 
2022/05/24, 12:17:48, 51.455036, -3.622144, 79.84,  3960.00, 167, 0, 3.82, 
2022/05/24, 12:18:01, 51.454971, -3.622171, 69.47,  2952.00, 161, 0, 7.47, 
2022/05/24, 12:18:14, 51.454994, -3.622183, 79.37,  972.00, 182, 0, 2.69, 
2022/05/24, 12:18:29, 51.454990, -3.622165, 71.02,  0.00, 186, 0, 1.32, 
2022/05/24, 12:18:43, 51.454998, -3.622224, 71.19,  0.00, 214, 0, 4.18, 
2022/05/24, 12:18:57, 51.455025, -3.622164, 72.88,  0.00, 287, 0, 5.13, 
2022/05/24, 12:19:11, 51.454983, -3.622171, 62.25,  3276.00, 176, 0, 4.70, 
2022/05/24, 12:19:24, 51.455032, -3.622213, 60.86,  1296.00, 268, 0, 6.18, 
2022/05/24, 12:19:37, 51.455006, -3.622191, 58.99,  1980.00, 227, 0, 3.27, 
2022/05/24, 12:19:51, 51.454937, -3.622164, 59.72,  0.00, 325, 0, 7.90, 
2022/05/24, 12:20:04, 51.454853, -3.622201, 31.64,  1368.00, 319, 0, 9.69, 
2022/05/24, 12:20:17, 51.454960, -3.622126, 67.95,  1656.00, 287, 0, 12.98, 
2022/05/24, 12:20:30, 51.454967, -3.622114, 66.42,  1044.00, 114, 0, 1.14, 
2022/05/24, 12:20:43, 51.454876, -3.622183, 45.87,  1548.00, 230, 0, 11.19, 
2022/05/24, 12:20:56, 51.454945, -3.622157, 70.86,  1296.00, 290, 0, 7.88, 
2022/05/24, 12:21:09, 51.454990, -3.622236, 57.52,  756.00, 141, 0, 7.42, 
2022/05/24, 12:21:23, 51.455017, -3.622030, 88.61,  1836.00, 252, 0, 14.59, 
2022/05/24, 12:21:40, 51.454971, -3.622074, 77.19,  252.00, 263, 0, 5.95, 
2022/05/24, 12:21:56, 51.454941, -3.622135, 79.57,  0.00, 87, 0, 5.38, 
2022/05/24, 12:22:10, 51.454979, -3.622116, 68.78,  0.00, 211, 0, 4.43, 
2022/05/24, 12:22:24, 51.454933, -3.622119, 57.17,  2448.00, 217, 0, 5.12, 
2022/05/24, 12:22:38, 51.454933, -3.622234, 33.97,  3420.00, 204, 0, 7.97, 
2022/05/24, 12:22:52, 51.455006, -3.622094, 82.72,  1404.00, 258, 0, 12.65, 
2022/05/24, 12:23:07, 51.455017, -3.622205, 52.19,  0.00, 239, 0, 7.79, 
2022/05/24, 12:23:21, 51.454964, -3.622140, 76.45,  0.00, 145, 0, 7.42, 
2022/05/24, 12:23:35, 51.454994, -3.622125, 78.36,  1512.00, 215, 0, 3.49, 
2022/05/24, 12:23:49, 51.454998, -3.622142, 75.30,  4356.00, 248, 0, 1.26, 
2022/05/24, 12:24:04, 51.454956, -3.622117, 63.51,  0.00, 273, 0, 4.98, 
2022/05/24, 12:24:18, 51.455013, -3.622127, 72.93,  504.00, 318, 0, 6.38, 
2022/05/24, 12:24:32, 51.455078, -3.622203, 69.57,  1188.00, 323, 0, 8.94, 
2022/05/24, 12:24:48, 51.454967, -3.622204, 52.52,  0.00, 9, 0, 12.34, 
2022/05/24, 12:25:02, 51.454967, -3.622177, 64.14,  3132.00, 172, 0, 1.87, 
2022/05/24, 12:25:17, 51.455009, -3.622139, 75.23,  5400.00, 177, 0, 5.36, 
