Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:22:18, 51.454834, -3.622194, 64.48,  2088.00, 33, -2, 0.00, 1
2022/05/24, 12:22:33, 51.454884, -3.622322, 38.80,  0.00, 66, 0, 10.47, 
2022/05/24, 12:22:56, 51.454906, -3.622190, 50.96,  0.00, 50, 0, 9.47, 
2022/05/24, 12:23:15, 51.454895, -3.622188, 59.15,  0.00, 154, 0, 1.23, 
2022/05/24, 12:23:36, 51.454842, -3.622311, 40.89,  0.00, 105, 0, 10.36, 
2022/05/24, 12:23:57, 51.454876, -3.622250, 47.36,  0.00, 301, 0, 5.67, 
2022/05/24, 12:24:16, 51.454807, -3.622256, 66.45,  0.00, 63, 0, 7.68, 
2022/05/24, 12:24:39, 51.454868, -3.622273, 47.99,  0.00, 207, 0, 6.88, 
2022/05/24, 12:25:00, 51.454952, -3.622256, 33.99,  0.00, 53, 0, 9.41, 
2022/05/24, 12:25:21, 51.454918, -3.622351, 26.49,  3888.00, 114, 0, 7.59, 
2022/05/24, 12:25:42, 51.454933, -3.622416, 14.20,  3312.00, 69, 0, 4.80, 
2022/05/24, 12:26:04, 51.455074, -3.622034, 18.53,  0.00, 81, 0, 30.76, 
2022/05/24, 12:26:28, 51.454842, -3.622572, 5.19,  0.00, 76, 0, 45.33, 
2022/05/24, 12:26:52, 51.454941, -3.622283, 48.28,  1728.00, 180, 0, 22.85, 
2022/05/24, 12:27:17, 51.455009, -3.622359, -1.48,  0.00, 62, 0, 9.21, 
2022/05/24, 12:27:38, 51.455048, -3.622435, -17.24,  0.00, 30, 0, 6.82, 
2022/05/24, 12:28:02, 51.455090, -3.622432, 12.86,  4428.00, 31, 0, 4.67, 
2022/05/24, 12:28:25, 51.455044, -3.622290, 14.92,  0.00, 226, 0, 11.09, 
2022/05/24, 12:28:43, 51.455074, -3.622458, -12.75,  0.00, 293, 0, 12.11, 
2022/05/24, 12:29:01, 51.455009, -3.621963, 96.66,  0.00, 184, 0, 35.05, 
2022/05/24, 12:29:22, 51.455059, -3.622216, 38.77,  3996.00, 140, 0, 18.39, 
2022/05/24, 12:29:41, 51.455105, -3.622316, 7.33,  0.00, 250, 0, 8.61, 
