Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:04:34, 51.454914, -3.622079, 50.42,  432.00, 102, -2, 0.00, 1
2022/05/24, 12:05:28, 51.454914, -3.622079, 50.42,  648.00, 350, 0, 0.00, 
2022/05/24, 12:06:34, 51.454891, -3.622019, 63.82,  1008.00, 52, 0, 4.88, 
2022/05/24, 12:07:26, 51.454929, -3.622035, 63.16,  216.00, 279, 0, 4.37, 
2022/05/24, 12:08:19, 51.454899, -3.621951, 70.94,  936.00, 307, 0, 6.71, 
2022/05/24, 12:09:05, 51.454926, -3.622139, 61.25,  180.00, 183, 0, 13.37, 
2022/05/24, 12:09:53, 51.454945, -3.622198, 51.45,  540.00, 272, 0, 4.60, 
2022/05/24, 12:10:38, 51.454960, -3.622209, 56.12,  1440.00, 183, 0, 1.83, 
2022/05/24, 12:11:33, 51.454910, -3.622107, 61.80,  684.00, 109, 0, 8.99, 
2022/05/24, 12:11:55, 51.454849, -3.622113, 50.48,  1548.00, 45, 0, 6.80, 
2022/05/24, 12:12:08, 51.454826, -3.622082, 56.82,  2160.00, 208, 0, 3.34, 
2022/05/24, 12:12:22, 51.454834, -3.622085, 62.60,  2088.00, 71, 0, 0.91, 
2022/05/24, 12:12:37, 51.454811, -3.622111, 53.86,  0.00, 18, 0, 3.13, 
2022/05/24, 12:12:51, 51.454945, -3.621937, 66.45,  2160.00, 29, 0, 19.17, 
2022/05/24, 12:13:05, 51.454823, -3.622164, 55.00,  3060.00, 55, 0, 20.77, 
2022/05/24, 12:13:19, 51.454903, -3.622049, 60.05,  2916.00, 21, 0, 11.94, 
2022/05/24, 12:13:34, 51.454857, -3.622054, 60.59,  0.00, 63, 0, 5.13, 
2022/05/24, 12:13:48, 51.454933, -3.621979, 67.25,  1296.00, 218, 0, 9.92, 
2022/05/24, 12:14:02, 51.454929, -3.621906, 63.10,  1332.00, 348, 0, 5.08, 
2022/05/24, 12:14:16, 51.454941, -3.621983, 70.22,  972.00, 181, 0, 5.50, 
2022/05/24, 12:14:31, 51.454903, -3.622037, 59.67,  0.00, 265, 0, 5.64, 
2022/05/24, 12:14:45, 51.454891, -3.621961, 64.21,  504.00, 46, 0, 5.43, 
2022/05/24, 12:14:59, 51.454891, -3.622142, 62.30,  1260.00, 245, 0, 12.54, 
2022/05/24, 12:15:15, 51.454941, -3.622014, 53.66,  0.00, 347, 0, 10.47, 
2022/05/24, 12:15:29, 51.454941, -3.622016, 73.64,  0.00, 0, 0, 0.14, 
2022/05/24, 12:15:48, 51.454891, -3.622065, 57.27,  828.00, 134, 0, 6.51, 
2022/05/24, 12:16:03, 51.454895, -3.622027, 65.75,  0.00, 175, 0, 2.67, 
2022/05/24, 12:16:17, 51.454948, -3.622070, 71.25,  0.00, 0, 0, 6.60, 
2022/05/24, 12:16:31, 51.454914, -3.621991, 85.90,  4536.00, 169, 0, 6.65, 
2022/05/24, 12:16:44, 51.455074, -3.622076, 109.40,  2016.00, 163, 0, 18.74, 
2022/05/24, 12:17:12, 51.454990, -3.621984, 91.71,  2088.00, 172, 0, 11.31, 
2022/05/24, 12:17:26, 51.455063, -3.622122, 98.70,  1044.00, 169, 0, 12.54, 
2022/05/24, 12:17:39, 51.454967, -3.622112, 95.81,  1764.00, 0, 0, 10.70, 
2022/05/24, 12:17:53, 51.454990, -3.622193, 75.00,  2268.00, 202, 0, 6.17, 
2022/05/24, 12:18:07, 51.454952, -3.622176, 73.04,  2556.00, 263, 0, 4.39, 
2022/05/24, 12:18:22, 51.455006, -3.622112, 67.33,  0.00, 269, 0, 7.46, 
2022/05/24, 12:18:37, 51.454967, -3.622139, 72.93,  0.00, 129, 0, 4.72, 
2022/05/24, 12:18:54, 51.454941, -3.622102, 69.81,  1332.00, 269, 0, 3.86, 
2022/05/24, 12:19:12, 51.454956, -3.622108, 69.45,  648.00, 333, 0, 1.72, 
2022/05/24, 12:19:31, 51.454956, -3.622158, 53.88,  324.00, 205, 0, 3.46, 
2022/05/24, 12:20:09, 51.454960, -3.622164, 52.82,  504.00, 103, 0, 0.61, 
2022/05/24, 12:20:29, 51.454914, -3.622005, 70.31,  4500.00, 103, 0, 12.15, 
2022/05/24, 12:20:50, 51.454899, -3.622120, 38.68,  2160.00, 91, 0, 8.14, 
2022/05/24, 12:21:10, 51.455029, -3.622209, 51.45,  5364.00, 83, 0, 15.72, 
2022/05/24, 12:21:30, 51.455029, -3.621961, 68.63,  3348.00, 175, 0, 17.18, 
