Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:05:39, 51.454899, -3.622205, 64.73,  0.00, 32, -2, 0.00, 1
2022/05/24, 12:05:54, 51.454590, -3.622443, 76.55,  0.00, 28, 0, 38.11, 1
2022/05/24, 12:06:12, 51.454342, -3.622576, 84.02,  5256.00, 47, 0, 29.08, 
2022/05/24, 12:06:30, 51.454212, -3.622805, 94.77,  0.00, 27, 0, 21.46, 
2022/05/24, 12:06:44, 51.455238, -3.621789, 37.09,  0.00, 210, 0, 134.06, 
2022/05/24, 12:06:58, 51.456585, -3.620543, -19.86,  0.00, 262, 0, 172.88, 
2022/05/24, 12:07:15, 51.455288, -3.621832, 48.34,  0.00, 31, 0, 169.63, 
2022/05/24, 12:07:32, 51.454918, -3.622132, 56.05,  0.00, 7, 0, 46.10, 
2022/05/24, 12:07:50, 51.455112, -3.622017, 48.87,  0.00, 37, 0, 23.00, 
2022/05/24, 12:08:07, 51.454830, -3.622216, 61.59,  0.00, 220, 0, 34.25, 
2022/05/24, 12:08:21, 51.455219, -3.621878, 42.14,  4788.00, 15, 0, 49.19, 
2022/05/24, 12:08:37, 51.455505, -3.621578, 27.16,  0.00, 179, 0, 37.99, 
2022/05/24, 12:08:54, 51.454983, -3.622092, 56.79,  0.00, 26, 0, 68.10, 
2022/05/24, 12:09:11, 51.454872, -3.622154, 56.82,  0.00, 28, 0, 13.07, 
2022/05/24, 12:09:28, 51.454754, -3.622288, 65.20,  0.00, 130, 0, 16.07, 
2022/05/24, 12:09:45, 51.454796, -3.622308, 65.84,  0.00, 39, 0, 4.87, 
2022/05/24, 12:10:02, 51.454544, -3.622536, 67.19,  0.00, 67, 0, 32.17, 
2022/05/24, 12:10:19, 51.454819, -3.622259, 52.93,  0.00, 190, 0, 36.10, 
2022/05/24, 12:10:36, 51.454872, -3.622220, 53.15,  0.00, 216, 0, 6.48, 
2022/05/24, 12:10:53, 51.454517, -3.622606, 74.17,  2556.00, 28, 0, 47.68, 
2022/05/24, 12:11:11, 51.454929, -3.622176, 56.31,  0.00, 99, 0, 54.65, 
2022/05/24, 12:11:28, 51.455040, -3.622038, 50.28,  0.00, 199, 0, 15.61, 
2022/05/24, 12:11:46, 51.455032, -3.622057, 48.05,  0.00, 232, 0, 1.59, 
2022/05/24, 12:12:04, 51.455059, -3.621984, 49.13,  0.00, 31, 0, 5.88, 
2022/05/24, 12:12:22, 51.455029, -3.622026, 49.38,  0.00, 39, 0, 4.43, 
2022/05/24, 12:12:42, 51.455082, -3.622018, 50.61,  0.00, 25, 0, 5.92, 
2022/05/24, 12:13:01, 51.454578, -3.622471, 68.83,  0.00, 213, 0, 64.23, 
2022/05/24, 12:13:21, 51.454639, -3.622422, 53.35,  0.00, 4, 0, 7.59, 
2022/05/24, 12:13:37, 51.454563, -3.622581, 55.84,  5040.00, 216, 0, 13.88, 
2022/05/24, 12:13:53, 51.454838, -3.622117, 73.13,  0.00, 225, 0, 44.37, 
2022/05/24, 12:14:08, 51.455147, -3.621789, 66.65,  0.00, 49, 0, 41.20, 
2022/05/24, 12:14:26, 51.455250, -3.621728, 60.97,  0.00, 26, 0, 12.21, 
2022/05/24, 12:14:47, 51.455139, -3.621865, 58.56,  0.00, 230, 0, 15.57, 
2022/05/24, 12:15:04, 51.455090, -3.621937, 55.77,  3348.00, 29, 0, 7.39, 
2022/05/24, 12:15:25, 51.454899, -3.622146, 72.68,  0.00, 342, 0, 25.71, 
2022/05/24, 12:15:45, 51.455040, -3.621997, 61.47,  0.00, 169, 0, 18.77, 
2022/05/24, 12:16:06, 51.455074, -3.622000, 57.56,  0.00, 51, 0, 3.79, 
2022/05/24, 12:16:33, 51.455299, -3.621694, 59.39,  0.00, 107, 0, 32.79, 
2022/05/24, 12:16:53, 51.455330, -3.621554, 58.12,  8640.00, 45, 0, 10.29, 
2022/05/24, 12:17:13, 51.455391, -3.621544, 57.65,  17100.00, 35, 0, 6.82, 
2022/05/24, 12:17:33, 51.455330, -3.621560, 47.71,  6768.00, 214, 0, 6.87, 
2022/05/24, 12:17:52, 51.455311, -3.621606, 56.39,  8496.00, 33, 0, 3.82, 
2022/05/24, 12:18:12, 51.454960, -3.621971, 62.10,  0.00, 248, 0, 46.51, 
2022/05/24, 12:18:32, 51.455372, -3.621518, 62.29,  4680.00, 35, 0, 55.53, 
2022/05/24, 12:19:06, 51.455135, -3.621671, 71.67,  0.00, 223, 0, 28.41, 
2022/05/24, 12:19:23, 51.454353, -3.623103, 16.61,  0.00, 233, 0, 131.93, 
2022/05/24, 12:19:41, 51.454041, -3.623667, -6.97,  0.00, 229, 0, 52.26, 
2022/05/24, 12:19:55, 51.457172, -3.618292, 213.39,  0.00, 246, 0, 509.81, 
2022/05/24, 12:20:12, 51.456329, -3.619565, 148.75,  0.00, 53, 0, 128.71, 
2022/05/24, 12:20:28, 51.453709, -3.624237, -23.54,  0.00, 289, 0, 435.51, 
2022/05/24, 12:20:46, 51.454723, -3.622407, 47.01,  5328.00, 52, 0, 169.68, 
2022/05/24, 12:21:00, 51.461773, -3.609853, 513.47,  0.00, 353, 0, 1170.93, 
2022/05/24, 12:21:16, 51.462395, -3.608941, 566.01,  0.00, 40, 0, 93.68, 
2022/05/24, 12:21:31, 51.455067, -3.621873, 71.37,  324.00, 336, 0, 1211.08, 
2022/05/24, 12:21:48, 51.455021, -3.621956, 82.07,  432.00, 285, 0, 7.70, 
2022/05/24, 12:22:05, 51.455128, -3.621773, 77.15,  756.00, 225, 0, 17.39, 
2022/05/24, 12:22:24, 51.455711, -3.620764, 111.06,  0.00, 266, 0, 95.34, 1
2022/05/24, 12:22:44, 51.455967, -3.620322, 130.72,  0.00, 28, 0, 41.81, 
2022/05/24, 12:23:04, 51.456924, -3.618637, 191.49,  4320.00, 44, 0, 157.97, 
2022/05/24, 12:23:24, 51.456322, -3.619761, 153.57,  0.00, 359, 0, 102.69, 
2022/05/24, 12:23:42, 51.454926, -3.621989, 62.92,  5220.00, 46, 0, 218.92, 
2022/05/24, 12:24:01, 51.454838, -3.622225, 51.34,  1872.00, 64, 0, 19.06, 
2022/05/24, 12:24:17, 51.455036, -3.621913, 64.27,  864.00, 187, 0, 30.86, 
2022/05/24, 12:24:34, 51.454807, -3.622194, 54.81,  0.00, 119, 0, 32.05, 1
2022/05/24, 12:24:50, 51.454956, -3.621989, 43.21,  2520.00, 85, 0, 21.82, 
2022/05/24, 12:25:06, 51.455040, -3.621958, 60.19,  396.00, 132, 0, 9.58, 
2022/05/24, 12:25:22, 51.454926, -3.621985, 61.75,  2844.00, 54, 0, 12.81, 
2022/05/24, 12:25:40, 51.455170, -3.621824, 45.81,  2268.00, 225, 0, 29.34, 
2022/05/24, 12:25:56, 51.454998, -3.621994, 44.92,  1260.00, 210, 0, 22.46, 
2022/05/24, 12:26:16, 51.455128, -3.621924, 46.08,  0.00, 199, 0, 15.25, 
2022/05/24, 12:26:34, 51.454842, -3.622058, 54.24,  2124.00, 17, 0, 33.13, 
2022/05/24, 12:26:53, 51.454941, -3.621967, 56.18,  1512.00, 44, 0, 12.69, 
2022/05/24, 12:27:10, 51.454952, -3.621980, 45.84,  0.00, 216, 0, 1.52, 
2022/05/24, 12:27:27, 51.455002, -3.621985, 68.64,  0.00, 43, 0, 5.57, 
2022/05/24, 12:27:43, 51.455044, -3.621889, 60.42,  1908.00, 36, 0, 8.13, 
2022/05/24, 12:28:00, 51.455067, -3.621846, 59.48,  2124.00, 227, 0, 3.93, 
2022/05/24, 12:28:16, 51.455139, -3.621771, 66.02,  2016.00, 28, 0, 9.54, 
2022/05/24, 12:28:34, 51.455078, -3.621969, 53.54,  0.00, 253, 0, 15.30, 
2022/05/24, 12:28:51, 51.455116, -3.621917, 54.73,  2016.00, 229, 0, 5.55, 
2022/05/24, 12:29:09, 51.454983, -3.622073, 60.79,  3060.00, 224, 0, 18.32, 
2022/05/24, 12:29:26, 51.455048, -3.621969, 67.85,  396.00, 226, 0, 10.21, 
2022/05/24, 12:29:44, 51.454990, -3.622050, 58.43,  0.00, 22, 0, 8.55, 
2022/05/24, 12:30:01, 51.454887, -3.622156, 56.83,  0.00, 41, 0, 13.61, 
2022/05/24, 12:30:17, 51.454971, -3.622066, 56.56,  0.00, 9, 0, 11.23, 
2022/05/24, 12:30:33, 51.455040, -3.622015, 67.04,  0.00, 209, 0, 8.45, 
2022/05/24, 12:30:50, 51.455120, -3.621855, 48.83,  828.00, 37, 0, 14.21, 
2022/05/24, 12:31:06, 51.454971, -3.622109, 66.43,  3204.00, 229, 0, 24.17, 
2022/05/24, 12:31:23, 51.454983, -3.622079, 62.98,  0.00, 40, 0, 2.47, 
2022/05/24, 12:31:39, 51.454971, -3.622074, 58.24,  2088.00, 175, 0, 1.38, 
2022/05/24, 12:31:55, 51.454914, -3.622164, 66.54,  2196.00, 111, 0, 8.89, 
2022/05/24, 12:32:11, 51.454937, -3.622198, 74.88,  2916.00, 10, 0, 3.48, 
2022/05/24, 12:32:28, 51.454884, -3.622117, 50.63,  0.00, 34, 0, 8.14, 
2022/05/24, 12:32:46, 51.454960, -3.622230, 67.53,  0.00, 119, 0, 11.52, 
2022/05/24, 12:33:03, 51.454994, -3.622229, 64.45,  0.00, 110, 0, 3.78, 
2022/05/24, 12:33:20, 51.454659, -3.622463, 65.90,  0.00, 125, 0, 40.63, 
2022/05/24, 12:33:37, 51.454777, -3.622220, 55.04,  1080.00, 209, 0, 21.35, 
2022/05/24, 12:33:54, 51.454865, -3.622173, 43.74,  0.00, 196, 0, 10.31, 
2022/05/24, 12:34:10, 51.454849, -3.622196, 50.38,  1080.00, 27, 0, 2.39, 
2022/05/24, 12:34:26, 51.454800, -3.622185, 58.59,  4104.00, 48, 0, 5.50, 
2022/05/24, 12:34:42, 51.454830, -3.622152, 50.85,  792.00, 67, 0, 4.04, 
2022/05/24, 12:34:59, 51.454784, -3.622197, 49.10,  0.00, 130, 0, 5.99, 
2022/05/24, 12:35:17, 51.454884, -3.622013, 37.60,  0.00, 24, 0, 16.92, 
2022/05/24, 12:35:34, 51.454849, -3.622130, 53.60,  0.00, 7, 0, 8.99, 
2022/05/24, 12:35:52, 51.454777, -3.622227, 43.60,  648.00, 144, 0, 10.45, 
2022/05/24, 12:36:08, 51.454979, -3.622073, 53.34,  1224.00, 221, 0, 24.87, 
2022/05/24, 12:36:23, 51.454723, -3.622349, 50.29,  4248.00, 227, 0, 34.29, 
2022/05/24, 12:36:40, 51.454693, -3.622439, 53.95,  0.00, 197, 0, 7.07, 
2022/05/24, 12:36:55, 51.455051, -3.621873, 64.01,  1044.00, 30, 0, 55.88, 
2022/05/24, 12:37:11, 51.454765, -3.622376, 55.71,  1476.00, 223, 0, 47.18, 
2022/05/24, 12:37:28, 51.454754, -3.622360, 59.86,  4320.00, 46, 0, 1.65, 
2022/05/24, 12:37:44, 51.454838, -3.622370, 56.65,  648.00, 44, 0, 9.37, 
2022/05/24, 12:38:01, 51.454956, -3.622179, 64.76,  5616.00, 33, 0, 18.64, 
2022/05/24, 12:38:16, 51.454960, -3.622148, 62.21,  3996.00, 210, 0, 2.19, 
2022/05/24, 12:38:31, 51.454777, -3.622404, 54.24,  8460.00, 222, 0, 26.99, 
2022/05/24, 12:38:47, 51.455212, -3.621735, 87.13,  8136.00, 38, 0, 67.00, 
2022/05/24, 12:39:04, 51.455193, -3.621783, 84.78,  4716.00, 45, 0, 3.94, 
2022/05/24, 12:39:21, 51.455082, -3.621957, 75.14,  5400.00, 222, 0, 17.25, 
2022/05/24, 12:39:38, 51.454876, -3.622259, 61.98,  4104.00, 237, 0, 31.03, 
2022/05/24, 12:39:53, 51.454796, -3.622296, 58.78,  432.00, 70, 0, 9.26, 
2022/05/24, 12:40:10, 51.455051, -3.622111, 68.32,  4932.00, 211, 0, 31.12, 
2022/05/24, 12:40:26, 51.455021, -3.622161, 68.74,  2628.00, 213, 0, 4.81, 
