Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:10:07, 51.455849, -3.620752, -42.54,  360.00, 138, -2, 0.00, 1
2022/05/24, 12:15:24, 51.455849, -3.620752, -42.54,  360.00, 138, 0, 0.00, 
2022/05/24, 12:18:00, 51.455578, -3.620991, -20.61,  9720.00, 46, 0, 34.38, 
2022/05/24, 12:21:26, 51.454952, -3.622034, 63.48,  612.00, 104, 0, 100.34, 
2022/05/24, 12:22:43, 51.454945, -3.622060, 71.47,  0.00, 126, 0, 1.96, 1
2022/05/24, 12:22:57, 51.454937, -3.622045, 62.92,  1836.00, 272, 0, 1.37, 
2022/05/24, 12:23:11, 51.455017, -3.622070, 75.52,  828.00, 191, 0, 9.06, 
2022/05/24, 12:23:26, 51.454979, -3.622053, 78.83,  0.00, 161, 0, 4.39, 
2022/05/24, 12:23:40, 51.454945, -3.622101, 72.01,  180.00, 264, 0, 5.04, 
2022/05/24, 12:23:54, 51.455002, -3.622116, 63.77,  2628.00, 147, 0, 6.42, 
2022/05/24, 12:24:08, 51.455044, -3.622036, 73.85,  900.00, 351, 0, 7.25, 
2022/05/24, 12:24:21, 51.455017, -3.622103, 69.32,  2052.00, 159, 0, 5.53, 
2022/05/24, 12:24:37, 51.455006, -3.622091, 68.48,  0.00, 151, 0, 1.48, 
2022/05/24, 12:24:51, 51.455025, -3.622163, 63.81,  648.00, 359, 0, 5.42, 
2022/05/24, 12:25:05, 51.454964, -3.622036, 72.99,  2340.00, 172, 0, 11.11, 
2022/05/24, 12:25:18, 51.454979, -3.622123, 54.09,  720.00, 167, 0, 6.25, 
2022/05/24, 12:25:31, 51.455059, -3.622138, 61.68,  1728.00, 0, 0, 8.96, 
2022/05/24, 12:25:47, 51.454922, -3.622044, 60.32,  0.00, 158, 0, 16.57, 
2022/05/24, 12:26:01, 51.454754, -3.622013, 39.93,  2268.00, 175, 0, 18.80, 
2022/05/24, 12:26:15, 51.454948, -3.622056, 61.69,  756.00, 131, 0, 21.78, 
2022/05/24, 12:26:30, 51.454872, -3.622033, 63.80,  0.00, 150, 0, 8.60, 
