Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:03:26, 51.455009, -3.622080, 51.68,  360.00, 18, -2, 0.00, 1
2022/05/24, 12:03:44, 51.454987, -3.622113, 63.75,  288.00, 166, 0, 3.35, 
2022/05/24, 12:03:58, 51.455021, -3.622059, 68.41,  324.00, 209, 0, 5.32, 
2022/05/24, 12:04:13, 51.455162, -3.622020, 68.38,  0.00, 10, 0, 15.91, 
2022/05/24, 12:04:27, 51.455086, -3.621990, 71.58,  180.00, 9, 0, 8.70, 
2022/05/24, 12:04:41, 51.454998, -3.622101, 59.78,  576.00, 13, 0, 12.45, 
2022/05/24, 12:04:56, 51.455021, -3.622032, 63.13,  0.00, 204, 0, 5.42, 
2022/05/24, 12:05:10, 51.455116, -3.622015, 56.49,  4392.00, 12, 0, 10.63, 
2022/05/24, 12:05:24, 51.455059, -3.622039, 72.09,  2556.00, 217, 0, 6.55, 
2022/05/24, 12:05:38, 51.455200, -3.621888, 54.82,  972.00, 342, 0, 18.85, 
2022/05/24, 12:05:53, 51.455021, -3.622069, 58.42,  0.00, 70, 0, 23.53, 
2022/05/24, 12:06:11, 51.455059, -3.621940, 51.88,  0.00, 209, 0, 9.89, 
2022/05/24, 12:06:25, 51.455040, -3.622079, 47.26,  1188.00, 208, 0, 9.86, 
2022/05/24, 12:06:40, 51.454926, -3.622056, 40.54,  0.00, 193, 0, 12.78, 
2022/05/24, 12:06:54, 51.454906, -3.622060, 41.05,  648.00, 355, 0, 2.24, 
2022/05/24, 12:07:10, 51.455032, -3.622018, 45.71,  0.00, 2, 0, 14.31, 
2022/05/24, 12:07:24, 51.455002, -3.622073, 41.36,  540.00, 3, 0, 5.06, 
2022/05/24, 12:07:39, 51.455040, -3.622011, 44.22,  0.00, 2, 0, 6.03, 
2022/05/24, 12:07:53, 51.454861, -3.622067, 45.54,  3744.00, 350, 0, 20.28, 
2022/05/24, 12:08:07, 51.454948, -3.622022, 36.51,  1440.00, 192, 0, 10.16, 
2022/05/24, 12:08:24, 51.454975, -3.622017, 34.18,  0.00, 21, 0, 3.02, 
2022/05/24, 12:08:39, 51.455048, -3.622012, 54.53,  0.00, 165, 0, 8.12, 
2022/05/24, 12:08:54, 51.455055, -3.622019, 49.94,  1224.00, 238, 0, 0.92, 
2022/05/24, 12:09:10, 51.455208, -3.621967, 44.66,  0.00, 233, 0, 17.39, 
2022/05/24, 12:09:24, 51.455051, -3.622026, 53.45,  1908.00, 187, 0, 17.93, 
2022/05/24, 12:09:40, 51.455196, -3.621999, 55.09,  0.00, 131, 0, 16.23, 
2022/05/24, 12:09:57, 51.455090, -3.622059, 57.08,  0.00, 51, 0, 12.50, 
2022/05/24, 12:10:11, 51.455025, -3.622056, 49.13,  1584.00, 7, 0, 7.23, 
2022/05/24, 12:10:25, 51.455082, -3.622098, 61.88,  1260.00, 7, 0, 6.97, 
2022/05/24, 12:10:38, 51.455067, -3.622021, 53.40,  756.00, 0, 0, 5.59, 
2022/05/24, 12:10:52, 51.455235, -3.622017, 69.45,  0.00, 354, 0, 18.68, 
2022/05/24, 12:11:06, 51.455200, -3.622045, 65.15,  3024.00, 191, 0, 4.35, 
2022/05/24, 12:11:20, 51.455261, -3.621987, 49.78,  3960.00, 200, 0, 7.88, 
2022/05/24, 12:11:34, 51.455196, -3.622010, 65.68,  936.00, 195, 0, 7.40, 
2022/05/24, 12:11:51, 51.454899, -3.622105, 70.20,  7308.00, 191, 0, 33.67, 
2022/05/24, 12:12:09, 51.454922, -3.622125, 71.92,  17892.00, 192, 0, 2.91, 
2022/05/24, 12:12:24, 51.454987, -3.622123, 58.85,  7560.00, 195, 0, 7.23, 
2022/05/24, 12:12:41, 51.455051, -3.622095, 69.24,  3240.00, 192, 0, 7.38, 
2022/05/24, 12:12:58, 51.454975, -3.622123, 60.91,  0.00, 201, 0, 8.67, 
2022/05/24, 12:13:16, 51.454918, -3.622170, 61.68,  0.00, 6, 0, 7.13, 
2022/05/24, 12:13:34, 51.454975, -3.622129, 48.48,  0.00, 149, 0, 6.95, 
2022/05/24, 12:13:50, 51.454922, -3.622148, 42.74,  0.00, 184, 0, 6.04, 
2022/05/24, 12:14:04, 51.455013, -3.622105, 55.94,  3312.00, 189, 0, 10.55, 
2022/05/24, 12:14:18, 51.454937, -3.622121, 27.74,  4068.00, 207, 0, 8.52, 
2022/05/24, 12:14:33, 51.454891, -3.622140, 51.46,  0.00, 194, 0, 5.28, 
2022/05/24, 12:14:49, 51.455002, -3.622108, 36.55,  0.00, 23, 0, 12.54, 
2022/05/24, 12:15:09, 51.455036, -3.622094, 54.65,  612.00, 355, 0, 3.90, 
2022/05/24, 12:15:27, 51.454895, -3.622120, 34.49,  0.00, 10, 0, 15.78, 
2022/05/24, 12:15:51, 51.454929, -3.622136, 48.83,  1116.00, 198, 0, 3.94, 
2022/05/24, 12:16:05, 51.454937, -3.622205, 55.81,  648.00, 69, 0, 4.86, 
2022/05/24, 12:16:19, 51.454876, -3.622335, 50.80,  720.00, 3, 0, 11.28, 
2022/05/24, 12:16:35, 51.454842, -3.622252, 48.42,  0.00, 193, 0, 6.88, 
2022/05/24, 12:16:49, 51.454857, -3.622227, 47.16,  468.00, 31, 0, 2.40, 
2022/05/24, 12:17:03, 51.455055, -3.622074, 40.25,  144.00, 1, 0, 24.44, 
2022/05/24, 12:17:18, 51.454975, -3.622234, 63.08,  0.00, 208, 0, 14.21, 
2022/05/24, 12:17:35, 51.455006, -3.622195, 52.65,  0.00, 18, 0, 4.38, 
