Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/24, 12:09:44, 51.454865, -3.621838, 57.77,  5040.00, 109, -2, 0.00, 1
2022/05/24, 12:10:04, 51.454834, -3.621858, 55.86,  0.00, 324, 0, 3.72, 
2022/05/24, 12:10:22, 51.454872, -3.621842, 53.91,  0.00, 286, 0, 4.37, 
2022/05/24, 12:10:40, 51.454819, -3.621840, 50.40,  0.00, 124, 0, 5.89, 
2022/05/24, 12:10:58, 51.454857, -3.621856, 54.47,  0.00, 102, 0, 4.37, 
2022/05/24, 12:11:17, 51.454800, -3.621963, 50.27,  0.00, 52, 0, 9.75, 
2022/05/24, 12:11:34, 51.454922, -3.622000, 60.66,  0.00, 358, 0, 13.81, 
2022/05/24, 12:11:51, 51.454800, -3.621945, 41.26,  0.00, 339, 0, 14.09, 
2022/05/24, 12:12:09, 51.454815, -3.621944, 51.14,  0.00, 45, 0, 1.67, 
2022/05/24, 12:12:23, 51.454823, -3.621935, 53.46,  2268.00, 342, 0, 1.09, 
2022/05/24, 12:12:41, 51.454826, -3.621995, 53.16,  0.00, 17, 0, 4.17, 
2022/05/24, 12:12:59, 51.454956, -3.622052, 66.28,  0.00, 39, 0, 14.99, 
2022/05/24, 12:13:17, 51.454933, -3.622016, 68.93,  0.00, 12, 0, 3.57, 
2022/05/24, 12:13:35, 51.454910, -3.622011, 56.46,  0.00, 6, 0, 2.58, 
2022/05/24, 12:13:53, 51.455040, -3.622039, 71.98,  0.00, 18, 0, 14.58, 
2022/05/24, 12:14:11, 51.455032, -3.622077, 75.92,  0.00, 23, 0, 2.78, 
2022/05/24, 12:14:29, 51.454979, -3.622069, 68.66,  0.00, 47, 0, 5.92, 
2022/05/24, 12:14:47, 51.454857, -3.622059, 56.53,  0.00, 32, 0, 13.58, 
2022/05/24, 12:15:02, 51.454865, -3.622061, 57.02,  0.00, 356, 0, 0.90, 
2022/05/24, 12:15:15, 51.454876, -3.622066, 68.96,  0.00, 351, 0, 1.27, 
2022/05/24, 12:15:34, 51.454872, -3.622079, 61.26,  0.00, 7, 0, 1.00, 
2022/05/24, 12:15:52, 51.454895, -3.622050, 67.02,  0.00, 14, 0, 3.25, 
2022/05/24, 12:16:10, 51.454960, -3.622070, 72.54,  0.00, 78, 0, 7.36, 
2022/05/24, 12:16:28, 51.455002, -3.622087, 75.24,  0.00, 126, 0, 4.82, 
2022/05/24, 12:16:46, 51.454769, -3.621999, 57.46,  0.00, 162, 0, 26.62, 
