Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/27, 14:48:49, 51.455040, -3.622172, 72.09,  252.00, 162, -2, 0.00, 1
2022/05/27, 14:49:07, 51.455139, -3.622306, 77.18,  5976.00, 332, 0, 14.40, 
2022/05/27, 14:49:26, 51.455349, -3.622496, 58.81,  5436.00, 329, 0, 26.81, 
2022/05/27, 14:49:40, 51.455421, -3.622858, 59.83,  5184.00, 282, 0, 26.33, 1
2022/05/27, 14:50:00, 51.455311, -3.623404, 54.01,  5184.00, 244, 0, 39.76, 
2022/05/27, 14:50:22, 51.455242, -3.623606, 58.68,  0.00, 0, 0, 15.96, 
2022/05/27, 14:50:43, 51.455070, -3.624417, -1.98,  5652.00, 256, 0, 59.36, 
2022/05/27, 14:51:00, 51.455109, -3.624623, 24.47,  5328.00, 245, 0, 14.92, 
2022/05/27, 14:51:20, 51.454903, -3.625008, 31.54,  5940.00, 234, 0, 35.16, 
2022/05/27, 14:51:36, 51.454796, -3.625322, 22.00,  5688.00, 229, 0, 24.80, 
2022/05/27, 14:51:54, 51.454662, -3.625577, -5.56,  3780.00, 246, 0, 23.11, 1
2022/05/27, 14:52:12, 51.454487, -3.625544, 10.68,  0.00, 172, 0, 19.59, 
2022/05/27, 14:52:27, 51.454323, -3.625398, 11.57,  2196.00, 170, 0, 20.85, 
2022/05/27, 14:52:50, 51.454147, -3.625495, -18.75,  2808.00, 273, 0, 20.69, 
2022/05/27, 14:53:06, 51.454304, -3.625274, 20.74,  0.00, 310, 0, 23.22, 
2022/05/27, 14:53:22, 51.454292, -3.625326, 21.97,  0.00, 121, 0, 3.84, 
2022/05/27, 14:53:42, 51.454262, -3.625250, 20.35,  0.00, 103, 0, 6.23, 
2022/05/27, 14:53:56, 51.454380, -3.625371, 30.57,  0.00, 90, 0, 15.57, 
2022/05/27, 14:54:12, 51.454281, -3.625296, 21.36,  0.00, 23, 0, 12.17, 
2022/05/27, 14:54:39, 51.454342, -3.624770, 83.42,  6084.00, 332, 0, 37.07, 
2022/05/27, 14:55:02, 51.454132, -3.625805, -51.23,  0.00, 277, 0, 75.42, 
2022/05/27, 14:55:17, 51.453712, -3.625728, -2.60,  50040.00, 202, 0, 47.01, 
2022/05/27, 14:55:31, 51.452137, -3.626581, -8.85,  36072.00, 209, 0, 184.84, 
2022/05/27, 14:55:45, 51.450901, -3.627238, 3.03,  36684.00, 201, 0, 144.78, 1
2022/05/27, 14:55:59, 51.449718, -3.627974, -9.41,  36252.00, 205, 0, 141.08, 
2022/05/27, 14:56:13, 51.448689, -3.628538, 3.89,  33984.00, 189, 0, 120.91, 
2022/05/27, 14:56:27, 51.447838, -3.629283, -0.23,  23580.00, 225, 0, 107.79, 
2022/05/27, 14:56:41, 51.446907, -3.629855, 9.87,  28548.00, 216, 0, 110.85, 
2022/05/27, 14:56:55, 51.445972, -3.630610, -1.86,  30384.00, 199, 0, 116.39, 1
2022/05/27, 14:57:09, 51.444782, -3.630863, -8.50,  33804.00, 194, 0, 133.48, 
2022/05/27, 14:57:22, 51.443726, -3.631209, -14.66,  26424.00, 208, 0, 119.85, 
2022/05/27, 14:57:36, 51.442528, -3.631403, -0.10,  34668.00, 181, 0, 133.89, 
2022/05/27, 14:57:50, 51.441177, -3.631506, 33.98,  35028.00, 197, 0, 150.39, 1
2022/05/27, 14:58:04, 51.440018, -3.632367, 6.80,  32976.00, 205, 0, 142.02, 
2022/05/27, 14:58:18, 51.439201, -3.633363, -2.47,  25056.00, 255, 0, 114.10, 
2022/05/27, 14:58:32, 51.438343, -3.634321, -9.89,  29340.00, 230, 0, 116.24, 1
2022/05/27, 14:58:46, 51.437752, -3.635393, 5.67,  30672.00, 200, 0, 99.20, 
2022/05/27, 14:58:59, 51.437141, -3.636452, -10.42,  21600.00, 225, 0, 100.02, 
2022/05/27, 14:59:13, 51.436699, -3.637406, -1.97,  24588.00, 214, 0, 82.39, 
2022/05/27, 14:59:26, 51.436001, -3.638353, -21.25,  22716.00, 230, 0, 101.65, 1
2022/05/27, 14:59:40, 51.435757, -3.638380, 24.55,  5184.00, 109, 0, 27.20, 
2022/05/27, 14:59:54, 51.435692, -3.638422, -7.42,  2196.00, 191, 0, 7.79, 
2022/05/27, 15:00:07, 51.435635, -3.638267, 6.16,  0.00, 119, 0, 12.47, 
2022/05/27, 15:00:20, 51.435566, -3.638230, -6.63,  5688.00, 103, 0, 8.09, 
2022/05/27, 15:00:34, 51.435497, -3.638002, 6.80,  1908.00, 170, 0, 17.57, 
2022/05/27, 15:00:47, 51.435349, -3.637459, 57.75,  0.00, 123, 0, 41.08, 
2022/05/27, 15:01:00, 51.435341, -3.637713, 15.34,  3924.00, 128, 0, 17.63, 
2022/05/27, 15:01:14, 51.435265, -3.637676, 8.58,  5832.00, 121, 0, 8.83, 
2022/05/27, 15:01:27, 51.435165, -3.637372, 26.06,  0.00, 134, 0, 23.83, 
2022/05/27, 15:01:41, 51.435093, -3.637378, 12.07,  2952.00, 179, 0, 8.02, 
2022/05/27, 15:01:54, 51.434998, -3.637014, 41.97,  1980.00, 153, 0, 27.35, 
2022/05/27, 15:02:07, 51.434959, -3.637259, 6.23,  0.00, 118, 0, 17.53, 
2022/05/27, 15:02:20, 51.434879, -3.636976, 13.28,  5112.00, 121, 0, 21.54, 
2022/05/27, 15:02:33, 51.434826, -3.636938, 0.75,  1764.00, 111, 0, 6.46, 
2022/05/27, 15:02:46, 51.434788, -3.636913, -4.96,  1800.00, 128, 0, 4.57, 
2022/05/27, 15:03:34, 51.434494, -3.637174, -15.92,  2304.00, 206, 0, 37.36, 
2022/05/27, 15:03:47, 51.434483, -3.636735, 5.75,  0.00, 155, 0, 30.46, 
2022/05/27, 15:04:00, 51.434372, -3.636734, -10.16,  0.00, 125, 0, 12.34, 
2022/05/27, 15:04:13, 51.434338, -3.636602, -0.14,  0.00, 156, 0, 9.90, 
2022/05/27, 15:04:28, 51.434242, -3.636380, 15.21,  3744.00, 155, 0, 18.73, 
2022/05/27, 15:04:41, 51.434212, -3.636473, -5.51,  0.00, 108, 0, 7.26, 
2022/05/27, 15:04:54, 51.434105, -3.636372, -10.39,  0.00, 166, 0, 13.81, 
2022/05/27, 15:05:07, 51.434048, -3.636209, -0.86,  0.00, 192, 0, 12.96, 
2022/05/27, 15:05:22, 51.434006, -3.636028, 4.87,  3708.00, 111, 0, 13.39, 
2022/05/27, 15:05:37, 51.433926, -3.635958, -12.37,  0.00, 121, 0, 10.13, 1
2022/05/27, 15:05:54, 51.433907, -3.635583, 10.87,  3996.00, 112, 0, 26.08, 
2022/05/27, 15:06:07, 51.433846, -3.635526, 0.57,  0.00, 87, 0, 7.85, 
2022/05/27, 15:06:20, 51.433804, -3.635499, -12.10,  0.00, 144, 0, 5.03, 
2022/05/27, 15:06:33, 51.433762, -3.635200, -3.64,  2124.00, 152, 0, 21.25, 
2022/05/27, 15:06:46, 51.433720, -3.634976, 4.34,  4464.00, 105, 0, 16.22, 
2022/05/27, 15:06:59, 51.433708, -3.634580, 32.33,  0.00, 115, 0, 27.48, 
2022/05/27, 15:07:11, 51.433674, -3.634294, 49.89,  6912.00, 98, 0, 20.18, 
2022/05/27, 15:07:24, 51.433628, -3.634440, 10.63,  5940.00, 101, 0, 11.34, 
2022/05/27, 15:07:37, 51.433563, -3.634297, 11.09,  0.00, 149, 0, 12.27, 
2022/05/27, 15:07:50, 51.433510, -3.634318, -4.93,  2556.00, 135, 0, 6.07, 
2022/05/27, 15:08:03, 51.433430, -3.634220, -10.88,  2376.00, 105, 0, 11.19, 
2022/05/27, 15:08:17, 51.433384, -3.633943, 6.48,  1764.00, 134, 0, 19.87, 
2022/05/27, 15:08:30, 51.433331, -3.633919, -9.67,  0.00, 104, 0, 6.12, 1
2022/05/27, 15:08:43, 51.433292, -3.633550, 6.66,  5184.00, 107, 0, 25.94, 
2022/05/27, 15:08:56, 51.433243, -3.633629, -19.21,  4068.00, 91, 0, 7.73, 
2022/05/27, 15:09:10, 51.433212, -3.633351, -8.39,  8352.00, 95, 0, 19.58, 
2022/05/27, 15:09:23, 51.433159, -3.633412, -28.66,  0.00, 153, 0, 7.25, 
2022/05/27, 15:09:36, 51.433086, -3.633358, -45.11,  0.00, 109, 0, 8.94, 
2022/05/27, 15:09:49, 51.433132, -3.633859, -7.43,  21708.00, 252, 0, 35.10, 
2022/05/27, 15:10:02, 51.432983, -3.634336, 42.33,  20448.00, 217, 0, 36.99, 
2022/05/27, 15:10:15, 51.432468, -3.635494, 19.24,  22608.00, 264, 0, 98.61, 
2022/05/27, 15:10:28, 51.432053, -3.636383, 44.48,  26352.00, 213, 0, 76.99, 1
2022/05/27, 15:10:41, 51.431793, -3.637425, -4.25,  5616.00, 110, 0, 77.81, 
2022/05/27, 15:10:54, 51.431759, -3.637380, -14.66,  0.00, 49, 0, 4.90, 1
2022/05/27, 15:12:06, 51.431690, -3.637501, -21.61,  1980.00, 158, 0, 11.37, 
2022/05/27, 15:12:19, 51.431824, -3.637269, -11.79,  36360.00, 19, 0, 21.92, 
2022/05/27, 15:12:32, 51.432255, -3.638181, -3.83,  27756.00, 242, 0, 79.33, 1
2022/05/27, 15:12:44, 51.431686, -3.639208, -2.20,  34200.00, 220, 0, 95.25, 1
2022/05/27, 15:12:57, 51.430569, -3.640011, -6.41,  41976.00, 191, 0, 136.11, 
2022/05/27, 15:13:10, 51.429516, -3.640808, -6.94,  33804.00, 227, 0, 129.47, 
2022/05/27, 15:13:23, 51.428688, -3.641671, -24.24,  32436.00, 184, 0, 109.80, 
2022/05/27, 15:13:36, 51.428062, -3.642087, -21.82,  2952.00, 134, 0, 75.35, 1
2022/05/27, 15:14:26, 51.427864, -3.640954, -14.53,  4176.00, 109, 0, 81.58, 
2022/05/27, 15:14:39, 51.427818, -3.640459, 6.14,  16020.00, 119, 0, 34.70, 
2022/05/27, 15:14:52, 51.427746, -3.640145, 30.53,  0.00, 131, 0, 23.20, 1
2022/05/27, 15:15:06, 51.427750, -3.639810, 35.02,  0.00, 215, 0, 23.23, 
2022/05/27, 15:15:19, 51.427681, -3.640198, 1.28,  3492.00, 148, 0, 27.97, 
2022/05/27, 15:15:32, 51.427570, -3.639774, 31.35,  5508.00, 125, 0, 31.88, 
2022/05/27, 15:15:47, 51.427486, -3.639862, 9.52,  0.00, 147, 0, 11.16, 
2022/05/27, 15:16:00, 51.427433, -3.639635, 26.94,  4392.00, 127, 0, 16.81, 
2022/05/27, 15:16:13, 51.427368, -3.639365, 33.50,  0.00, 126, 0, 20.07, 
2022/05/27, 15:16:26, 51.427353, -3.639843, -16.61,  0.00, 127, 0, 33.18, 
2022/05/27, 15:16:41, 51.427238, -3.639488, 9.76,  0.00, 97, 0, 27.74, 
2022/05/27, 15:16:54, 51.427132, -3.639323, 8.24,  756.00, 211, 0, 16.43, 
2022/05/27, 15:17:21, 51.427162, -3.639212, 7.66,  0.00, 347, 0, 8.39, 
2022/05/27, 15:17:34, 51.427135, -3.638992, 24.72,  0.00, 124, 0, 15.55, 
2022/05/27, 15:17:47, 51.427071, -3.639508, -29.91,  1872.00, 85, 0, 36.48, 
2022/05/27, 15:18:00, 51.427082, -3.639509, -38.87,  0.00, 160, 0, 1.23, 
2022/05/27, 15:18:13, 51.427010, -3.639003, -5.78,  4032.00, 94, 0, 35.98, 
2022/05/27, 15:18:26, 51.426968, -3.638778, 4.15,  5184.00, 90, 0, 16.28, 
2022/05/27, 15:18:39, 51.426922, -3.638811, -6.18,  0.00, 173, 0, 5.60, 
2022/05/27, 15:18:52, 51.426865, -3.638448, 17.83,  4572.00, 125, 0, 25.95, 
2022/05/27, 15:19:06, 51.426773, -3.638526, 3.62,  0.00, 181, 0, 11.57, 
2022/05/27, 15:19:19, 51.426720, -3.638251, 25.64,  4320.00, 119, 0, 19.96, 
2022/05/27, 15:19:32, 51.426601, -3.638015, 32.52,  0.00, 130, 0, 21.04, 
2022/05/27, 15:19:45, 51.426582, -3.638527, -15.15,  2556.00, 154, 0, 35.56, 
2022/05/27, 15:19:58, 51.426525, -3.637879, 32.18,  4392.00, 99, 0, 45.37, 
2022/05/27, 15:20:11, 51.426460, -3.638038, 10.70,  1800.00, 229, 0, 13.18, 
