Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/26, 17:24:37, 51.737602, -5.281934, 33.87,  0.00, 41, -2, 0.00, 1
2022/05/26, 17:24:51, 51.737610, -5.281983, 41.43,  0.00, 24, 0, 3.49, 1
2022/05/26, 17:25:05, 51.737556, -5.281921, 25.35,  0.00, 18, 0, 7.37, 
2022/05/26, 17:25:19, 51.737610, -5.281866, 24.32,  0.00, 325, 0, 7.10, 
2022/05/26, 17:25:32, 51.737644, -5.281932, 41.61,  0.00, 150, 0, 5.91, 
2022/05/26, 17:25:46, 51.737572, -5.281884, 24.13,  0.00, 145, 0, 8.66, 
2022/05/26, 17:25:59, 51.737389, -5.281867, -10.49,  0.00, 9, 0, 20.38, 
2022/05/26, 17:26:14, 51.737560, -5.281889, 24.39,  0.00, 135, 0, 19.07, 
2022/05/26, 17:26:28, 51.737514, -5.281917, 16.01,  0.00, 256, 0, 5.47, 
2022/05/26, 17:26:42, 51.737534, -5.281890, 17.67,  0.00, 211, 0, 2.90, 
2022/05/26, 17:26:55, 51.737679, -5.281927, 46.75,  0.00, 35, 0, 16.32, 
2022/05/26, 17:27:09, 51.737789, -5.281923, 67.12,  0.00, 164, 0, 12.23, 
2022/05/26, 17:27:22, 51.737797, -5.281910, 61.38,  0.00, 359, 0, 1.26, 
2022/05/26, 17:27:36, 51.737732, -5.281957, 61.36,  0.00, 170, 0, 7.92, 
2022/05/26, 17:27:50, 51.737484, -5.281949, 15.31,  0.00, 140, 0, 27.58, 
2022/05/26, 17:28:04, 51.737320, -5.281890, -19.55,  0.00, 205, 0, 18.68, 
2022/05/26, 17:28:18, 51.737431, -5.281926, 2.61,  0.00, 45, 0, 12.59, 
2022/05/26, 17:28:31, 51.737270, -5.281907, -22.43,  0.00, 169, 0, 17.95, 
2022/05/26, 17:28:44, 51.737358, -5.281917, -10.73,  0.00, 335, 0, 9.81, 
2022/05/26, 17:28:58, 51.737667, -5.281924, 42.78,  0.00, 40, 0, 34.36, 
2022/05/26, 17:29:12, 51.737541, -5.281917, 29.21,  0.00, 247, 0, 14.02, 
2022/05/26, 17:29:25, 51.737045, -5.281948, -55.56,  0.00, 207, 0, 55.19, 
2022/05/26, 17:29:39, 51.737034, -5.281906, -64.42,  0.00, 213, 0, 3.14, 
2022/05/26, 17:29:53, 51.737450, -5.281934, 20.99,  0.00, 181, 0, 46.30, 
2022/05/26, 17:30:07, 51.737743, -5.281847, 55.07,  0.00, 154, 0, 33.13, 
2022/05/26, 17:30:21, 51.737671, -5.281897, 45.14,  0.00, 198, 0, 8.71, 
2022/05/26, 17:30:35, 51.737614, -5.281796, 19.98,  0.00, 7, 0, 9.41, 
2022/05/26, 17:30:49, 51.737663, -5.281893, 37.61,  0.00, 193, 0, 8.62, 
2022/05/26, 17:31:07, 51.737976, -5.281846, 76.49,  0.00, 182, 0, 34.95, 
2022/05/26, 17:31:20, 51.737850, -5.281860, 64.03,  0.00, 208, 0, 14.04, 
2022/05/26, 17:31:34, 51.737160, -5.281907, -45.75,  0.00, 194, 0, 76.79, 
2022/05/26, 17:31:52, 51.737396, -5.281848, -12.94,  0.00, 31, 0, 26.55, 
2022/05/26, 17:32:05, 51.737080, -5.281957, -55.92,  0.00, 276, 0, 35.93, 
2022/05/26, 17:32:23, 51.736885, -5.282072, -71.08,  0.00, 207, 0, 23.08, 
2022/05/26, 17:32:41, 51.736687, -5.282168, -89.34,  0.00, 341, 0, 22.99, 
2022/05/26, 17:32:59, 51.737236, -5.281984, -22.33,  0.00, 187, 0, 62.35, 
2022/05/26, 17:33:17, 51.737049, -5.281987, -47.64,  0.00, 24, 0, 20.79, 
2022/05/26, 17:33:35, 51.736839, -5.282053, -76.07,  0.00, 198, 0, 23.79, 
2022/05/26, 17:33:53, 51.736797, -5.282085, -79.21,  0.00, 313, 0, 5.16, 
2022/05/26, 17:34:11, 51.736595, -5.282178, -95.69,  0.00, 196, 0, 23.36, 
2022/05/26, 17:34:29, 51.736710, -5.282106, -91.51,  0.00, 224, 0, 13.71, 
2022/05/26, 17:34:47, 51.736675, -5.282133, -91.14,  0.00, 118, 0, 4.31, 
