Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/26, 15:03:50, 51.737617, -5.281897, 36.26,  72.00, 186, -2, 0.00, 1
2022/05/26, 15:04:09, 51.737633, -5.281862, 36.89,  0.00, 0, 0, 3.00, 1
2022/05/26, 15:04:22, 51.737637, -5.281860, 37.96,  0.00, 0, 0, 0.47, 
2022/05/26, 15:04:35, 51.737617, -5.281874, 39.74,  0.00, 0, 0, 2.42, 
2022/05/26, 15:04:48, 51.737625, -5.281883, 44.06,  0.00, 0, 0, 1.08, 
2022/05/26, 15:05:01, 51.737621, -5.281875, 35.59,  0.00, 0, 0, 0.71, 
2022/05/26, 15:05:14, 51.737602, -5.281896, 37.21,  0.00, 0, 0, 2.56, 
2022/05/26, 15:05:27, 51.737587, -5.281907, 33.08,  0.00, 0, 0, 1.83, 
2022/05/26, 15:05:40, 51.737633, -5.281872, 40.47,  0.00, 0, 0, 5.65, 
2022/05/26, 15:05:53, 51.737598, -5.281918, 39.27,  0.00, 174, 0, 5.02, 
2022/05/26, 15:06:07, 51.737492, -5.282050, 32.24,  0.00, 89, 0, 14.88, 
2022/05/26, 15:06:22, 51.737583, -5.282094, 58.76,  0.00, 171, 0, 10.56, 
2022/05/26, 15:06:38, 51.737434, -5.282119, 36.83,  0.00, 193, 0, 16.66, 
2022/05/26, 15:06:54, 51.737411, -5.282048, 21.01,  828.00, 146, 0, 5.52, 
2022/05/26, 15:07:07, 51.737446, -5.282105, 33.75,  972.00, 195, 0, 5.53, 
2022/05/26, 15:07:22, 51.737370, -5.282096, 16.71,  0.00, 2, 0, 8.47, 
2022/05/26, 15:07:35, 51.737457, -5.281988, 20.99,  1044.00, 83, 0, 12.20, 
2022/05/26, 15:07:48, 51.737453, -5.282045, 23.27,  828.00, 55, 0, 3.95, 
2022/05/26, 15:08:01, 51.737492, -5.281987, 25.95,  828.00, 113, 0, 5.90, 
2022/05/26, 15:08:14, 51.737461, -5.281965, 16.82,  432.00, 323, 0, 3.77, 
2022/05/26, 15:08:26, 51.737610, -5.281864, 35.91,  720.00, 0, 0, 17.97, 
2022/05/26, 15:08:39, 51.737560, -5.281883, 22.69,  0.00, 199, 0, 5.71, 
2022/05/26, 15:08:53, 51.737537, -5.281926, 23.68,  0.00, 0, 0, 3.91, 
2022/05/26, 15:09:06, 51.737598, -5.281862, 33.19,  0.00, 0, 0, 8.09, 
2022/05/26, 15:09:19, 51.737568, -5.281919, 30.72,  0.00, 0, 0, 5.15, 
2022/05/26, 15:09:32, 51.737583, -5.281859, 33.96,  0.00, 0, 0, 4.46, 
2022/05/26, 15:09:45, 51.737537, -5.281900, 25.34,  0.00, 0, 0, 5.84, 
2022/05/26, 15:09:58, 51.737507, -5.281915, 30.22,  0.00, 0, 0, 3.49, 
2022/05/26, 15:10:11, 51.737541, -5.281878, 29.21,  0.00, 0, 0, 4.56, 
2022/05/26, 15:10:24, 51.737568, -5.281869, 33.75,  0.00, 0, 0, 3.07, 
2022/05/26, 15:10:38, 51.737568, -5.281889, 30.39,  0.00, 0, 0, 1.38, 
2022/05/26, 15:10:51, 51.737541, -5.281869, 32.39,  0.00, 0, 0, 3.30, 
2022/05/26, 15:11:05, 51.737583, -5.281873, 32.35,  0.00, 185, 0, 4.68, 
2022/05/26, 15:11:18, 51.737560, -5.281883, 28.02,  0.00, 0, 0, 2.65, 
2022/05/26, 15:11:31, 51.737556, -5.281888, 32.02,  0.00, 0, 0, 0.56, 
2022/05/26, 15:11:46, 51.737659, -5.281873, 38.09,  0.00, 0, 0, 11.50, 
2022/05/26, 15:12:00, 51.737762, -5.281799, 72.08,  0.00, 33, 0, 12.54, 
2022/05/26, 15:12:13, 51.737743, -5.281824, 75.30,  648.00, 353, 0, 2.73, 
2022/05/26, 15:12:26, 51.737591, -5.281882, 38.47,  5796.00, 27, 0, 17.37, 
2022/05/26, 15:12:41, 51.737720, -5.281819, 65.13,  0.00, 185, 0, 14.99, 
2022/05/26, 15:12:54, 51.737556, -5.282003, 45.24,  1044.00, 37, 0, 22.21, 
2022/05/26, 15:13:08, 51.737553, -5.282032, 39.79,  1620.00, 38, 0, 2.02, 
2022/05/26, 15:13:23, 51.737648, -5.281908, 63.60,  0.00, 82, 0, 13.58, 
2022/05/26, 15:13:41, 51.737461, -5.281985, 29.01,  828.00, 306, 0, 21.46, 
2022/05/26, 15:13:55, 51.737633, -5.281838, 54.57,  2340.00, 357, 0, 21.64, 
2022/05/26, 15:14:09, 51.737511, -5.281961, 26.48,  648.00, 153, 0, 15.99, 
2022/05/26, 15:14:23, 51.737679, -5.281804, 50.20,  0.00, 28, 0, 21.58, 
2022/05/26, 15:14:37, 51.737579, -5.281847, 43.85,  0.00, 42, 0, 11.51, 
2022/05/26, 15:14:49, 51.737595, -5.281885, 30.74,  1908.00, 202, 0, 3.16, 
2022/05/26, 15:15:03, 51.737503, -5.281932, 21.75,  1224.00, 76, 0, 10.73, 
2022/05/26, 15:15:18, 51.737614, -5.281876, 47.73,  0.00, 51, 0, 12.93, 
2022/05/26, 15:15:31, 51.737644, -5.281768, 44.74,  900.00, 201, 0, 8.15, 
2022/05/26, 15:15:44, 51.737648, -5.281826, 43.09,  720.00, 48, 0, 4.02, 
2022/05/26, 15:15:58, 51.737579, -5.281837, 27.33,  828.00, 8, 0, 7.71, 
2022/05/26, 15:16:15, 51.737686, -5.281736, 38.12,  2052.00, 227, 0, 13.78, 1
2022/05/26, 15:16:33, 51.737507, -5.281943, 24.59,  0.00, 221, 0, 24.48, 1
2022/05/26, 15:16:47, 51.737473, -5.282038, 5.92,  1692.00, 25, 0, 7.56, 
2022/05/26, 15:17:00, 51.737488, -5.281898, 17.07,  936.00, 150, 0, 9.78, 
2022/05/26, 15:17:13, 51.737461, -5.281979, 18.01,  972.00, 190, 0, 6.33, 
2022/05/26, 15:17:31, 51.737514, -5.281913, 31.03,  0.00, 47, 0, 7.44, 
2022/05/26, 15:17:43, 51.737549, -5.281950, 38.64,  288.00, 217, 0, 4.65, 
2022/05/26, 15:17:59, 51.737488, -5.281950, 24.66,  108.00, 218, 0, 6.78, 
2022/05/26, 15:18:13, 51.737415, -5.282029, 4.24,  936.00, 25, 0, 9.77, 
2022/05/26, 15:18:30, 51.737469, -5.281956, 25.66,  0.00, 0, 0, 7.83, 
2022/05/26, 15:18:46, 51.737457, -5.281960, 26.76,  1188.00, 212, 0, 1.36, 
2022/05/26, 15:18:59, 51.737514, -5.281949, 31.53,  0.00, 196, 0, 6.38, 
2022/05/26, 15:19:12, 51.737507, -5.281926, 23.42,  792.00, 42, 0, 1.76, 
2022/05/26, 15:19:24, 51.737400, -5.282069, 8.14,  864.00, 191, 0, 15.44, 
2022/05/26, 15:19:36, 51.737427, -5.282032, 13.23,  1044.00, 33, 0, 3.94, 
2022/05/26, 15:19:53, 51.737427, -5.282021, 15.68,  0.00, 217, 0, 0.76, 
2022/05/26, 15:20:10, 51.737423, -5.282042, 14.06,  0.00, 38, 0, 1.51, 
2022/05/26, 15:20:23, 51.737484, -5.281946, -4.60,  504.00, 9, 0, 9.47, 
2022/05/26, 15:20:36, 51.737881, -5.281699, 41.42,  3204.00, 24, 0, 47.31, 
2022/05/26, 15:20:49, 51.737865, -5.281795, 48.71,  1980.00, 171, 0, 6.85, 
2022/05/26, 15:21:01, 51.737793, -5.281829, 40.68,  756.00, 150, 0, 8.34, 
2022/05/26, 15:21:14, 51.737961, -5.281641, 53.38,  828.00, 52, 0, 22.73, 
2022/05/26, 15:21:27, 51.737804, -5.281845, 41.88,  1332.00, 207, 0, 22.41, 
2022/05/26, 15:21:41, 51.737438, -5.282157, 7.68,  0.00, 234, 0, 46.02, 
2022/05/26, 15:21:56, 51.737518, -5.282087, 8.24,  0.00, 29, 0, 10.12, 
2022/05/26, 15:22:09, 51.737549, -5.282038, 9.49,  0.00, 213, 0, 4.82, 
2022/05/26, 15:22:22, 51.737633, -5.281954, 18.71,  0.00, 74, 0, 10.99, 
2022/05/26, 15:22:36, 51.737614, -5.282001, 9.79,  0.00, 242, 0, 3.86, 
2022/05/26, 15:22:49, 51.737518, -5.282089, 4.45,  0.00, 204, 0, 12.27, 
2022/05/26, 15:23:03, 51.737606, -5.281969, 12.43,  0.00, 44, 0, 12.81, 
