Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/26, 17:24:38, 51.737350, -5.281900, 4.39,  0.00, 126, -2, 0.00, 1
2022/05/26, 17:24:51, 51.737740, -5.281866, 55.07,  0.00, 7, 0, 43.43, 1
2022/05/26, 17:25:04, 51.738136, -5.281889, 100.92,  0.00, 11, 0, 44.06, 
2022/05/26, 17:25:17, 51.737782, -5.281813, 62.04,  0.00, 159, 0, 39.71, 
2022/05/26, 17:25:30, 51.737789, -5.281912, 53.15,  0.00, 52, 0, 6.86, 
2022/05/26, 17:25:44, 51.737869, -5.281843, 63.34,  0.00, 148, 0, 10.08, 
2022/05/26, 17:25:58, 51.738075, -5.281849, 89.13,  0.00, 124, 0, 22.91, 
2022/05/26, 17:26:23, 51.738125, -5.281846, 100.95,  0.00, 135, 0, 5.56, 
2022/05/26, 17:26:37, 51.738285, -5.281831, 113.50,  0.00, 135, 0, 17.82, 
2022/05/26, 17:26:50, 51.738396, -5.281813, 132.94,  0.00, 165, 0, 12.40, 
2022/05/26, 17:27:03, 51.738350, -5.281763, 131.29,  0.00, 103, 0, 6.17, 
2022/05/26, 17:27:16, 51.738091, -5.281897, 92.36,  0.00, 55, 0, 30.24, 
2022/05/26, 17:27:30, 51.738014, -5.281789, 92.51,  0.00, 142, 0, 11.34, 
2022/05/26, 17:27:43, 51.738396, -5.281826, 143.84,  0.00, 58, 0, 42.55, 
2022/05/26, 17:27:56, 51.739079, -5.281970, 184.47,  0.00, 156, 0, 76.59, 
2022/05/26, 17:28:09, 51.738014, -5.281793, 107.21,  0.00, 131, 0, 119.05, 
2022/05/26, 17:28:22, 51.737720, -5.281734, 77.74,  0.00, 7, 0, 32.94, 
2022/05/26, 17:28:35, 51.737408, -5.281848, 27.19,  0.00, 355, 0, 35.57, 
2022/05/26, 17:28:49, 51.737045, -5.281852, -26.86,  0.00, 162, 0, 40.36, 
2022/05/26, 17:29:02, 51.737370, -5.281878, 6.15,  0.00, 154, 0, 36.18, 
2022/05/26, 17:29:15, 51.737274, -5.281881, 11.83,  0.00, 146, 0, 10.68, 
2022/05/26, 17:29:28, 51.737743, -5.281856, 59.38,  0.00, 10, 0, 52.18, 
2022/05/26, 17:29:41, 51.738125, -5.281850, 94.25,  0.00, 152, 0, 42.48, 
2022/05/26, 17:29:54, 51.737835, -5.281906, 56.61,  0.00, 155, 0, 32.48, 
2022/05/26, 17:30:07, 51.737972, -5.281890, 79.43,  0.00, 111, 0, 15.27, 
2022/05/26, 17:30:20, 51.738693, -5.281895, 160.38,  0.00, 5, 0, 80.17, 
2022/05/26, 17:30:33, 51.738697, -5.281913, 154.90,  0.00, 145, 0, 1.32, 
2022/05/26, 17:30:46, 51.738266, -5.281826, 131.69,  0.00, 348, 0, 48.30, 
2022/05/26, 17:30:59, 51.738522, -5.281794, 160.92,  0.00, 165, 0, 28.55, 
2022/05/26, 17:31:13, 51.738636, -5.281829, 175.51,  0.00, 152, 0, 12.90, 
2022/05/26, 17:31:27, 51.739128, -5.281849, 224.39,  0.00, 187, 0, 54.73, 
2022/05/26, 17:31:41, 51.740330, -5.281731, 386.83,  0.00, 161, 0, 133.90, 
2022/05/26, 17:31:59, 51.740021, -5.281815, 354.50,  0.00, 141, 0, 34.84, 
2022/05/26, 17:32:18, 51.740379, -5.281740, 383.98,  0.00, 151, 0, 40.14, 
2022/05/26, 17:32:37, 51.740379, -5.281666, 413.76,  0.00, 27, 0, 5.10, 
2022/05/26, 17:32:56, 51.739704, -5.281631, 323.35,  0.00, 19, 0, 75.10, 
2022/05/26, 17:33:15, 51.739376, -5.281703, 274.69,  3312.00, 175, 0, 36.81, 
2022/05/26, 17:33:33, 51.738861, -5.281751, 216.68,  0.00, 52, 0, 57.36, 
2022/05/26, 17:33:51, 51.738678, -5.281739, 189.26,  0.00, 93, 0, 20.37, 
2022/05/26, 17:34:07, 51.738941, -5.281736, 218.56,  0.00, 168, 0, 29.24, 
2022/05/26, 17:34:28, 51.739323, -5.281682, 277.48,  0.00, 116, 0, 42.64, 
2022/05/26, 17:34:44, 51.738728, -5.281816, 189.08,  0.00, 24, 0, 66.80, 
2022/05/26, 17:35:02, 51.738777, -5.281824, 184.27,  0.00, 176, 0, 5.48, 
2022/05/26, 17:35:21, 51.738552, -5.281800, 158.95,  936.00, 359, 0, 25.07, 
