Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2022/05/26, 18:19:20, 51.737602, -5.281929, 25.93,  900.00, 10, -2, 0.00, 1
2022/05/26, 18:19:36, 51.737663, -5.281962, 31.21,  0.00, 315, 0, 7.15, 1
2022/05/26, 18:19:52, 51.737610, -5.281951, 31.24,  0.00, 349, 0, 5.94, 
2022/05/26, 18:20:05, 51.737621, -5.281903, 34.35,  864.00, 349, 0, 3.52, 
2022/05/26, 18:20:18, 51.737656, -5.281938, 35.02,  468.00, 328, 0, 4.58, 
2022/05/26, 18:20:33, 51.737610, -5.281986, 20.54,  0.00, 50, 0, 6.09, 
2022/05/26, 18:20:50, 51.737656, -5.281960, 26.33,  0.00, 4, 0, 5.42, 
2022/05/26, 18:21:04, 51.737720, -5.281947, 31.58,  0.00, 218, 0, 7.17, 
2022/05/26, 18:21:18, 51.737709, -5.281969, 29.73,  0.00, 0, 0, 1.95, 
2022/05/26, 18:21:32, 51.737438, -5.281933, 9.13,  0.00, 0, 0, 30.24, 
2022/05/26, 18:21:46, 51.737709, -5.281954, 27.96,  0.00, 171, 0, 30.17, 
2022/05/26, 18:21:59, 51.737610, -5.281978, 20.61,  576.00, 0, 0, 11.13, 
2022/05/26, 18:22:12, 51.737751, -5.282049, 31.54,  288.00, 316, 0, 16.42, 
2022/05/26, 18:22:27, 51.737667, -5.281944, 33.59,  0.00, 187, 0, 11.81, 
2022/05/26, 18:22:43, 51.737610, -5.281953, 27.68,  0.00, 345, 0, 6.37, 
2022/05/26, 18:22:56, 51.737717, -5.282002, 34.42,  540.00, 54, 0, 12.37, 
2022/05/26, 18:23:09, 51.737648, -5.281951, 26.91,  1296.00, 355, 0, 8.44, 
2022/05/26, 18:23:22, 51.737633, -5.281955, 38.96,  252.00, 7, 0, 1.69, 
2022/05/26, 18:23:36, 51.737793, -5.281977, 50.78,  0.00, 0, 0, 17.86, 
2022/05/26, 18:23:51, 51.737656, -5.281956, 30.47,  0.00, 301, 0, 15.30, 
2022/05/26, 18:24:04, 51.737553, -5.281940, 25.24,  792.00, 50, 0, 11.51, 
2022/05/26, 18:24:17, 51.737576, -5.281910, 25.15,  0.00, 145, 0, 3.29, 
2022/05/26, 18:24:30, 51.737518, -5.281909, 15.15,  0.00, 333, 0, 6.45, 
2022/05/26, 18:24:43, 51.737736, -5.281957, 34.92,  1008.00, 22, 0, 24.46, 
2022/05/26, 18:24:59, 51.737659, -5.281947, 34.17,  576.00, 337, 0, 8.59, 
2022/05/26, 18:25:13, 51.737690, -5.281953, 31.88,  648.00, 219, 0, 3.47, 
2022/05/26, 18:25:26, 51.737728, -5.281958, 39.87,  648.00, 155, 0, 4.24, 
2022/05/26, 18:25:41, 51.737686, -5.281978, 30.30,  0.00, 149, 0, 4.87, 
2022/05/26, 18:25:55, 51.737633, -5.281913, 29.03,  0.00, 79, 0, 7.40, 
2022/05/26, 18:26:09, 51.737518, -5.281970, 25.94,  0.00, 179, 0, 13.38, 
2022/05/26, 18:26:23, 51.737545, -5.281968, 32.47,  0.00, 249, 0, 3.01, 
2022/05/26, 18:26:37, 51.737556, -5.281957, 29.79,  0.00, 197, 0, 1.44, 
2022/05/26, 18:26:50, 51.737617, -5.281946, 30.61,  0.00, 198, 0, 6.83, 
2022/05/26, 18:27:02, 51.737541, -5.281964, 54.16,  864.00, 203, 0, 8.54, 
2022/05/26, 18:27:16, 51.737576, -5.281981, 31.67,  0.00, 191, 0, 4.06, 
2022/05/26, 18:27:30, 51.737583, -5.281983, 28.31,  0.00, 315, 0, 0.79, 
2022/05/26, 18:27:44, 51.737587, -5.281977, 27.30,  0.00, 5, 0, 0.61, 
2022/05/26, 18:27:58, 51.737549, -5.281980, 26.42,  0.00, 27, 0, 4.23, 
2022/05/26, 18:28:11, 51.737556, -5.282003, 32.14,  0.00, 184, 0, 1.76, 
2022/05/26, 18:28:26, 51.737549, -5.281958, 28.92,  0.00, 0, 0, 3.19, 
2022/05/26, 18:28:40, 51.737564, -5.281933, 34.92,  0.00, 43, 0, 2.40, 
2022/05/26, 18:28:54, 51.737560, -5.281961, 32.65,  0.00, 175, 0, 1.98, 
2022/05/26, 18:29:06, 51.737560, -5.281954, 28.49,  108.00, 300, 0, 0.48, 
2022/05/26, 18:29:18, 51.737549, -5.281947, 36.26,  108.00, 283, 0, 1.31, 
2022/05/26, 18:29:32, 51.737568, -5.281961, 27.49,  0.00, 116, 0, 2.32, 
2022/05/26, 18:29:45, 51.737560, -5.281954, 31.66,  0.00, 89, 0, 1.01, 
2022/05/26, 18:30:00, 51.737576, -5.281947, 24.61,  0.00, 129, 0, 1.84, 
2022/05/26, 18:30:14, 51.737579, -5.281959, 26.79,  0.00, 348, 0, 0.89, 
2022/05/26, 18:30:27, 51.737587, -5.281979, 40.55,  0.00, 208, 0, 1.64, 
2022/05/26, 18:30:39, 51.737484, -5.281915, 42.33,  792.00, 182, 0, 12.27, 
2022/05/26, 18:30:53, 51.737587, -5.281987, 29.57,  0.00, 352, 0, 12.48, 
2022/05/26, 18:31:07, 51.737549, -5.281971, 28.21,  0.00, 13, 0, 4.37, 
2022/05/26, 18:31:20, 51.737553, -5.281927, 24.12,  0.00, 0, 0, 3.06, 
2022/05/26, 18:31:34, 51.737579, -5.281951, 32.66,  0.00, 10, 0, 3.33, 
2022/05/26, 18:31:48, 51.737556, -5.281946, 30.26,  0.00, 349, 0, 2.58, 
2022/05/26, 18:32:02, 51.737572, -5.281935, 25.67,  0.00, 180, 0, 1.93, 
2022/05/26, 18:32:15, 51.737526, -5.281973, 39.58,  0.00, 0, 0, 5.75, 
2022/05/26, 18:32:29, 51.737576, -5.281954, 33.38,  0.00, 38, 0, 5.71, 
2022/05/26, 18:32:43, 51.737560, -5.281958, 36.58,  0.00, 136, 0, 1.80, 
2022/05/26, 18:32:57, 51.737606, -5.281919, 35.64,  0.00, 0, 0, 5.78, 
2022/05/26, 18:33:11, 51.737579, -5.281940, 41.24,  0.00, 0, 0, 3.33, 
2022/05/26, 18:33:25, 51.737576, -5.281951, 32.76,  0.00, 234, 0, 0.83, 
